Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,750173,42.2
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,SPOTTED SEATROUT,0,.
FINAL,1990,MARCH/APRIL,ALABAMA,SPOTTED SEATROUT,0,.
FINAL,1990,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,850430,25.4
FINAL,1990,MARCH/APRIL,LOUISIANA,SPOTTED SEATROUT,276910,45.5
FINAL,1990,MARCH/APRIL,MISSISSIPPI,SPOTTED SEATROUT,68811,51.7
FINAL,1990,MAY/JUNE,ALABAMA,SPOTTED SEATROUT,37263,46
FINAL,1990,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,673016,24.6
FINAL,1990,MAY/JUNE,LOUISIANA,SPOTTED SEATROUT,832757,32.6
FINAL,1990,MAY/JUNE,MISSISSIPPI,SPOTTED SEATROUT,129060,54
FINAL,1990,JULY/AUGUST,ALABAMA,SPOTTED SEATROUT,18562,81.5
FINAL,1990,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,311910,32.5
FINAL,1990,JULY/AUGUST,LOUISIANA,SPOTTED SEATROUT,1616124,21.1
FINAL,1990,JULY/AUGUST,MISSISSIPPI,SPOTTED SEATROUT,53591,30.8
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,SPOTTED SEATROUT,11763,58
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,268773,34.6
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,SPOTTED SEATROUT,1195860,30.5
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,SPOTTED SEATROUT,72785,53.2
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,SPOTTED SEATROUT,7715,82.9
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,817589,26.9
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,SPOTTED SEATROUT,2257353,21
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,SPOTTED SEATROUT,212623,22.8
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,SPOTTED SEATROUT,33278,102.1
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,1052648,29.6
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,SPOTTED SEATROUT,398149,35.1
FINAL,1991,JANUARY/FEBRUARY,MISSISSIPPI,SPOTTED SEATROUT,10017,28.2
FINAL,1991,MARCH/APRIL,ALABAMA,SPOTTED SEATROUT,25731,108.1
FINAL,1991,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,1696613,42.4
FINAL,1991,MARCH/APRIL,LOUISIANA,SPOTTED SEATROUT,1743445,23.8
FINAL,1991,MARCH/APRIL,MISSISSIPPI,SPOTTED SEATROUT,40608,78
FINAL,1991,MAY/JUNE,ALABAMA,SPOTTED SEATROUT,11297,69.2
FINAL,1991,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,660735,24.2
FINAL,1991,MAY/JUNE,LOUISIANA,SPOTTED SEATROUT,2957050,21.4
FINAL,1991,MAY/JUNE,MISSISSIPPI,SPOTTED SEATROUT,97370,23.7
FINAL,1991,JULY/AUGUST,ALABAMA,SPOTTED SEATROUT,20607,73.8
FINAL,1991,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,1059437,49.6
FINAL,1991,JULY/AUGUST,LOUISIANA,SPOTTED SEATROUT,2977528,20.1
FINAL,1991,JULY/AUGUST,MISSISSIPPI,SPOTTED SEATROUT,236704,40.9
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,SPOTTED SEATROUT,779,102.5
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,649364,21.7
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,SPOTTED SEATROUT,2245239,21.9
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,SPOTTED SEATROUT,166137,53.9
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,SPOTTED SEATROUT,59727,43
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,1688709,45.4
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,SPOTTED SEATROUT,4951247,18.3
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,SPOTTED SEATROUT,189274,28.1
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,SPOTTED SEATROUT,0,.
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,806422,50.1
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,SPOTTED SEATROUT,1388714,27.3
FINAL,1992,JANUARY/FEBRUARY,MISSISSIPPI,SPOTTED SEATROUT,62366,58.5
FINAL,1992,MARCH/APRIL,ALABAMA,SPOTTED SEATROUT,8030,90.4
FINAL,1992,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,1213847,17.6
FINAL,1992,MARCH/APRIL,LOUISIANA,SPOTTED SEATROUT,1530653,21.6
FINAL,1992,MARCH/APRIL,MISSISSIPPI,SPOTTED SEATROUT,44271,47.8
FINAL,1992,MAY/JUNE,ALABAMA,SPOTTED SEATROUT,18184,67.8
FINAL,1992,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,476143,22
FINAL,1992,MAY/JUNE,LOUISIANA,SPOTTED SEATROUT,1397994,14.8
FINAL,1992,MAY/JUNE,MISSISSIPPI,SPOTTED SEATROUT,31695,38.1
FINAL,1992,JULY/AUGUST,ALABAMA,SPOTTED SEATROUT,8694,103.9
FINAL,1992,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,343082,29.6
FINAL,1992,JULY/AUGUST,LOUISIANA,SPOTTED SEATROUT,2012714,16.4
FINAL,1992,JULY/AUGUST,MISSISSIPPI,SPOTTED SEATROUT,57118,42.8
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,SPOTTED SEATROUT,59165,57.8
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,458181,18
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,SPOTTED SEATROUT,1532635,14.9
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,SPOTTED SEATROUT,67715,28.3
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,SPOTTED SEATROUT,28918,55.6
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,1265946,22.1
