Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,424334,43,0
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,SPOTTED SEATROUT,0,.,0
FINAL,1990,MARCH/APRIL,ALABAMA,SPOTTED SEATROUT,0,.,0
FINAL,1990,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,506155,27.1,0
FINAL,1990,MARCH/APRIL,LOUISIANA,SPOTTED SEATROUT,128265,45.9,0
FINAL,1990,MARCH/APRIL,MISSISSIPPI,SPOTTED SEATROUT,57082,55.3,0
FINAL,1990,MAY/JUNE,ALABAMA,SPOTTED SEATROUT,27944,47.5,0
FINAL,1990,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,519619,24.6,0
FINAL,1990,MAY/JUNE,LOUISIANA,SPOTTED SEATROUT,498613,32.9,0
FINAL,1990,MAY/JUNE,MISSISSIPPI,SPOTTED SEATROUT,39628,46.2,0
FINAL,1990,JULY/AUGUST,ALABAMA,SPOTTED SEATROUT,10270,84.7,0
FINAL,1990,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,265822,33.6,0
FINAL,1990,JULY/AUGUST,LOUISIANA,SPOTTED SEATROUT,853481,22,0
FINAL,1990,JULY/AUGUST,MISSISSIPPI,SPOTTED SEATROUT,30638,41.5,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,SPOTTED SEATROUT,10293,58,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,142369,33.4,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,SPOTTED SEATROUT,591485,25.2,0
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,SPOTTED SEATROUT,24292,52.8,0
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,SPOTTED SEATROUT,7715,82.9,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,519358,28.1,0
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,SPOTTED SEATROUT,1340689,21.5,0
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,SPOTTED SEATROUT,129390,22.1,0
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,SPOTTED SEATROUT,54998,102.1,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,850165,30.4,0
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,SPOTTED SEATROUT,231103,34.7,0
FINAL,1991,JANUARY/FEBRUARY,MISSISSIPPI,SPOTTED SEATROUT,2529,28.1,0
FINAL,1991,MARCH/APRIL,ALABAMA,SPOTTED SEATROUT,12257,105.8,0
FINAL,1991,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,1169296,39,0
FINAL,1991,MARCH/APRIL,LOUISIANA,SPOTTED SEATROUT,1095056,26,0
FINAL,1991,MARCH/APRIL,MISSISSIPPI,SPOTTED SEATROUT,22042,83.7,0
FINAL,1991,MAY/JUNE,ALABAMA,SPOTTED SEATROUT,19442,64.9,0
FINAL,1991,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,473145,24.7,0
FINAL,1991,MAY/JUNE,LOUISIANA,SPOTTED SEATROUT,1622904,21.7,0
FINAL,1991,MAY/JUNE,MISSISSIPPI,SPOTTED SEATROUT,44100,22.8,0
FINAL,1991,JULY/AUGUST,ALABAMA,SPOTTED SEATROUT,8534,75.9,0
FINAL,1991,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,661959,46.4,0
FINAL,1991,JULY/AUGUST,LOUISIANA,SPOTTED SEATROUT,1595164,21.3,0
FINAL,1991,JULY/AUGUST,MISSISSIPPI,SPOTTED SEATROUT,136786,43.6,0
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,SPOTTED SEATROUT,661,102.5,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,413976,22,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,SPOTTED SEATROUT,1007876,20.1,0
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,SPOTTED SEATROUT,67802,52,0
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,SPOTTED SEATROUT,34277,43.9,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,994382,45.9,0
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,SPOTTED SEATROUT,2524963,18.5,0
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,SPOTTED SEATROUT,89061,28.3,0
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,SPOTTED SEATROUT,0,.,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,0,.,806422
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,SPOTTED SEATROUT,0,.,1388714
FINAL,1992,JANUARY/FEBRUARY,MISSISSIPPI,SPOTTED SEATROUT,0,.,62366
FINAL,1992,MARCH/APRIL,ALABAMA,SPOTTED SEATROUT,8252,84.5,0
FINAL,1992,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,827265,18.1,0
FINAL,1992,MARCH/APRIL,LOUISIANA,SPOTTED SEATROUT,732899,20.6,0
FINAL,1992,MARCH/APRIL,MISSISSIPPI,SPOTTED SEATROUT,20326,46.9,0
FINAL,1992,MAY/JUNE,ALABAMA,SPOTTED SEATROUT,23882,63.8,0
FINAL,1992,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,316932,22.7,0
FINAL,1992,MAY/JUNE,LOUISIANA,SPOTTED SEATROUT,727405,15.1,0
FINAL,1992,MAY/JUNE,MISSISSIPPI,SPOTTED SEATROUT,15104,39.9,0
FINAL,1992,JULY/AUGUST,ALABAMA,SPOTTED SEATROUT,3188,103.9,0
FINAL,1992,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,266328,35.7,0
FINAL,1992,JULY/AUGUST,LOUISIANA,SPOTTED SEATROUT,1069104,16.2,0
FINAL,1992,JULY/AUGUST,MISSISSIPPI,SPOTTED SEATROUT,30831,40.9,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,SPOTTED SEATROUT,29884,57.9,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,292906,19.1,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,SPOTTED SEATROUT,648674,15.1,0
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,SPOTTED SEATROUT,23997,28.1,0
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,SPOTTED SEATROUT,14760,53.7,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,1054038,21.5,0
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,SPOTTED SEATROUT,2178676,18.3,0
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,SPOTTED SEATROUT,105584,32.4,0
