Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,CONNECTICUT,STRIPED BASS,0,.
FINAL,1990,MARCH/APRIL,DELAWARE,STRIPED BASS,0,.
FINAL,1990,MARCH/APRIL,MAINE,STRIPED BASS,729,102.2
FINAL,1990,MARCH/APRIL,MARYLAND,STRIPED BASS,0,.
FINAL,1990,MARCH/APRIL,NEW YORK,STRIPED BASS,0,.
FINAL,1990,MARCH/APRIL,VIRGINIA,STRIPED BASS,0,.
FINAL,1990,MAY/JUNE,CONNECTICUT,STRIPED BASS,991,73.7
FINAL,1990,MAY/JUNE,DELAWARE,STRIPED BASS,0,.
FINAL,1990,MAY/JUNE,MAINE,STRIPED BASS,0,.
FINAL,1990,MAY/JUNE,MARYLAND,STRIPED BASS,0,.
FINAL,1990,MAY/JUNE,MASSACHUSETTS,STRIPED BASS,950,62.5
FINAL,1990,MAY/JUNE,NEW HAMPSHIRE,STRIPED BASS,0,.
FINAL,1990,MAY/JUNE,NEW JERSEY,STRIPED BASS,8615,91.7
FINAL,1990,MAY/JUNE,NEW YORK,STRIPED BASS,11453,76
FINAL,1990,MAY/JUNE,RHODE ISLAND,STRIPED BASS,221,102.2
FINAL,1990,MAY/JUNE,VIRGINIA,STRIPED BASS,0,.
FINAL,1990,JULY/AUGUST,CONNECTICUT,STRIPED BASS,6577,72.2
FINAL,1990,JULY/AUGUST,DELAWARE,STRIPED BASS,2016,62.8
FINAL,1990,JULY/AUGUST,MAINE,STRIPED BASS,4024,101.1
FINAL,1990,JULY/AUGUST,MARYLAND,STRIPED BASS,0,.
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,STRIPED BASS,12688,45.6
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,STRIPED BASS,0,.
FINAL,1990,JULY/AUGUST,NEW JERSEY,STRIPED BASS,30584,82
FINAL,1990,JULY/AUGUST,NEW YORK,STRIPED BASS,12539,58.5
FINAL,1990,JULY/AUGUST,RHODE ISLAND,STRIPED BASS,1676,53.9
FINAL,1990,JULY/AUGUST,VIRGINIA,STRIPED BASS,0,.
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,STRIPED BASS,0,.
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,STRIPED BASS,707,100.3
FINAL,1990,SEPTEMBER/OCTOBER,MAINE,STRIPED BASS,1449,99.8
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,STRIPED BASS,1522,99.4
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,STRIPED BASS,6864,44.7
FINAL,1990,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,STRIPED BASS,486,91.9
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,STRIPED BASS,2336,59.1
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,STRIPED BASS,14381,41.4
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,STRIPED BASS,4208,74.3
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,STRIPED BASS,0,.
FINAL,1990,NOVEMBER/DECEMBER,CONNECTICUT,STRIPED BASS,0,.
FINAL,1990,NOVEMBER/DECEMBER,DELAWARE,STRIPED BASS,0,.
FINAL,1990,NOVEMBER/DECEMBER,MARYLAND,STRIPED BASS,0,.
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,STRIPED BASS,0,.
FINAL,1990,NOVEMBER/DECEMBER,NEW JERSEY,STRIPED BASS,81504,31.7
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,STRIPED BASS,29626,31.8
FINAL,1990,NOVEMBER/DECEMBER,RHODE ISLAND,STRIPED BASS,161,95.5
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,STRIPED BASS,342591,28.8
FINAL,1991,JANUARY/FEBRUARY,NORTH CAROLINA,STRIPED BASS,1032,100
FINAL,1991,MARCH/APRIL,CONNECTICUT,STRIPED BASS,0,.
FINAL,1991,MARCH/APRIL,DELAWARE,STRIPED BASS,0,.
FINAL,1991,MARCH/APRIL,MARYLAND,STRIPED BASS,0,.
FINAL,1991,MARCH/APRIL,NEW JERSEY,STRIPED BASS,0,.
FINAL,1991,MARCH/APRIL,NEW YORK,STRIPED BASS,0,.
FINAL,1991,MARCH/APRIL,RHODE ISLAND,STRIPED BASS,0,.
FINAL,1991,MARCH/APRIL,VIRGINIA,STRIPED BASS,0,.
