Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,STRIPED BASS,25182,90.4,0
FINAL,1990,MARCH/APRIL,CONNECTICUT,STRIPED BASS,0,.,0
FINAL,1990,MARCH/APRIL,DELAWARE,STRIPED BASS,0,.,0
FINAL,1990,MARCH/APRIL,FLORIDA,STRIPED BASS,0,.,0
FINAL,1990,MARCH/APRIL,LOUISIANA,STRIPED BASS,2043,102.8,0
FINAL,1990,MARCH/APRIL,MAINE,STRIPED BASS,7070,102.2,0
FINAL,1990,MARCH/APRIL,MARYLAND,STRIPED BASS,0,.,0
FINAL,1990,MARCH/APRIL,MISSISSIPPI,STRIPED BASS,898,45,0
FINAL,1990,MARCH/APRIL,NEW YORK,STRIPED BASS,0,.,0
FINAL,1990,MARCH/APRIL,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1990,MAY/JUNE,CONNECTICUT,STRIPED BASS,17282,75.5,0
FINAL,1990,MAY/JUNE,DELAWARE,STRIPED BASS,0,.,0
FINAL,1990,MAY/JUNE,FLORIDA,STRIPED BASS,53043,79.1,0
FINAL,1990,MAY/JUNE,LOUISIANA,STRIPED BASS,6354,95.4,0
FINAL,1990,MAY/JUNE,MAINE,STRIPED BASS,0,.,0
FINAL,1990,MAY/JUNE,MARYLAND,STRIPED BASS,0,.,0
FINAL,1990,MAY/JUNE,MASSACHUSETTS,STRIPED BASS,4705,68.8,0
FINAL,1990,MAY/JUNE,NEW HAMPSHIRE,STRIPED BASS,0,.,0
FINAL,1990,MAY/JUNE,NEW JERSEY,STRIPED BASS,79443,99.2,0
FINAL,1990,MAY/JUNE,NEW YORK,STRIPED BASS,52689,53.7,0
FINAL,1990,MAY/JUNE,RHODE ISLAND,STRIPED BASS,3423,102.2,0
FINAL,1990,MAY/JUNE,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1990,JULY/AUGUST,CONNECTICUT,STRIPED BASS,77694,71.4,0
FINAL,1990,JULY/AUGUST,DELAWARE,STRIPED BASS,8567,63.2,0
FINAL,1990,JULY/AUGUST,MAINE,STRIPED BASS,17101,101.1,0
FINAL,1990,JULY/AUGUST,MARYLAND,STRIPED BASS,0,.,0
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,STRIPED BASS,102594,46.7,0
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,STRIPED BASS,0,.,0
FINAL,1990,JULY/AUGUST,NEW JERSEY,STRIPED BASS,427513,98.2,0
FINAL,1990,JULY/AUGUST,NEW YORK,STRIPED BASS,78450,52.9,0
FINAL,1990,JULY/AUGUST,RHODE ISLAND,STRIPED BASS,15595,56.6,0
FINAL,1990,JULY/AUGUST,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,STRIPED BASS,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,STRIPED BASS,3063,100.3,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,STRIPED BASS,36848,79.8,0
FINAL,1990,SEPTEMBER/OCTOBER,MAINE,STRIPED BASS,11878,99.8,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,STRIPED BASS,2753,99.4,0
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,STRIPED BASS,74314,47,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,STRIPED BASS,9473,91.9,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,STRIPED BASS,13468,59.1,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,STRIPED BASS,154589,38.4,0
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,STRIPED BASS,46156,75.9,0
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,CONNECTICUT,STRIPED BASS,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,DELAWARE,STRIPED BASS,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,STRIPED BASS,11385,67,0
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,STRIPED BASS,64407,93.3,0
FINAL,1990,NOVEMBER/DECEMBER,MARYLAND,STRIPED BASS,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,STRIPED BASS,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,STRIPED BASS,3609,71.4,0
FINAL,1990,NOVEMBER/DECEMBER,NEW JERSEY,STRIPED BASS,627711,34,0
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,STRIPED BASS,463901,35,0
FINAL,1990,NOVEMBER/DECEMBER,RHODE ISLAND,STRIPED BASS,1267,95.9,0
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,STRIPED BASS,1422205,30.8,0
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,STRIPED BASS,2298,103.4,0
FINAL,1991,JANUARY/FEBRUARY,NORTH CAROLINA,STRIPED BASS,4645,100,0
FINAL,1991,MARCH/APRIL,CONNECTICUT,STRIPED BASS,0,.,0
FINAL,1991,MARCH/APRIL,DELAWARE,STRIPED BASS,0,.,0
FINAL,1991,MARCH/APRIL,FLORIDA,STRIPED BASS,2423,99.2,0
FINAL,1991,MARCH/APRIL,LOUISIANA,STRIPED BASS,1277,98.6,0
FINAL,1991,MARCH/APRIL,MARYLAND,STRIPED BASS,0,.,0
FINAL,1991,MARCH/APRIL,NEW JERSEY,STRIPED BASS,0,.,0
FINAL,1991,MARCH/APRIL,NEW YORK,STRIPED BASS,0,.,0
FINAL,1991,MARCH/APRIL,RHODE ISLAND,STRIPED BASS,0,.,0
FINAL,1991,MARCH/APRIL,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1991,MAY/JUNE,CONNECTICUT,STRIPED BASS,28157,71.9,0
FINAL,1991,MAY/JUNE,DELAWARE,STRIPED BASS,3167,63,0
FINAL,1991,MAY/JUNE,FLORIDA,STRIPED BASS,0,.,0
FINAL,1991,MAY/JUNE,LOUISIANA,STRIPED BASS,2049,71.3,0
FINAL,1991,MAY/JUNE,MAINE,STRIPED BASS,5770,71.8,0
FINAL,1991,MAY/JUNE,MARYLAND,STRIPED BASS,7692,102.9,0
FINAL,1991,MAY/JUNE,MASSACHUSETTS,STRIPED BASS,100978,68.1,0
FINAL,1991,MAY/JUNE,MISSISSIPPI,STRIPED BASS,1221,97.9,0
FINAL,1991,MAY/JUNE,NEW HAMPSHIRE,STRIPED BASS,0,.,0
FINAL,1991,MAY/JUNE,NEW JERSEY,STRIPED BASS,204378,71.1,0
FINAL,1991,MAY/JUNE,NEW YORK,STRIPED BASS,25628,78.4,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,STRIPED BASS,0,.,0
FINAL,1991,MAY/JUNE,RHODE ISLAND,STRIPED BASS,45609,51.8,0
FINAL,1991,MAY/JUNE,VIRGINIA,STRIPED BASS,326,99.9,0
FINAL,1991,JULY/AUGUST,CONNECTICUT,STRIPED BASS,28683,62.7,0
FINAL,1991,JULY/AUGUST,DELAWARE,STRIPED BASS,3848,74.2,0
FINAL,1991,JULY/AUGUST,FLORIDA,STRIPED BASS,5012,99.9,0
FINAL,1991,JULY/AUGUST,LOUISIANA,STRIPED BASS,21224,71.5,0
FINAL,1991,JULY/AUGUST,MAINE,STRIPED BASS,7810,97.2,0
FINAL,1991,JULY/AUGUST,MARYLAND,STRIPED BASS,0,.,0
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,STRIPED BASS,178531,37.5,0
FINAL,1991,JULY/AUGUST,NEW HAMPSHIRE,STRIPED BASS,0,.,0
FINAL,1991,JULY/AUGUST,NEW JERSEY,STRIPED BASS,31121,59.8,0
FINAL,1991,JULY/AUGUST,NEW YORK,STRIPED BASS,99712,76.5,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,STRIPED BASS,0,.,0
FINAL,1991,JULY/AUGUST,RHODE ISLAND,STRIPED BASS,25071,53.5,0
FINAL,1991,JULY/AUGUST,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1991,SEPTEMBER/OCTOBER,CONNECTICUT,STRIPED BASS,16757,93.3,0
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,STRIPED BASS,3948,98.3,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,STRIPED BASS,789,100.7,0
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,STRIPED BASS,28450,96.2,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,STRIPED BASS,12039,68.5,0
FINAL,1991,SEPTEMBER/OCTOBER,MAINE,STRIPED BASS,0,.,0
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,STRIPED BASS,264148,41.4,0
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,STRIPED BASS,111870,47.7,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,STRIPED BASS,3603,125.7,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,STRIPED BASS,80355,47,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,STRIPED BASS,931149,65.1,0
FINAL,1991,SEPTEMBER/OCTOBER,RHODE ISLAND,STRIPED BASS,66205,76.2,0
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,STRIPED BASS,31112,95.6,0
FINAL,1991,NOVEMBER/DECEMBER,CONNECTICUT,STRIPED BASS,0,.,0
FINAL,1991,NOVEMBER/DECEMBER,DELAWARE,STRIPED BASS,49650,51.6,0
FINAL,1991,NOVEMBER/DECEMBER,GEORGIA,STRIPED BASS,2453,106.2,0
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,STRIPED BASS,30919,67.8,0
FINAL,1991,NOVEMBER/DECEMBER,MARYLAND,STRIPED BASS,53851,55.4,0
FINAL,1991,NOVEMBER/DECEMBER,MASSACHUSETTS,STRIPED BASS,1584,102.9,0
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,STRIPED BASS,5354,100.2,0
FINAL,1991,NOVEMBER/DECEMBER,NEW JERSEY,STRIPED BASS,612688,25.8,0
FINAL,1991,NOVEMBER/DECEMBER,NEW YORK,STRIPED BASS,858013,32.6,0
FINAL,1991,NOVEMBER/DECEMBER,RHODE ISLAND,STRIPED BASS,21784,71.6,0
FINAL,1991,NOVEMBER/DECEMBER,VIRGINIA,STRIPED BASS,918701,67.7,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,STRIPED BASS,0,.,0
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,STRIPED BASS,0,.,974
FINAL,1992,JANUARY/FEBRUARY,MISSISSIPPI,STRIPED BASS,0,.,0
FINAL,1992,JANUARY/FEBRUARY,NORTH CAROLINA,STRIPED BASS,0,.,2680
FINAL,1992,MARCH/APRIL,CONNECTICUT,STRIPED BASS,0,.,0
FINAL,1992,MARCH/APRIL,DELAWARE,STRIPED BASS,2823,83.1,0
FINAL,1992,MARCH/APRIL,FLORIDA,STRIPED BASS,4384,99.4,0
FINAL,1992,MARCH/APRIL,MARYLAND,STRIPED BASS,0,.,0
FINAL,1992,MARCH/APRIL,NEW JERSEY,STRIPED BASS,0,.,0
FINAL,1992,MARCH/APRIL,NEW YORK,STRIPED BASS,0,.,0
FINAL,1992,MAY/JUNE,CONNECTICUT,STRIPED BASS,64168,48.5,0
FINAL,1992,MAY/JUNE,DELAWARE,STRIPED BASS,37264,82.7,0
FINAL,1992,MAY/JUNE,LOUISIANA,STRIPED BASS,0,.,0
FINAL,1992,MAY/JUNE,MAINE,STRIPED BASS,3310,61.4,0
FINAL,1992,MAY/JUNE,MARYLAND,STRIPED BASS,20196,79.5,0
FINAL,1992,MAY/JUNE,MASSACHUSETTS,STRIPED BASS,124174,42.5,0
FINAL,1992,MAY/JUNE,NEW HAMPSHIRE,STRIPED BASS,0,.,0
FINAL,1992,MAY/JUNE,NEW JERSEY,STRIPED BASS,59399,59.8,0
FINAL,1992,MAY/JUNE,NEW YORK,STRIPED BASS,50150,50.9,0
FINAL,1992,MAY/JUNE,RHODE ISLAND,STRIPED BASS,109442,48.4,0
FINAL,1992,MAY/JUNE,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1992,JULY/AUGUST,CONNECTICUT,STRIPED BASS,37772,54.8,0
FINAL,1992,JULY/AUGUST,DELAWARE,STRIPED BASS,0,.,0
FINAL,1992,JULY/AUGUST,GEORGIA,STRIPED BASS,0,.,0
FINAL,1992,JULY/AUGUST,LOUISIANA,STRIPED BASS,906,57.9,0
FINAL,1992,JULY/AUGUST,MAINE,STRIPED BASS,57468,54.8,0
FINAL,1992,JULY/AUGUST,MARYLAND,STRIPED BASS,0,.,0
FINAL,1992,JULY/AUGUST,MASSACHUSETTS,STRIPED BASS,1376163,64.5,0
FINAL,1992,JULY/AUGUST,NEW HAMPSHIRE,STRIPED BASS,36315,65.7,0
FINAL,1992,JULY/AUGUST,NEW JERSEY,STRIPED BASS,89004,71,0
FINAL,1992,JULY/AUGUST,NEW YORK,STRIPED BASS,63575,42.4,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,STRIPED BASS,0,.,0
FINAL,1992,JULY/AUGUST,RHODE ISLAND,STRIPED BASS,55922,35.2,0
FINAL,1992,JULY/AUGUST,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,STRIPED BASS,4450,75.9,0
FINAL,1992,SEPTEMBER/OCTOBER,CONNECTICUT,STRIPED BASS,5902,79.4,0
FINAL,1992,SEPTEMBER/OCTOBER,DELAWARE,STRIPED BASS,762,101.3,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,STRIPED BASS,1680,98,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,STRIPED BASS,3475,60.8,0
FINAL,1992,SEPTEMBER/OCTOBER,MAINE,STRIPED BASS,0,.,0
FINAL,1992,SEPTEMBER/OCTOBER,MARYLAND,STRIPED BASS,452367,30.5,0
FINAL,1992,SEPTEMBER/OCTOBER,MASSACHUSETTS,STRIPED BASS,357654,36.3,0
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,STRIPED BASS,0,.,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,STRIPED BASS,4157,99.9,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW JERSEY,STRIPED BASS,97185,45.7,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW YORK,STRIPED BASS,317499,25.8,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,STRIPED BASS,612,100.8,0
FINAL,1992,SEPTEMBER/OCTOBER,RHODE ISLAND,STRIPED BASS,96632,48.3,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,STRIPED BASS,6309,77.6,0
FINAL,1992,SEPTEMBER/OCTOBER,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1992,NOVEMBER/DECEMBER,CONNECTICUT,STRIPED BASS,1134,100,0
FINAL,1992,NOVEMBER/DECEMBER,DELAWARE,STRIPED BASS,0,.,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,STRIPED BASS,28200,99.1,0
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,STRIPED BASS,0,.,0
FINAL,1992,NOVEMBER/DECEMBER,MARYLAND,STRIPED BASS,63586,96,0
FINAL,1992,NOVEMBER/DECEMBER,MASSACHUSETTS,STRIPED BASS,0,.,0
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,STRIPED BASS,0,.,0
FINAL,1992,NOVEMBER/DECEMBER,NEW JERSEY,STRIPED BASS,747576,35.8,0
FINAL,1992,NOVEMBER/DECEMBER,NEW YORK,STRIPED BASS,335825,29.5,0
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,STRIPED BASS,0,.,0
FINAL,1992,NOVEMBER/DECEMBER,RHODE ISLAND,STRIPED BASS,29789,64.1,0
FINAL,1992,NOVEMBER/DECEMBER,VIRGINIA,STRIPED BASS,710556,35.2,0
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,STRIPED BASS,0,.,0
FINAL,1993,MARCH/APRIL,CONNECTICUT,STRIPED BASS,0,.,0
FINAL,1993,MARCH/APRIL,DELAWARE,STRIPED BASS,0,.,0
FINAL,1993,MARCH/APRIL,GEORGIA,STRIPED BASS,0,.,0
FINAL,1993,MARCH/APRIL,MARYLAND,STRIPED BASS,0,.,0
FINAL,1993,MARCH/APRIL,NEW JERSEY,STRIPED BASS,0,.,0
FINAL,1993,MARCH/APRIL,NEW YORK,STRIPED BASS,0,.,0
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,STRIPED BASS,22037,94.3,0
FINAL,1993,MARCH/APRIL,VIRGINIA,STRIPED BASS,5085,103.3,0
FINAL,1993,MAY/JUNE,CONNECTICUT,STRIPED BASS,128655,30.4,0
FINAL,1993,MAY/JUNE,DELAWARE,STRIPED BASS,47861,62.1,0
FINAL,1993,MAY/JUNE,LOUISIANA,STRIPED BASS,0,.,0
FINAL,1993,MAY/JUNE,MAINE,STRIPED BASS,0,.,0
FINAL,1993,MAY/JUNE,MARYLAND,STRIPED BASS,45131,59.3,0
FINAL,1993,MAY/JUNE,MASSACHUSETTS,STRIPED BASS,276393,33.5,0
FINAL,1993,MAY/JUNE,NEW HAMPSHIRE,STRIPED BASS,37718,78.4,0
FINAL,1993,MAY/JUNE,NEW JERSEY,STRIPED BASS,23798,101.5,0
FINAL,1993,MAY/JUNE,NEW YORK,STRIPED BASS,216559,32.8,0
FINAL,1993,MAY/JUNE,RHODE ISLAND,STRIPED BASS,54801,44.8,0
FINAL,1993,MAY/JUNE,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1993,JULY/AUGUST,CONNECTICUT,STRIPED BASS,83572,40.8,0
FINAL,1993,JULY/AUGUST,DELAWARE,STRIPED BASS,0,.,0
FINAL,1993,JULY/AUGUST,LOUISIANA,STRIPED BASS,0,.,0
FINAL,1993,JULY/AUGUST,MAINE,STRIPED BASS,12598,103.2,0
FINAL,1993,JULY/AUGUST,MARYLAND,STRIPED BASS,0,.,0
FINAL,1993,JULY/AUGUST,MASSACHUSETTS,STRIPED BASS,384131,30.8,0
FINAL,1993,JULY/AUGUST,NEW HAMPSHIRE,STRIPED BASS,0,.,0
FINAL,1993,JULY/AUGUST,NEW JERSEY,STRIPED BASS,0,.,0
FINAL,1993,JULY/AUGUST,NEW YORK,STRIPED BASS,96991,36.2,0
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,STRIPED BASS,0,.,0
FINAL,1993,JULY/AUGUST,RHODE ISLAND,STRIPED BASS,55517,44.7,0
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,STRIPED BASS,2883,99.4,0
FINAL,1993,JULY/AUGUST,VIRGINIA,STRIPED BASS,0,.,0
FINAL,1993,SEPTEMBER/OCTOBER,CONNECTICUT,STRIPED BASS,49712,71.6,0
FINAL,1993,SEPTEMBER/OCTOBER,DELAWARE,STRIPED BASS,1170,98.9,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,STRIPED BASS,0,.,0
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,STRIPED BASS,1062,97.2,0
FINAL,1993,SEPTEMBER/OCTOBER,LOUISIANA,STRIPED BASS,2879,79.8,0
FINAL,1993,SEPTEMBER/OCTOBER,MAINE,STRIPED BASS,0,.,0
FINAL,1993,SEPTEMBER/OCTOBER,MARYLAND,STRIPED BASS,212813,25.7,0
FINAL,1993,SEPTEMBER/OCTOBER,MASSACHUSETTS,STRIPED BASS,205218,28.7,0
FINAL,1993,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,STRIPED BASS,12186,61.8,0
FINAL,1993,SEPTEMBER/OCTOBER,NEW JERSEY,STRIPED BASS,549397,48.8,0
