Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,SUMMER FLOUNDER,39805,83.9
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,SUMMER FLOUNDER,7045,92.4
FINAL,1990,MARCH/APRIL,VIRGINIA,SUMMER FLOUNDER,1892,65.9
FINAL,1990,MAY/JUNE,CONNECTICUT,SUMMER FLOUNDER,1313,88.7
FINAL,1990,MAY/JUNE,DELAWARE,SUMMER FLOUNDER,19043,21.5
FINAL,1990,MAY/JUNE,MARYLAND,SUMMER FLOUNDER,21911,37.7
FINAL,1990,MAY/JUNE,MASSACHUSETTS,SUMMER FLOUNDER,174,101.8
FINAL,1990,MAY/JUNE,NEW JERSEY,SUMMER FLOUNDER,455155,23.3
FINAL,1990,MAY/JUNE,NEW YORK,SUMMER FLOUNDER,140351,22.8
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SUMMER FLOUNDER,142656,34.6
FINAL,1990,MAY/JUNE,RHODE ISLAND,SUMMER FLOUNDER,213,101.9
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SUMMER FLOUNDER,16026,53.7
FINAL,1990,MAY/JUNE,VIRGINIA,SUMMER FLOUNDER,106327,34.7
FINAL,1990,JULY/AUGUST,CONNECTICUT,SUMMER FLOUNDER,15622,36
FINAL,1990,JULY/AUGUST,DELAWARE,SUMMER FLOUNDER,94436,17.3
FINAL,1990,JULY/AUGUST,MARYLAND,SUMMER FLOUNDER,211699,31.8
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,SUMMER FLOUNDER,56838,41.5
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,SUMMER FLOUNDER,29629,74.6
FINAL,1990,JULY/AUGUST,NEW JERSEY,SUMMER FLOUNDER,1822722,19.7
FINAL,1990,JULY/AUGUST,NEW YORK,SUMMER FLOUNDER,990307,13.9
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SUMMER FLOUNDER,202154,25.9
FINAL,1990,JULY/AUGUST,RHODE ISLAND,SUMMER FLOUNDER,78542,28.7
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SUMMER FLOUNDER,15084,36.5
FINAL,1990,JULY/AUGUST,VIRGINIA,SUMMER FLOUNDER,171067,28.5
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,SUMMER FLOUNDER,7371,83.3
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,SUMMER FLOUNDER,34087,32.1
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,SUMMER FLOUNDER,38683,41.1
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,SUMMER FLOUNDER,24338,49.7
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,SUMMER FLOUNDER,423213,25.4
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,SUMMER FLOUNDER,144825,18.9
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SUMMER FLOUNDER,224849,22.2
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,SUMMER FLOUNDER,4055,55.7
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SUMMER FLOUNDER,0,.
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,SUMMER FLOUNDER,67798,26.5
FINAL,1990,NOVEMBER/DECEMBER,DELAWARE,SUMMER FLOUNDER,0,.
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,SUMMER FLOUNDER,503285,46
