Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,SUMMER FLOUNDER,19461,87.8,0
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,SUMMER FLOUNDER,2348,92.4,0
FINAL,1990,MARCH/APRIL,VIRGINIA,SUMMER FLOUNDER,1441,67.6,0
FINAL,1990,MAY/JUNE,CONNECTICUT,SUMMER FLOUNDER,657,88.7,0
FINAL,1990,MAY/JUNE,DELAWARE,SUMMER FLOUNDER,11118,24.1,0
FINAL,1990,MAY/JUNE,MARYLAND,SUMMER FLOUNDER,12192,36.3,0
FINAL,1990,MAY/JUNE,MASSACHUSETTS,SUMMER FLOUNDER,181,101.8,0
FINAL,1990,MAY/JUNE,NEW JERSEY,SUMMER FLOUNDER,258535,22.4,0
FINAL,1990,MAY/JUNE,NEW YORK,SUMMER FLOUNDER,99391,22.6,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SUMMER FLOUNDER,69491,35.8,0
FINAL,1990,MAY/JUNE,RHODE ISLAND,SUMMER FLOUNDER,171,101.9,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SUMMER FLOUNDER,7827,53.2,0
FINAL,1990,MAY/JUNE,VIRGINIA,SUMMER FLOUNDER,65980,32.3,0
FINAL,1990,JULY/AUGUST,CONNECTICUT,SUMMER FLOUNDER,12508,38.2,0
FINAL,1990,JULY/AUGUST,DELAWARE,SUMMER FLOUNDER,53004,18.4,0
FINAL,1990,JULY/AUGUST,MARYLAND,SUMMER FLOUNDER,115010,29.6,0
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,SUMMER FLOUNDER,37594,42.4,0
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,SUMMER FLOUNDER,26061,74.6,0
FINAL,1990,JULY/AUGUST,NEW JERSEY,SUMMER FLOUNDER,992893,20.4,0
FINAL,1990,JULY/AUGUST,NEW YORK,SUMMER FLOUNDER,644961,13.8,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SUMMER FLOUNDER,87817,25.8,0
FINAL,1990,JULY/AUGUST,RHODE ISLAND,SUMMER FLOUNDER,54552,25.9,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SUMMER FLOUNDER,11109,36.4,0
FINAL,1990,JULY/AUGUST,VIRGINIA,SUMMER FLOUNDER,111250,35.9,0
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,SUMMER FLOUNDER,4458,82.9,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,SUMMER FLOUNDER,20455,28.6,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,SUMMER FLOUNDER,24708,43.5,0
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,SUMMER FLOUNDER,19233,53.5,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,SUMMER FLOUNDER,247496,25.1,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,SUMMER FLOUNDER,97355,19.4,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SUMMER FLOUNDER,104847,20.5,0
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,SUMMER FLOUNDER,2981,56.5,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SUMMER FLOUNDER,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,SUMMER FLOUNDER,42081,26.3,0
FINAL,1990,NOVEMBER/DECEMBER,DELAWARE,SUMMER FLOUNDER,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,SUMMER FLOUNDER,279198,48.3,0
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,SUMMER FLOUNDER,0,.,0
FINAL,1991,JANUARY/FEBRUARY,NORTH CAROLINA,SUMMER FLOUNDER,2294,98.4,0
FINAL,1991,MARCH/APRIL,DELAWARE,SUMMER FLOUNDER,0,.,0
FINAL,1991,MARCH/APRIL,MASSACHUSETTS,SUMMER FLOUNDER,413,96.3,0
FINAL,1991,MARCH/APRIL,NEW JERSEY,SUMMER FLOUNDER,0,.,0
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,SUMMER FLOUNDER,2910,67.1,0
FINAL,1991,MARCH/APRIL,VIRGINIA,SUMMER FLOUNDER,55702,58.1,0
FINAL,1991,MAY/JUNE,CONNECTICUT,SUMMER FLOUNDER,11143,69.7,0
FINAL,1991,MAY/JUNE,DELAWARE,SUMMER FLOUNDER,41974,27.8,0
FINAL,1991,MAY/JUNE,MARYLAND,SUMMER FLOUNDER,102436,47.9,0
FINAL,1991,MAY/JUNE,MASSACHUSETTS,SUMMER FLOUNDER,30435,81.5,0
FINAL,1991,MAY/JUNE,NEW JERSEY,SUMMER FLOUNDER,747845,15,0
FINAL,1991,MAY/JUNE,NEW YORK,SUMMER FLOUNDER,233236,21.5,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,SUMMER FLOUNDER,85657,31.5,0
FINAL,1991,MAY/JUNE,RHODE ISLAND,SUMMER FLOUNDER,13772,56.7,0
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,SUMMER FLOUNDER,60501,44.2,0
FINAL,1991,MAY/JUNE,VIRGINIA,SUMMER FLOUNDER,413335,23.6,0
FINAL,1991,JULY/AUGUST,CONNECTICUT,SUMMER FLOUNDER,63745,43.8,0
FINAL,1991,JULY/AUGUST,DELAWARE,SUMMER FLOUNDER,70032,16.9,0
FINAL,1991,JULY/AUGUST,MARYLAND,SUMMER FLOUNDER,149724,32.4,0
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,SUMMER FLOUNDER,57129,64.9,0
FINAL,1991,JULY/AUGUST,NEW HAMPSHIRE,SUMMER FLOUNDER,3870,78.4,0
FINAL,1991,JULY/AUGUST,NEW JERSEY,SUMMER FLOUNDER,1436178,13.2,0
FINAL,1991,JULY/AUGUST,NEW YORK,SUMMER FLOUNDER,1208180,31.5,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,SUMMER FLOUNDER,39315,35.3,0
FINAL,1991,JULY/AUGUST,RHODE ISLAND,SUMMER FLOUNDER,43922,29.8,0
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,SUMMER FLOUNDER,34170,45.1,0
FINAL,1991,JULY/AUGUST,VIRGINIA,SUMMER FLOUNDER,109579,42,0
FINAL,1991,SEPTEMBER/OCTOBER,CONNECTICUT,SUMMER FLOUNDER,9334,38.7,0
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,SUMMER FLOUNDER,16420,28.1,0
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,SUMMER FLOUNDER,71598,35.9,0
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,SUMMER FLOUNDER,5599,86.2,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,SUMMER FLOUNDER,2538,132.6,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,SUMMER FLOUNDER,343688,31.9,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,SUMMER FLOUNDER,255800,46.5,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,SUMMER FLOUNDER,137733,21.5,0
FINAL,1991,SEPTEMBER/OCTOBER,RHODE ISLAND,SUMMER FLOUNDER,2150,51.3,0
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SUMMER FLOUNDER,0,.,0
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,SUMMER FLOUNDER,70936,52.7,0
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,SUMMER FLOUNDER,14518,29.5,0
FINAL,1991,NOVEMBER/DECEMBER,RHODE ISLAND,SUMMER FLOUNDER,6,99.9,0
FINAL,1991,NOVEMBER/DECEMBER,VIRGINIA,SUMMER FLOUNDER,756,91.7,0
FINAL,1992,MARCH/APRIL,MASSACHUSETTS,SUMMER FLOUNDER,2622,104.6,0
FINAL,1992,MARCH/APRIL,NEW YORK,SUMMER FLOUNDER,0,.,0
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,SUMMER FLOUNDER,4462,82.7,0
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,SUMMER FLOUNDER,2143,98.4,0
FINAL,1992,MARCH/APRIL,VIRGINIA,SUMMER FLOUNDER,14101,44.5,0
FINAL,1992,MAY/JUNE,CONNECTICUT,SUMMER FLOUNDER,10352,76.4,0
FINAL,1992,MAY/JUNE,DELAWARE,SUMMER FLOUNDER,61992,25,0
FINAL,1992,MAY/JUNE,MARYLAND,SUMMER FLOUNDER,59993,33.7,0
FINAL,1992,MAY/JUNE,MASSACHUSETTS,SUMMER FLOUNDER,8142,77.5,0
FINAL,1992,MAY/JUNE,NEW JERSEY,SUMMER FLOUNDER,616318,21.1,0
FINAL,1992,MAY/JUNE,NEW YORK,SUMMER FLOUNDER,243551,27.5,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,SUMMER FLOUNDER,97726,28.6,0
FINAL,1992,MAY/JUNE,RHODE ISLAND,SUMMER FLOUNDER,16039,42.6,0
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,SUMMER FLOUNDER,3445,96.8,0
FINAL,1992,MAY/JUNE,VIRGINIA,SUMMER FLOUNDER,299054,26.6,0
FINAL,1992,JULY/AUGUST,CONNECTICUT,SUMMER FLOUNDER,70624,32.3,0
FINAL,1992,JULY/AUGUST,DELAWARE,SUMMER FLOUNDER,191628,17.8,0
FINAL,1992,JULY/AUGUST,MARYLAND,SUMMER FLOUNDER,249459,25.1,0
FINAL,1992,JULY/AUGUST,MASSACHUSETTS,SUMMER FLOUNDER,58403,50.1,0
FINAL,1992,JULY/AUGUST,NEW HAMPSHIRE,SUMMER FLOUNDER,0,.,0
FINAL,1992,JULY/AUGUST,NEW JERSEY,SUMMER FLOUNDER,1650212,15.2,0
FINAL,1992,JULY/AUGUST,NEW YORK,SUMMER FLOUNDER,389556,15.9,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,SUMMER FLOUNDER,54972,32.7,0
FINAL,1992,JULY/AUGUST,RHODE ISLAND,SUMMER FLOUNDER,90592,18.4,0
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,SUMMER FLOUNDER,209,99.9,0
FINAL,1992,JULY/AUGUST,VIRGINIA,SUMMER FLOUNDER,210076,19.7,0
FINAL,1992,SEPTEMBER/OCTOBER,CONNECTICUT,SUMMER FLOUNDER,28858,60.7,0
FINAL,1992,SEPTEMBER/OCTOBER,DELAWARE,SUMMER FLOUNDER,36023,22.9,0
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,SUMMER FLOUNDER,1084,103.9,0
FINAL,1992,SEPTEMBER/OCTOBER,MARYLAND,SUMMER FLOUNDER,98339,36.6,0
FINAL,1992,SEPTEMBER/OCTOBER,MASSACHUSETTS,SUMMER FLOUNDER,26294,48.2,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW JERSEY,SUMMER FLOUNDER,780932,14.2,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW YORK,SUMMER FLOUNDER,110452,19.7,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,SUMMER FLOUNDER,80161,30.6,0
FINAL,1992,SEPTEMBER/OCTOBER,RHODE ISLAND,SUMMER FLOUNDER,18093,35.6,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SUMMER FLOUNDER,1353,71.4,0
FINAL,1992,SEPTEMBER/OCTOBER,VIRGINIA,SUMMER FLOUNDER,104673,31.2,0
FINAL,1992,NOVEMBER/DECEMBER,MARYLAND,SUMMER FLOUNDER,0,.,0
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,SUMMER FLOUNDER,17989,42.6,0
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,SUMMER FLOUNDER,1690,65.3,0
