Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,DELAWARE,TAUTOG,345,100.2
FINAL,1990,MARCH/APRIL,MASSACHUSETTS,TAUTOG,43498,44.4
FINAL,1990,MARCH/APRIL,NEW JERSEY,TAUTOG,32387,38.7
FINAL,1990,MARCH/APRIL,NEW YORK,TAUTOG,32345,65.6
FINAL,1990,MARCH/APRIL,RHODE ISLAND,TAUTOG,22912,72
FINAL,1990,MARCH/APRIL,VIRGINIA,TAUTOG,25271,39.8
FINAL,1990,MAY/JUNE,CONNECTICUT,TAUTOG,85597,25.7
FINAL,1990,MAY/JUNE,DELAWARE,TAUTOG,11277,46.9
FINAL,1990,MAY/JUNE,MARYLAND,TAUTOG,14602,61.1
FINAL,1990,MAY/JUNE,MASSACHUSETTS,TAUTOG,499150,28.9
FINAL,1990,MAY/JUNE,NEW JERSEY,TAUTOG,285946,28.3
FINAL,1990,MAY/JUNE,NEW YORK,TAUTOG,397134,22.7
FINAL,1990,MAY/JUNE,NORTH CAROLINA,TAUTOG,1358,76.9
FINAL,1990,MAY/JUNE,RHODE ISLAND,TAUTOG,150702,31.1
FINAL,1990,MAY/JUNE,VIRGINIA,TAUTOG,3541,85.2
FINAL,1990,JULY/AUGUST,CONNECTICUT,TAUTOG,30857,63.4
FINAL,1990,JULY/AUGUST,DELAWARE,TAUTOG,0,.
FINAL,1990,JULY/AUGUST,MARYLAND,TAUTOG,7099,100.7
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,TAUTOG,13930,35
FINAL,1990,JULY/AUGUST,NEW JERSEY,TAUTOG,3396,72.1
FINAL,1990,JULY/AUGUST,NEW YORK,TAUTOG,38333,47.1
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,TAUTOG,483,87.2
FINAL,1990,JULY/AUGUST,RHODE ISLAND,TAUTOG,60613,42.9
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,TAUTOG,22693,43.7
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,TAUTOG,8850,57.6
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,TAUTOG,28260,66.8
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,TAUTOG,211366,49.5
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,TAUTOG,781725,22.8
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,TAUTOG,707797,20.1
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,TAUTOG,5416,96.5
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,TAUTOG,55951,28.9
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,TAUTOG,81455,91.6
FINAL,1990,NOVEMBER/DECEMBER,CONNECTICUT,TAUTOG,59735,18.4
FINAL,1990,NOVEMBER/DECEMBER,DELAWARE,TAUTOG,96691,55.1
FINAL,1990,NOVEMBER/DECEMBER,MARYLAND,TAUTOG,2423,107.5
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,TAUTOG,68726,43.6
FINAL,1990,NOVEMBER/DECEMBER,NEW JERSEY,TAUTOG,493105,35.6
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,TAUTOG,547847,29.1
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,TAUTOG,1017,70.7
FINAL,1990,NOVEMBER/DECEMBER,RHODE ISLAND,TAUTOG,52738,47.4
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,TAUTOG,318923,75.9
FINAL,1991,MARCH/APRIL,CONNECTICUT,TAUTOG,53,64.3
FINAL,1991,MARCH/APRIL,DELAWARE,TAUTOG,4851,73.7
FINAL,1991,MARCH/APRIL,MARYLAND,TAUTOG,12868,104.5
FINAL,1991,MARCH/APRIL,MASSACHUSETTS,TAUTOG,42086,49.8
FINAL,1991,MARCH/APRIL,NEW JERSEY,TAUTOG,166809,58.4
FINAL,1991,MARCH/APRIL,NEW YORK,TAUTOG,9417,49
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,TAUTOG,7293,54.2
FINAL,1991,MARCH/APRIL,RHODE ISLAND,TAUTOG,2822,72.5
FINAL,1991,MARCH/APRIL,VIRGINIA,TAUTOG,43325,53.6
FINAL,1991,MAY/JUNE,CONNECTICUT,TAUTOG,134980,30.4
FINAL,1991,MAY/JUNE,DELAWARE,TAUTOG,19665,64.5
FINAL,1991,MAY/JUNE,MARYLAND,TAUTOG,7458,74.8
FINAL,1991,MAY/JUNE,MASSACHUSETTS,TAUTOG,82035,47.2
FINAL,1991,MAY/JUNE,NEW JERSEY,TAUTOG,307666,38.6
FINAL,1991,MAY/JUNE,NEW YORK,TAUTOG,212730,20
FINAL,1991,MAY/JUNE,NORTH CAROLINA,TAUTOG,1459,63.1
FINAL,1991,MAY/JUNE,RHODE ISLAND,TAUTOG,147988,26.6
FINAL,1991,MAY/JUNE,VIRGINIA,TAUTOG,27887,73.1
FINAL,1991,JULY/AUGUST,CONNECTICUT,TAUTOG,30398,88.2
FINAL,1991,JULY/AUGUST,DELAWARE,TAUTOG,947,98.8
FINAL,1991,JULY/AUGUST,MARYLAND,TAUTOG,2325,96.9
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,TAUTOG,61972,48.2
FINAL,1991,JULY/AUGUST,NEW HAMPSHIRE,TAUTOG,772,100.7
FINAL,1991,JULY/AUGUST,NEW JERSEY,TAUTOG,1852,92.5
FINAL,1991,JULY/AUGUST,NEW YORK,TAUTOG,39233,39.7
FINAL,1991,JULY/AUGUST,RHODE ISLAND,TAUTOG,210371,79.8
FINAL,1991,SEPTEMBER/OCTOBER,CONNECTICUT,TAUTOG,64960,32.9
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,TAUTOG,127840,38.4
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,TAUTOG,37695,53.5
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,TAUTOG,202906,27.4
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,TAUTOG,874733,18.8
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,TAUTOG,770679,27.2
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,TAUTOG,1069,100.7
FINAL,1991,SEPTEMBER/OCTOBER,RHODE ISLAND,TAUTOG,123733,44
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,TAUTOG,81254,61.8
FINAL,1991,NOVEMBER/DECEMBER,CONNECTICUT,TAUTOG,46104,52.1
FINAL,1991,NOVEMBER/DECEMBER,DELAWARE,TAUTOG,30273,50.4
FINAL,1991,NOVEMBER/DECEMBER,MARYLAND,TAUTOG,137,100.3
FINAL,1991,NOVEMBER/DECEMBER,MASSACHUSETTS,TAUTOG,0,.
FINAL,1991,NOVEMBER/DECEMBER,NEW JERSEY,TAUTOG,362323,46.2
FINAL,1991,NOVEMBER/DECEMBER,NEW YORK,TAUTOG,435654,28.2
FINAL,1991,NOVEMBER/DECEMBER,RHODE ISLAND,TAUTOG,620186,41.4
FINAL,1991,NOVEMBER/DECEMBER,VIRGINIA,TAUTOG,406202,78.8
FINAL,1992,MARCH/APRIL,DELAWARE,TAUTOG,0,.
FINAL,1992,MARCH/APRIL,MASSACHUSETTS,TAUTOG,8066,80.9
FINAL,1992,MARCH/APRIL,NEW JERSEY,TAUTOG,43291,80.8
FINAL,1992,MARCH/APRIL,NEW YORK,TAUTOG,88430,63.5
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,TAUTOG,2304,57.2
FINAL,1992,MARCH/APRIL,VIRGINIA,TAUTOG,31658,55.5
FINAL,1992,MAY/JUNE,CONNECTICUT,TAUTOG,175451,32.7
FINAL,1992,MAY/JUNE,DELAWARE,TAUTOG,17564,42.6
FINAL,1992,MAY/JUNE,MARYLAND,TAUTOG,23694,47.4
FINAL,1992,MAY/JUNE,MASSACHUSETTS,TAUTOG,67365,42.4
FINAL,1992,MAY/JUNE,NEW JERSEY,TAUTOG,766729,34.6
FINAL,1992,MAY/JUNE,NEW YORK,TAUTOG,291699,19
FINAL,1992,MAY/JUNE,NORTH CAROLINA,TAUTOG,8254,91.4
FINAL,1992,MAY/JUNE,RHODE ISLAND,TAUTOG,200558,32.3
FINAL,1992,MAY/JUNE,VIRGINIA,TAUTOG,38359,59.2
FINAL,1992,JULY/AUGUST,CONNECTICUT,TAUTOG,29055,29.7
FINAL,1992,JULY/AUGUST,DELAWARE,TAUTOG,1281,63.3
FINAL,1992,JULY/AUGUST,MARYLAND,TAUTOG,0,.
FINAL,1992,JULY/AUGUST,MASSACHUSETTS,TAUTOG,49575,37.1
FINAL,1992,JULY/AUGUST,NEW JERSEY,TAUTOG,190213,58.1
FINAL,1992,JULY/AUGUST,NEW YORK,TAUTOG,43462,30.9
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,TAUTOG,0,.
FINAL,1992,JULY/AUGUST,RHODE ISLAND,TAUTOG,131781,26.6
FINAL,1992,JULY/AUGUST,VIRGINIA,TAUTOG,431,102.5
