Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MARCH/APRIL,DELAWARE,TAUTOG,586,100.2,0
FINAL,1990,MARCH/APRIL,MASSACHUSETTS,TAUTOG,79333,44.4,0
FINAL,1990,MARCH/APRIL,NEW JERSEY,TAUTOG,27695,37.2,0
FINAL,1990,MARCH/APRIL,NEW YORK,TAUTOG,33299,62.1,0
FINAL,1990,MARCH/APRIL,RHODE ISLAND,TAUTOG,27322,71.7,0
FINAL,1990,MARCH/APRIL,VIRGINIA,TAUTOG,38783,43.1,0
FINAL,1990,MAY/JUNE,CONNECTICUT,TAUTOG,105794,25.8,0
FINAL,1990,MAY/JUNE,DELAWARE,TAUTOG,4918,39.9,0
FINAL,1990,MAY/JUNE,MARYLAND,TAUTOG,16159,74.2,0
FINAL,1990,MAY/JUNE,MASSACHUSETTS,TAUTOG,820510,29.3,0
FINAL,1990,MAY/JUNE,NEW JERSEY,TAUTOG,205723,28.6,0
FINAL,1990,MAY/JUNE,NEW YORK,TAUTOG,400916,26.7,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,TAUTOG,977,80.5,0
FINAL,1990,MAY/JUNE,RHODE ISLAND,TAUTOG,195103,29.3,0
FINAL,1990,MAY/JUNE,VIRGINIA,TAUTOG,7478,78.6,0
FINAL,1990,JULY/AUGUST,CONNECTICUT,TAUTOG,35247,67.5,0
FINAL,1990,JULY/AUGUST,DELAWARE,TAUTOG,0,.,0
FINAL,1990,JULY/AUGUST,MARYLAND,TAUTOG,13989,100.7,0
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,TAUTOG,19360,38.8,0
FINAL,1990,JULY/AUGUST,NEW JERSEY,TAUTOG,3263,72,0
FINAL,1990,JULY/AUGUST,NEW YORK,TAUTOG,33207,56,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,TAUTOG,1122,93,0
FINAL,1990,JULY/AUGUST,RHODE ISLAND,TAUTOG,70966,49.1,0
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,TAUTOG,25904,46.8,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,TAUTOG,9236,54.7,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,TAUTOG,10601,65.1,0
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,TAUTOG,382213,52.6,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,TAUTOG,512619,29.1,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,TAUTOG,701820,18,0
