Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,WEAKFISH,16504,98.8
FINAL,1990,MARCH/APRIL,FLORIDA,WEAKFISH,26146,75.1
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,WEAKFISH,23694,60.1
FINAL,1990,MAY/JUNE,DELAWARE,WEAKFISH,27205,19.8
FINAL,1990,MAY/JUNE,FLORIDA,WEAKFISH,225518,86
FINAL,1990,MAY/JUNE,MARYLAND,WEAKFISH,32494,52.5
FINAL,1990,MAY/JUNE,NEW JERSEY,WEAKFISH,52856,98.7
FINAL,1990,MAY/JUNE,NORTH CAROLINA,WEAKFISH,58834,31.7
FINAL,1990,MAY/JUNE,RHODE ISLAND,WEAKFISH,917,100
FINAL,1990,MAY/JUNE,VIRGINIA,WEAKFISH,19195,36.8
FINAL,1990,JULY/AUGUST,DELAWARE,WEAKFISH,82717,21.6
FINAL,1990,JULY/AUGUST,FLORIDA,WEAKFISH,7450,95.5
FINAL,1990,JULY/AUGUST,GEORGIA,WEAKFISH,1732,77.9
FINAL,1990,JULY/AUGUST,MARYLAND,WEAKFISH,173288,41
FINAL,1990,JULY/AUGUST,NEW JERSEY,WEAKFISH,178367,43.9
FINAL,1990,JULY/AUGUST,NEW YORK,WEAKFISH,11223,61.2
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,WEAKFISH,29256,56.6
FINAL,1990,JULY/AUGUST,VIRGINIA,WEAKFISH,76884,26.5
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,WEAKFISH,94026,25.3
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,WEAKFISH,505234,50.2
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,WEAKFISH,173367,30.8
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,WEAKFISH,450,70.1
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,WEAKFISH,27391,32.2
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,WEAKFISH,21470,96.3
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,WEAKFISH,198866,33.8
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,WEAKFISH,96125,53.8
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,WEAKFISH,0,.
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,WEAKFISH,10333,47.7
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,WEAKFISH,24935,67.5
FINAL,1991,MARCH/APRIL,DELAWARE,WEAKFISH,2460,109.9
FINAL,1991,MARCH/APRIL,FLORIDA,WEAKFISH,2829,98.6
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,WEAKFISH,72350,65.7
FINAL,1991,MARCH/APRIL,SOUTH CAROLINA,WEAKFISH,4513,18.1
FINAL,1991,MAY/JUNE,DELAWARE,WEAKFISH,303433,26.6
FINAL,1991,MAY/JUNE,FLORIDA,WEAKFISH,2155,98
FINAL,1991,MAY/JUNE,MARYLAND,WEAKFISH,48643,59
FINAL,1991,MAY/JUNE,NEW JERSEY,WEAKFISH,283010,38.4
FINAL,1991,MAY/JUNE,NEW YORK,WEAKFISH,3392,99.6
FINAL,1991,MAY/JUNE,NORTH CAROLINA,WEAKFISH,141041,68.3
FINAL,1991,MAY/JUNE,VIRGINIA,WEAKFISH,253931,29
FINAL,1991,JULY/AUGUST,CONNECTICUT,WEAKFISH,16453,85.8
FINAL,1991,JULY/AUGUST,DELAWARE,WEAKFISH,225651,20.3
FINAL,1991,JULY/AUGUST,FLORIDA,WEAKFISH,3028,98.5
FINAL,1991,JULY/AUGUST,MARYLAND,WEAKFISH,165745,36.6
FINAL,1991,JULY/AUGUST,NEW JERSEY,WEAKFISH,461778,48.9
FINAL,1991,JULY/AUGUST,NEW YORK,WEAKFISH,41944,41
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,WEAKFISH,5187,63.7
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,WEAKFISH,20197,94.9
FINAL,1991,JULY/AUGUST,VIRGINIA,WEAKFISH,136218,40.4
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,WEAKFISH,47667,26.9
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,WEAKFISH,0,.
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,WEAKFISH,5173,78
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,WEAKFISH,161602,41.2
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,WEAKFISH,333356,38.8
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,WEAKFISH,28324,58
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,WEAKFISH,117103,44.4
