Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,WEAKFISH,4637,98.8,0
FINAL,1990,MARCH/APRIL,FLORIDA,WEAKFISH,8224,73.3,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,WEAKFISH,7585,55.3,0
FINAL,1990,MAY/JUNE,DELAWARE,WEAKFISH,19850,22.4,0
FINAL,1990,MAY/JUNE,FLORIDA,WEAKFISH,50115,86,0
FINAL,1990,MAY/JUNE,MARYLAND,WEAKFISH,30418,43.3,0
FINAL,1990,MAY/JUNE,NEW JERSEY,WEAKFISH,15336,79.1,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,WEAKFISH,18229,34,0
FINAL,1990,MAY/JUNE,RHODE ISLAND,WEAKFISH,945,100,0
FINAL,1990,MAY/JUNE,VIRGINIA,WEAKFISH,4637,35.7,0
FINAL,1990,JULY/AUGUST,DELAWARE,WEAKFISH,46521,21.7,0
FINAL,1990,JULY/AUGUST,FLORIDA,WEAKFISH,3739,95.5,0
FINAL,1990,JULY/AUGUST,GEORGIA,WEAKFISH,531,77.9,0
FINAL,1990,JULY/AUGUST,MARYLAND,WEAKFISH,81436,39,0
FINAL,1990,JULY/AUGUST,NEW JERSEY,WEAKFISH,146865,37.5,0
FINAL,1990,JULY/AUGUST,NEW YORK,WEAKFISH,5710,55.8,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,WEAKFISH,5056,54.8,0
FINAL,1990,JULY/AUGUST,VIRGINIA,WEAKFISH,24561,29.2,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,WEAKFISH,59714,25.3,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,WEAKFISH,214838,48.2,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,WEAKFISH,95150,29.2,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,WEAKFISH,255,70.4,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,WEAKFISH,10529,27.6,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,WEAKFISH,16843,98,0
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,WEAKFISH,135735,37.4,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,WEAKFISH,47418,52.5,0
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,WEAKFISH,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,WEAKFISH,6121,58.3,0
