Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,214100,45.9
FINAL,1990,MARCH/APRIL,MARYLAND,WINTER FLOUNDER,0,.
FINAL,1990,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,63383,36.7
FINAL,1990,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,838778,25.4
FINAL,1990,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,1613021,34.2
FINAL,1990,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,124166,38.4
FINAL,1990,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,355407,23.7
FINAL,1990,MAY/JUNE,MARYLAND,WINTER FLOUNDER,0,.
FINAL,1990,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,349565,25.4
FINAL,1990,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,312923,42.9
FINAL,1990,MAY/JUNE,NEW YORK,WINTER FLOUNDER,754814,18.5
FINAL,1990,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,81630,23.2
FINAL,1990,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,115895,44.7
FINAL,1990,JULY/AUGUST,DELAWARE,WINTER FLOUNDER,5609,81.9
FINAL,1990,JULY/AUGUST,MAINE,WINTER FLOUNDER,582285,55.1
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,153682,39.5
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,WINTER FLOUNDER,2095,50.1
FINAL,1990,JULY/AUGUST,NEW YORK,WINTER FLOUNDER,89836,44.6
FINAL,1990,JULY/AUGUST,RHODE ISLAND,WINTER FLOUNDER,2098,61.6
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,5214,45.9
FINAL,1990,SEPTEMBER/OCTOBER,MAINE,WINTER FLOUNDER,779,103.6
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,47710,36.8
FINAL,1990,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,WINTER FLOUNDER,4249,95
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,61055,34.2
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,294086,24.2
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,151459,39.1
FINAL,1990,NOVEMBER/DECEMBER,CONNECTICUT,WINTER FLOUNDER,63628,35.9
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,WINTER FLOUNDER,71689,56.6
FINAL,1990,NOVEMBER/DECEMBER,NEW JERSEY,WINTER FLOUNDER,512390,34.7
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,WINTER FLOUNDER,443631,33
FINAL,1990,NOVEMBER/DECEMBER,RHODE ISLAND,WINTER FLOUNDER,94861,29.3
FINAL,1991,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,203443,32.7
FINAL,1991,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,35291,52.7
FINAL,1991,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,684723,38.9
FINAL,1991,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,1923006,28.4
FINAL,1991,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,78589,27
FINAL,1991,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,256615,31.8
FINAL,1991,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,141953,25.9
FINAL,1991,MAY/JUNE,NEW HAMPSHIRE,WINTER FLOUNDER,0,.
FINAL,1991,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,135019,39.8
FINAL,1991,MAY/JUNE,NEW YORK,WINTER FLOUNDER,1089879,22
FINAL,1991,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,88967,50.1
FINAL,1991,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,4238,60.7
FINAL,1991,JULY/AUGUST,MAINE,WINTER FLOUNDER,100820,87.2
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,58988,30.2
FINAL,1991,JULY/AUGUST,NEW YORK,WINTER FLOUNDER,50525,68.3
FINAL,1991,JULY/AUGUST,RHODE ISLAND,WINTER FLOUNDER,5264,55.1
FINAL,1991,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,27206,59.4
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,WINTER FLOUNDER,0,.
FINAL,1991,SEPTEMBER/OCTOBER,MAINE,WINTER FLOUNDER,4982,100.3
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,70292,49.5
FINAL,1991,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,WINTER FLOUNDER,4230,132.6
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,124469,57.6
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,106968,28.9
FINAL,1991,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,13989,62.8
FINAL,1991,NOVEMBER/DECEMBER,CONNECTICUT,WINTER FLOUNDER,124518,31.9
FINAL,1991,NOVEMBER/DECEMBER,MASSACHUSETTS,WINTER FLOUNDER,21588,97.6
FINAL,1991,NOVEMBER/DECEMBER,NEW JERSEY,WINTER FLOUNDER,205501,34.2
FINAL,1991,NOVEMBER/DECEMBER,NEW YORK,WINTER FLOUNDER,160304,25.3
FINAL,1991,NOVEMBER/DECEMBER,RHODE ISLAND,WINTER FLOUNDER,68,99.9
FINAL,1992,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,15439,54.7
FINAL,1992,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,35542,59.7
FINAL,1992,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,237731,38.3
FINAL,1992,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,834769,29.3
FINAL,1992,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,12668,91.8
FINAL,1992,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,71974,41.7
FINAL,1992,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,150761,39.6
FINAL,1992,MAY/JUNE,NEW HAMPSHIRE,WINTER FLOUNDER,5211,64.6
FINAL,1992,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,42679,54.5
FINAL,1992,MAY/JUNE,NEW YORK,WINTER FLOUNDER,453422,16.4
FINAL,1992,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,4520,77.8
FINAL,1992,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,16214,71.9
FINAL,1992,JULY/AUGUST,MAINE,WINTER FLOUNDER,47739,97
FINAL,1992,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,24474,35.6
FINAL,1992,JULY/AUGUST,NEW HAMPSHIRE,WINTER FLOUNDER,13849,61.1
FINAL,1992,JULY/AUGUST,NEW YORK,WINTER FLOUNDER,18413,60.5
FINAL,1992,JULY/AUGUST,RHODE ISLAND,WINTER FLOUNDER,289,60.6
FINAL,1992,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,42620,42.2
FINAL,1992,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,141458,33.4
FINAL,1992,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,74462,40.1
FINAL,1992,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,58653,27
FINAL,1992,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,9499,57.9
FINAL,1992,NOVEMBER/DECEMBER,CONNECTICUT,WINTER FLOUNDER,61589,92.4
FINAL,1992,NOVEMBER/DECEMBER,MASSACHUSETTS,WINTER FLOUNDER,27249,42.1
FINAL,1992,NOVEMBER/DECEMBER,NEW JERSEY,WINTER FLOUNDER,115760,38.8
FINAL,1992,NOVEMBER/DECEMBER,NEW YORK,WINTER FLOUNDER,250905,31.8
FINAL,1992,NOVEMBER/DECEMBER,RHODE ISLAND,WINTER FLOUNDER,0,.
FINAL,1993,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,91518,15.9
FINAL,1993,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,12014,108.8
FINAL,1993,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,921063,26.5
FINAL,1993,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,355286,17.7
FINAL,1993,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,1582,90.7
FINAL,1993,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,72454,56.9
FINAL,1993,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,217586,23.8
FINAL,1993,MAY/JUNE,NEW HAMPSHIRE,WINTER FLOUNDER,6330,78.4
FINAL,1993,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,103313,63
FINAL,1993,MAY/JUNE,NEW YORK,WINTER FLOUNDER,566487,20.6
FINAL,1993,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,22709,54.1
FINAL,1993,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,6456,41.5
FINAL,1993,JULY/AUGUST,MAINE,WINTER FLOUNDER,12189,95.4
FINAL,1993,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,93512,27.5
FINAL,1993,JULY/AUGUST,NEW HAMPSHIRE,WINTER FLOUNDER,12456,73.6
FINAL,1993,JULY/AUGUST,NEW JERSEY,WINTER FLOUNDER,3334,101.4
FINAL,1993,JULY/AUGUST,NEW YORK,WINTER FLOUNDER,13845,53.8
FINAL,1993,JULY/AUGUST,RHODE ISLAND,WINTER FLOUNDER,314,79.2
FINAL,1993,JULY/AUGUST,VIRGINIA,WINTER FLOUNDER,2958,98.1
FINAL,1993,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,24534,43.4
FINAL,1993,SEPTEMBER/OCTOBER,MAINE,WINTER FLOUNDER,68108,94.9
FINAL,1993,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,168498,32.7
FINAL,1993,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,WINTER FLOUNDER,490,103.2
FINAL,1993,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,353337,63.3
FINAL,1993,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,171468,21
FINAL,1993,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,2386,77.4
FINAL,1993,NOVEMBER/DECEMBER,CONNECTICUT,WINTER FLOUNDER,11725,79.5
FINAL,1993,NOVEMBER/DECEMBER,MASSACHUSETTS,WINTER FLOUNDER,11572,66.3
FINAL,1993,NOVEMBER/DECEMBER,NEW JERSEY,WINTER FLOUNDER,36314,69.9
FINAL,1993,NOVEMBER/DECEMBER,NEW YORK,WINTER FLOUNDER,170453,24.2
FINAL,1994,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,12519,88.7
FINAL,1994,MARCH/APRIL,DELAWARE,WINTER FLOUNDER,0,.
FINAL,1994,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,17360,69.3
FINAL,1994,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,929337,25.1
FINAL,1994,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,182448,25.1
FINAL,1994,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,53244,22.6
FINAL,1994,MARCH/APRIL,VIRGINIA,WINTER FLOUNDER,1342,106
FINAL,1994,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,90066,42.9
FINAL,1994,MAY/JUNE,DELAWARE,WINTER FLOUNDER,989,109.3
FINAL,1994,MAY/JUNE,MAINE,WINTER FLOUNDER,1972,103.6
FINAL,1994,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,142151,29.5
FINAL,1994,MAY/JUNE,NEW HAMPSHIRE,WINTER FLOUNDER,7299,62.6
FINAL,1994,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,23326,75.7
FINAL,1994,MAY/JUNE,NEW YORK,WINTER FLOUNDER,359581,25.9
FINAL,1994,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,3434,61.4
FINAL,1994,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,1759,99.7
FINAL,1994,JULY/AUGUST,MAINE,WINTER FLOUNDER,3537,97.4
FINAL,1994,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,89922,28.9
FINAL,1994,JULY/AUGUST,NEW HAMPSHIRE,WINTER FLOUNDER,9276,64
FINAL,1994,JULY/AUGUST,NEW YORK,WINTER FLOUNDER,18456,48.7
FINAL,1994,JULY/AUGUST,RHODE ISLAND,WINTER FLOUNDER,3836,81.6
FINAL,1994,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,33346,46.8
FINAL,1994,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,43853,54.1
FINAL,1994,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,3608,101.3
FINAL,1994,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,14253,54.7
FINAL,1994,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,3727,59.1
FINAL,1994,NOVEMBER/DECEMBER,CONNECTICUT,WINTER FLOUNDER,6464,71
FINAL,1994,NOVEMBER/DECEMBER,MASSACHUSETTS,WINTER FLOUNDER,9104,74.5
FINAL,1994,NOVEMBER/DECEMBER,NEW JERSEY,WINTER FLOUNDER,528084,46.6
FINAL,1994,NOVEMBER/DECEMBER,NEW YORK,WINTER FLOUNDER,92471,32
FINAL,1994,NOVEMBER/DECEMBER,RHODE ISLAND,WINTER FLOUNDER,0,.
FINAL,1995,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,129188,42
FINAL,1995,MARCH/APRIL,DELAWARE,WINTER FLOUNDER,0,.
FINAL,1995,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,3152,56.7
FINAL,1995,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,913137,20.7
FINAL,1995,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,220435,25.7
FINAL,1995,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,48192,28.7
FINAL,1995,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,102713,32.6
FINAL,1995,MAY/JUNE,DELAWARE,WINTER FLOUNDER,0,.
FINAL,1995,MAY/JUNE,MAINE,WINTER FLOUNDER,3550,105.9
FINAL,1995,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,129610,33.2
FINAL,1995,MAY/JUNE,NEW HAMPSHIRE,WINTER FLOUNDER,5478,47.5
FINAL,1995,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,202214,82
FINAL,1995,MAY/JUNE,NEW YORK,WINTER FLOUNDER,689041,26.5
FINAL,1995,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,5270,99.7
FINAL,1995,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,34034,83
FINAL,1995,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,23932,41.2
FINAL,1995,JULY/AUGUST,NEW HAMPSHIRE,WINTER FLOUNDER,7579,33.1
FINAL,1995,JULY/AUGUST,NEW YORK,WINTER FLOUNDER,381,100.6
FINAL,1995,JULY/AUGUST,RHODE ISLAND,WINTER FLOUNDER,4540,88.8
FINAL,1995,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,1431,101.2
FINAL,1995,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,44917,39.4
FINAL,1995,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,WINTER FLOUNDER,488,87
FINAL,1995,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,14746,100.9
FINAL,1995,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,3552,72.6
FINAL,1995,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,22310,62.1
FINAL,1995,NOVEMBER/DECEMBER,CONNECTICUT,WINTER FLOUNDER,0,.
FINAL,1995,NOVEMBER/DECEMBER,NEW JERSEY,WINTER FLOUNDER,8629,22.3
FINAL,1995,NOVEMBER/DECEMBER,NEW YORK,WINTER FLOUNDER,44246,63
FINAL,1995,NOVEMBER/DECEMBER,RHODE ISLAND,WINTER FLOUNDER,0,.
FINAL,1996,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,14430,71.5
FINAL,1996,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,12973,102.8
FINAL,1996,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,1262640,23.1
FINAL,1996,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,471661,30.8
FINAL,1996,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,31516,31.2
FINAL,1996,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,124674,27.4
FINAL,1996,MAY/JUNE,MAINE,WINTER FLOUNDER,1033,97.9
FINAL,1996,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,161431,40.3
FINAL,1996,MAY/JUNE,NEW HAMPSHIRE,WINTER FLOUNDER,14908,36.8
FINAL,1996,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,130286,89.7
FINAL,1996,MAY/JUNE,NEW YORK,WINTER FLOUNDER,254175,24.5
FINAL,1996,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,32265,39.1
FINAL,1996,MAY/JUNE,VIRGINIA,WINTER FLOUNDER,0,.
FINAL,1996,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,2000,50.3
FINAL,1996,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,33289,51.8
FINAL,1996,JULY/AUGUST,NEW HAMPSHIRE,WINTER FLOUNDER,0,.
FINAL,1996,JULY/AUGUST,NEW YORK,WINTER FLOUNDER,4522,98.8
FINAL,1996,JULY/AUGUST,RHODE ISLAND,WINTER FLOUNDER,2049,74.9
FINAL,1996,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,2301,95.1
FINAL,1996,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,33135,64.3
FINAL,1996,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,WINTER FLOUNDER,0,.
FINAL,1996,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,5414,101.3
FINAL,1996,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,19290,59.5
FINAL,1996,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,47521,35.2
FINAL,1996,NOVEMBER/DECEMBER,NEW JERSEY,WINTER FLOUNDER,1477601,35.4
FINAL,1996,NOVEMBER/DECEMBER,NEW YORK,WINTER FLOUNDER,79974,84.2
FINAL,1997,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,50757,43.7
FINAL,1997,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,7636,91.1
FINAL,1997,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,1109236,36.7
FINAL,1997,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,303907,25.3
FINAL,1997,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,49406,28.7
FINAL,1997,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,219350,37.9
FINAL,1997,MAY/JUNE,MAINE,WINTER FLOUNDER,47834,81.7
FINAL,1997,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,74326,41.8
FINAL,1997,MAY/JUNE,NEW HAMPSHIRE,WINTER FLOUNDER,3312,42.9
FINAL,1997,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,158527,45.6
FINAL,1997,MAY/JUNE,NEW YORK,WINTER FLOUNDER,239243,28.8
FINAL,1997,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,58818,28.7
FINAL,1997,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,10814,51.4
FINAL,1997,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,37694,44.6
FINAL,1997,JULY/AUGUST,NEW HAMPSHIRE,WINTER FLOUNDER,13177,37.2
FINAL,1997,JULY/AUGUST,NEW YORK,WINTER FLOUNDER,0,.
FINAL,1997,JULY/AUGUST,RHODE ISLAND,WINTER FLOUNDER,1234,72.6
FINAL,1997,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,50502,41.4
FINAL,1997,SEPTEMBER/OCTOBER,MARYLAND,WINTER FLOUNDER,7571,101.6
FINAL,1997,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,43227,73.7
FINAL,1997,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,30489,97.4
FINAL,1997,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,41111,59.7
FINAL,1997,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,27345,38.9
FINAL,1997,NOVEMBER/DECEMBER,CONNECTICUT,WINTER FLOUNDER,2336,108.8
FINAL,1997,NOVEMBER/DECEMBER,DELAWARE,WINTER FLOUNDER,0,.
FINAL,1997,NOVEMBER/DECEMBER,MASSACHUSETTS,WINTER FLOUNDER,5,101.6
FINAL,1997,NOVEMBER/DECEMBER,NEW JERSEY,WINTER FLOUNDER,323808,56.7
FINAL,1997,NOVEMBER/DECEMBER,NEW YORK,WINTER FLOUNDER,93103,66.4
FINAL,1997,NOVEMBER/DECEMBER,RHODE ISLAND,WINTER FLOUNDER,39,101.7
FINAL,1997,NOVEMBER/DECEMBER,VIRGINIA,WINTER FLOUNDER,395,103.4
FINAL,1998,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,120079,40.3
FINAL,1998,MARCH/APRIL,DELAWARE,WINTER FLOUNDER,484,100.9
FINAL,1998,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,1326349,43.8
FINAL,1998,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,347536,32.7
FINAL,1998,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,65214,27.8
FINAL,1998,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,198250,37.1
FINAL,1998,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,86589,54
FINAL,1998,MAY/JUNE,NEW HAMPSHIRE,WINTER FLOUNDER,17808,92.2
FINAL,1998,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,1304,103.2
FINAL,1998,MAY/JUNE,NEW YORK,WINTER FLOUNDER,53406,74.2
FINAL,1998,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,34356,43.6
FINAL,1998,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,12929,44.4
FINAL,1998,JULY/AUGUST,MAINE,WINTER FLOUNDER,2589,87.8
FINAL,1998,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,38609,40.7
FINAL,1998,JULY/AUGUST,NEW HAMPSHIRE,WINTER FLOUNDER,13286,23.6
FINAL,1998,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,0,.
FINAL,1998,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,23836,78.3
FINAL,1998,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,WINTER FLOUNDER,0,.
FINAL,1998,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,20085,103.3
FINAL,1998,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,0,.
FINAL,1998,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,7157,47.6
FINAL,1998,NOVEMBER/DECEMBER,CONNECTICUT,WINTER FLOUNDER,12691,54.1
FINAL,1998,NOVEMBER/DECEMBER,GEORGIA,WINTER FLOUNDER,1929,83.2
FINAL,1998,NOVEMBER/DECEMBER,MASSACHUSETTS,WINTER FLOUNDER,592,100.7
FINAL,1998,NOVEMBER/DECEMBER,NEW JERSEY,WINTER FLOUNDER,453730,57.2
FINAL,1998,NOVEMBER/DECEMBER,NEW YORK,WINTER FLOUNDER,15711,101.4
FINAL,1999,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,54875,42
FINAL,1999,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,40552,100.8
FINAL,1999,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,1329777,36.6
FINAL,1999,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,358623,17.6
FINAL,1999,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,55584,28
FINAL,1999,MARCH/APRIL,VIRGINIA,WINTER FLOUNDER,0,.
FINAL,1999,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,35486,45.3
FINAL,1999,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,105503,40.1
