Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MARCH/APRIL,CONNECTICUT,WINTER FLOUNDER,127364,47.8,0
FINAL,1990,MARCH/APRIL,MARYLAND,WINTER FLOUNDER,0,.,0
FINAL,1990,MARCH/APRIL,MASSACHUSETTS,WINTER FLOUNDER,40276,37.6,0
FINAL,1990,MARCH/APRIL,NEW JERSEY,WINTER FLOUNDER,349333,33.4,0
FINAL,1990,MARCH/APRIL,NEW YORK,WINTER FLOUNDER,714929,32.7,0
FINAL,1990,MARCH/APRIL,RHODE ISLAND,WINTER FLOUNDER,59206,35.3,0
FINAL,1990,MAY/JUNE,CONNECTICUT,WINTER FLOUNDER,161846,25.9,0
FINAL,1990,MAY/JUNE,MARYLAND,WINTER FLOUNDER,0,.,0
FINAL,1990,MAY/JUNE,MASSACHUSETTS,WINTER FLOUNDER,236701,25.8,0
FINAL,1990,MAY/JUNE,NEW JERSEY,WINTER FLOUNDER,114078,47.1,0
FINAL,1990,MAY/JUNE,NEW YORK,WINTER FLOUNDER,297902,18.7,0
FINAL,1990,MAY/JUNE,RHODE ISLAND,WINTER FLOUNDER,44544,23.7,0
FINAL,1990,JULY/AUGUST,CONNECTICUT,WINTER FLOUNDER,42571,41.8,0
FINAL,1990,JULY/AUGUST,DELAWARE,WINTER FLOUNDER,3359,81.9,0
FINAL,1990,JULY/AUGUST,MAINE,WINTER FLOUNDER,317995,54.7,0
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,WINTER FLOUNDER,84582,38,0
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,WINTER FLOUNDER,1052,63.2,0
FINAL,1990,JULY/AUGUST,NEW YORK,WINTER FLOUNDER,41837,42.7,0
FINAL,1990,JULY/AUGUST,RHODE ISLAND,WINTER FLOUNDER,938,71.1,0
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,WINTER FLOUNDER,1465,41.5,0
FINAL,1990,SEPTEMBER/OCTOBER,MAINE,WINTER FLOUNDER,779,103.6,0
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,WINTER FLOUNDER,26337,38.9,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,WINTER FLOUNDER,2918,95,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,WINTER FLOUNDER,20476,35.7,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,WINTER FLOUNDER,91190,25.3,0
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,WINTER FLOUNDER,80988,38.9,0
FINAL,1990,NOVEMBER/DECEMBER,CONNECTICUT,WINTER FLOUNDER,31085,36,0
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,WINTER FLOUNDER,34695,59.3,0
