species,year,season,harvest.n
ATLANTIC CROAKER,1983,1,288461
ATLANTIC CROAKER,1984,1,211280
ATLANTIC CROAKER,1984,2,27689
ATLANTIC CROAKER,1985,1,462130
ATLANTIC CROAKER,1985,2,11397
ATLANTIC CROAKER,1986,1,269451
ATLANTIC CROAKER,1986,2,7706
ATLANTIC CROAKER,1987,1,354579
ATLANTIC CROAKER,1987,2,4296
ATLANTIC CROAKER,1988,1,275619
ATLANTIC CROAKER,1988,2,35765
ATLANTIC CROAKER,1989,1,172797
ATLANTIC CROAKER,1989,2,6344
ATLANTIC CROAKER,1990,1,127215
ATLANTIC CROAKER,1990,2,3056
ATLANTIC CROAKER,1991,1,226928
ATLANTIC CROAKER,1991,2,6718
ATLANTIC CROAKER,1992,1,229787
ATLANTIC CROAKER,1992,2,10452
ATLANTIC CROAKER,1993,1,292668
ATLANTIC CROAKER,1993,2,19720
ATLANTIC CROAKER,1994,1,228937
ATLANTIC CROAKER,1994,2,11625
ATLANTIC CROAKER,1995,1,183568
ATLANTIC CROAKER,1995,2,12650
ATLANTIC CROAKER,1996,1,309075
ATLANTIC CROAKER,1996,2,30243
ATLANTIC CROAKER,1997,1,243540
ATLANTIC CROAKER,1997,2,13836
ATLANTIC CROAKER,1998,1,249635
ATLANTIC CROAKER,1998,2,7016
ATLANTIC CROAKER,1999,1,119453
ATLANTIC CROAKER,1999,2,19933
ATLANTIC CROAKER,2000,1,188982
ATLANTIC CROAKER,2000,2,19602
ATLANTIC CROAKER,2001,1,205808
ATLANTIC CROAKER,2001,2,24536
ATLANTIC CROAKER,2002,1,93199
ATLANTIC CROAKER,2002,2,18209
ATLANTIC CROAKER,2003,1,92467
ATLANTIC CROAKER,2003,2,3755
ATLANTIC CROAKER,2004,1,103290
ATLANTIC CROAKER,2004,2,5951
ATLANTIC CROAKER,2005,1,92653
ATLANTIC CROAKER,2005,2,2003
ATLANTIC CROAKER,2006,1,90142
ATLANTIC CROAKER,2006,2,10360
ATLANTIC CROAKER,2007,1,81362
ATLANTIC CROAKER,2007,2,13881
ATLANTIC CROAKER,2008,1,61086
ATLANTIC CROAKER,2008,2,3104
ATLANTIC CROAKER,2009,1,105278
ATLANTIC CROAKER,2009,2,12168
ATLANTIC CROAKER,2010,1,117278
ATLANTIC CROAKER,2010,2,7507
ATLANTIC CROAKER,2011,1,132173
ATLANTIC CROAKER,2011,2,24400
ATLANTIC CROAKER,2012,1,133479
ATLANTIC CROAKER,2012,2,23056
ATLANTIC CROAKER,2013,1,133594
ATLANTIC CROAKER,2013,2,18720
ATLANTIC CROAKER,2014,1,115029
ATLANTIC CROAKER,2014,2,1658
ATLANTIC CROAKER,2015,1,203076
ATLANTIC CROAKER,2015,2,10449
ATLANTIC CROAKER,2016,1,122147
ATLANTIC CROAKER,2016,2,3535
ATLANTIC CROAKER,2017,1,59324
ATLANTIC CROAKER,2017,2,8005
ATLANTIC CROAKER,2018,1,62882
ATLANTIC CROAKER,2018,2,1561
ATLANTIC CROAKER,2019,1,52733
ATLANTIC CROAKER,2019,2,2627
GREATER AMBERJACK,1983,1,417
GREATER AMBERJACK,1984,1,990
GREATER AMBERJACK,1984,2,0
GREATER AMBERJACK,1985,1,1537
GREATER AMBERJACK,1985,2,0
GREATER AMBERJACK,1986,1,1378
GREATER AMBERJACK,1986,2,30
GREATER AMBERJACK,1987,1,183
GREATER AMBERJACK,1987,2,424
GREATER AMBERJACK,1988,1,425
GREATER AMBERJACK,1988,2,0
GREATER AMBERJACK,1989,1,437
GREATER AMBERJACK,1989,2,0
GREATER AMBERJACK,1990,1,236
GREATER AMBERJACK,1990,2,0
GREATER AMBERJACK,1991,1,438
GREATER AMBERJACK,1991,2,0
GREATER AMBERJACK,1992,1,302
GREATER AMBERJACK,1992,2,0
GREATER AMBERJACK,1993,1,66
GREATER AMBERJACK,1993,2,0
GREATER AMBERJACK,1994,1,302
GREATER AMBERJACK,1994,2,0
GREATER AMBERJACK,1995,1,854
GREATER AMBERJACK,1995,2,37
GREATER AMBERJACK,1996,1,974
GREATER AMBERJACK,1996,2,111
GREATER AMBERJACK,1997,1,895
GREATER AMBERJACK,1997,2,336
GREATER AMBERJACK,1998,1,360
GREATER AMBERJACK,1998,2,0
GREATER AMBERJACK,1999,1,370
GREATER AMBERJACK,1999,2,63
GREATER AMBERJACK,2000,1,184
GREATER AMBERJACK,2000,2,388
GREATER AMBERJACK,2001,1,672
GREATER AMBERJACK,2001,2,108
GREATER AMBERJACK,2002,1,2239
GREATER AMBERJACK,2002,2,0
GREATER AMBERJACK,2003,1,2180
