species,region,state,area,sex,l_inf,unit,vb_K,t_0,l_inf_reported,unit_report,year,source,pdf page,,,updated
Atlantic_Cod,Atlantic,,GofMaine,,806.7,mm,0.4,,806.7,mm,,"Sheerwood, 2016",,,,01/03/21
Atlantic_Croaker,Atlantic,,,female,457,mm,0.191,-2.58,45.7,cm,,Atlantic Croaker 2010 Benchmark Stock Assessment,102,,,
Atlantic_Croaker,Atlantic,,,male,417,mm,0.193,-2.77,41.7,cm,,Atlantic Croaker 2010 Benchmark Stock Assessment,102,,,
Atlantic_Croaker,Atlantic,,,combined,431,mm,0.214,-2.35,43.1,cm,,Atlantic Croaker 2010 Benchmark Stock Assessment,102,,,
Black_Sea_Bass,Atlantic,,,,589,mm,0.22,0.207,58.9,cm,,62nd SAW Assessment Workshop,29,,,01/02/21
Bluefish,Atlantic,,,combined,912.72,mm,0.222,-1.204,91.272,cm,1985-1994,60th SAW Assessment Report,138,,,01/02/21
Bluefish,Atlantic,,,combined,1058.11,mm,0.143,-1.614,105.811,cm,1995-2004,60th SAW Assessment Report,138,,,01/02/21
Bluefish,Atlantic,,,combined,1309.07,mm,0.0944,-1.708,130.907,cm,2005-2014,60th SAW Assessment Report,138,,,01/02/21
Greater_Amberjack,Atlantic,,,,1204,mm,0.284,-0.786,1204,mm,,SEDAR 59,51,,,01/02/21
Greater_Amberjack,GoM,,,,1307.066,mm,0.23,-0.757,1307.066,mm,,SEDAR 70 SAR,46,,,01/02/21
Haddock,GoM,,spring,combined,625,mm,0.41,0.05,62.5,cm,,59 SAW,18,,,01/02/21
Haddock,GoM,,fall,combined,658,mm,0.38,-0.62,65.8,cm,,59 SAW,18,,,01/02/21
King_Mackerel,GoM,,,female,1251.8,mm,0.1887,-2.1606,125.18,cm,,SEDAR 38,74-5,,,01/02/21
King_Mackerel,GoM,,,male,875.7,mm,0.3511,-0.8487,87.57,cm,,SEDAR 38,74-5,,,01/02/21
King_Mackerel,GoM,,,combined,1154.1,mm,0.1879,-2.5955,115.41,cm,,SEDAR 38,74-5,,,01/02/21
King_Mackerel,Atlantic,,,female,1223.5,mm,0.2039,-2.295,122.35,cm,,SEDAR 38,74-5,,,01/02/21
King_Mackerel,Atlantic,,,male,928.6,mm,0.4646,-0.6077,92.86,cm,,SEDAR 38,74-5,,,01/02/21
King_Mackerel,Atlantic,,,combined,1120.8,mm,0.345,-1.2918,112.08,cm,,SEDAR 38,74-5,,,01/02/21
Red_Drum,Atlantic,MA-NC,,,474,mm,0.15,-2.15,47.4,cm,,"Vaughan, 2000",14,,,01/02/21
Red_Drum,Atlantic,SC-FL,,,418,mm,0.24,-0.72,41.8,cm,,"Vaughan, 2000",14,,,01/02/21
Red_Drum,GoM,,,,920.3,mm,0.26,1.17,920.3,mm,,"Bennetts, 2019",,,,01/03/21
Red_Grouper,GoM,,,,799.95,mm,0.1311,-0.8749,79.995,cm,,SEDAR61 SAR ,45,,,01/02/21
Red_Grouper,Atlantic,,,,848.2,mm,2.13,-0.67,848.2,mm,,SEDAR 53,42,,,01/02/21
Red_Porgy,SA,,,,422.6,mm,0.3,-1.47,422.6,mm,,SEDAR 60 ,53,,,01/02/21
Red_Snapper,GoM,,,,856.374,mm,0.191852,-0.394525,85.6374,cm,,SEDAR 52,36,,,01/02/21
Red_Snapper,Atlantic,,,,911.36,mm,0.24,-0.33,911.36,mm,,SEDAR 41,99,,,01/03/21
Scup,Atlantic,,,female,517,mm,0.11,,51.7,cm,,60th SAW Assessment Report  ,13,,,01/03/21
Scup,Atlantic,,,male,496,mm,0.12,,49.6,cm,,60th SAW Assessment Report  ,13,,,01/03/21
