"","ID","Year","Wave","State","Area","Juristiction","Depth.Allowed","Species","start_date","end_date","Bag_Limit","Agg_bag_limit","Agg_bag_limit_wt","Poss_limit","Min_Size","Max_Size","Bag_above_max_size","Bag_below_min","Mode","Gear.Restriction","Other","Comments"
"1",NA,1994,1,"FL",NA,1,NA,"Bluefish",0094-01-01,0094-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"2",NA,1994,2,"FL",NA,1,NA,"Bluefish",0094-03-01,0094-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"3",NA,1994,3,"FL",NA,1,NA,"Bluefish",0094-05-01,0094-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"4",NA,1994,4,"FL",NA,1,NA,"Bluefish",0094-07-01,0094-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"5",NA,1994,5,"FL",NA,1,NA,"Bluefish",0094-09-01,0094-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"6",NA,1994,6,"FL",NA,1,NA,"Bluefish",0094-11-01,0094-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"7",NA,1995,1,"FL",NA,1,NA,"Bluefish",1995-01-01,1995-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"8",NA,1995,2,"FL",NA,1,NA,"Bluefish",1995-03-01,1995-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"9",NA,1995,3,"FL",NA,1,NA,"Bluefish",1995-05-01,1995-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"10",NA,1995,4,"FL",NA,1,NA,"Bluefish",1995-07-01,1995-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"11",NA,1995,5,"FL",NA,1,NA,"Bluefish",1995-09-01,1995-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"12",NA,1995,6,"FL",NA,1,NA,"Bluefish",1995-11-01,1995-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"13",NA,1996,1,"FL",NA,1,NA,"Bluefish",1996-01-01,1996-02-29,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"14",NA,1996,2,"FL",NA,1,NA,"Bluefish",1996-03-01,1996-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"15",NA,1996,3,"FL",NA,1,NA,"Bluefish",1996-05-01,1996-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"16",NA,1996,4,"FL",NA,1,NA,"Bluefish",1996-07-01,1996-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"17",NA,1996,5,"FL",NA,1,NA,"Bluefish",1996-09-01,1996-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"18",NA,1996,6,"FL",NA,1,NA,"Bluefish",1996-11-01,1996-12-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"19",NA,1997,1,"FL",NA,1,NA,"Bluefish",1997-01-01,1997-02-28,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"20",NA,1997,2,"FL",NA,1,NA,"Bluefish",1997-03-01,1997-04-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"21",NA,1997,3,"FL",NA,1,NA,"Bluefish",1997-05-01,1997-06-30,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"22",NA,1997,4,"FL",NA,1,NA,"Bluefish",1997-07-01,1997-08-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
"23",NA,1997,5,"FL",NA,1,NA,"Bluefish",1997-09-01,1997-10-31,10,9999,9999,10,12,9999,9999,9999,0,0,NA,NA
