,ACL.lbs.ww,MSL,Bag,start,end,
1990,-9999,28,3,01/01/1990,12/31/1990,sedar33
1991,-9999,28,3,01/01/1991,12/31/1991,
1992,-9999,28,3,01/01/1992,12/31/1992,
1993,-9999,28,3,01/01/1993,12/31/1993,
1994,-9999,28,3,01/01/1994,12/31/1994,
1995,-9999,28,3,01/01/1995,12/31/1995,
1996,-9999,28,3,01/01/1996,12/31/1996,
1997,-9999,28,1,01/01/1997,12/31/1997,
1998,-9999,28,1,01/01/1998,12/31/1998,
1999,-9999,28,1,01/01/1999,12/31/1999,
2000,-9999,28,1,01/01/2000,12/31/2000,
2001,-9999,28,1,01/01/2001,12/31/2001,
2002,-9999,28,1,01/01/2002,12/31/2002,
2003,-9999,28,1,01/01/2003,12/31/2003,
2004,-9999,28,1,01/01/2004,12/31/2004,
2005,-9999,28,1,01/01/2005,12/31/2005,
2006,-9999,28,1,01/01/2006,12/31/2006,
2007,-9999,28,1,01/01/2007,12/31/2007,
2008,1368000,30,1,01/01/2008,12/31/2008,
2009,1368000,30,1,01/01/2009,10/24/2009,
2010,1243000,30,1,01/01/2010,12/31/2010,
2011,1315000,30,1,01/01/2011,05/31/2011,
2011,0,9999,0,06/01/2011,07/31/2011,
2011,1315000,30,1,08/01/2011,12/31/2011,
2012,"1,299,000",30,1,01/01/2012,05/31/2012,
2012,0,9999,0,06/01/2012,07/31/2012,
2012,"1,299,000",30,1,08/01/2012,12/31/2012,
2013,"1,299,000",,,,,
2014,"1,299,000",,,,,https://www.federalregister.gov/documents/2014/04/23/2014-09260/reef-fish-fishery-of-the-gulf-of-mexico-2014-recreational-accountability-measure-for-greater
2015,"1,299,000",,,,,https://www.federalregister.gov/documents/2015/09/21/2015-23605/reef-fish-fishery-of-the-gulf-of-mexico-2015-recreational-accountability-measures-and-closure-for
2016,"1,255,600",,,,,
2017,"1,255,600",,,,,
2018,,,,,,
2019,,,,,,
2020,"1,309,620",34,,,,https://gulfcouncil.org/fishing-regulations/greater-amberjack-seriola-dumerili/
