year,F,F/Fmsy,B,B/Bun?shed,SSB,SSB/SSBmsy,SSB/MSST,Prop.fem,
1980,0.123,0.179,10259,0.736,6944,2.11,2.81,0.5,sedar 59
1981,0.238,0.346,10333,0.741,6854,2.08,2.78,0.5,
1982,0.121,0.176,9860,0.707,6661,2.02,2.7,0.5,
1983,0.08,0.116,10092,0.724,6929,2.11,2.81,0.5,
1984,0.106,0.154,10480,0.752,7214,2.19,2.92,0.5,
1985,0.126,0.183,10618,0.762,7295,2.22,2.96,0.5,
1986,0.262,0.382,10608,0.761,7039,2.14,2.85,0.5,
1987,0.265,0.386,9787,0.702,6429,1.95,2.6,0.5,
1988,0.358,0.521,9491,0.681,6058,1.84,2.45,0.5,
1989,0.406,0.592,9051,0.649,5667,1.72,2.3,0.5,
1990,0.868,1.265,9122,0.654,5004,1.52,2.03,0.5,
1991,0.769,1.12,8368,0.6,4614,1.4,1.87,0.5,
1992,0.835,1.215,8427,0.604,4806,1.46,1.95,0.5,
1993,0.524,0.763,7949,0.57,4862,1.48,1.97,0.5,
1994,0.509,0.742,7580,0.544,4784,1.45,1.94,0.5,
1995,0.397,0.578,6994,0.502,4518,1.37,1.83,0.5,
1996,0.464,0.675,6218,0.446,4121,1.25,1.67,0.5,
1997,0.351,0.511,5280,0.379,3522,1.07,1.43,0.5,
1998,0.343,0.499,6076,0.436,3480,1.06,1.41,0.5,
1999,0.442,0.643,6784,0.487,3941,1.2,1.6,0.5,
2000,0.334,0.486,6917,0.496,4270,1.3,1.73,0.5,
2001,0.392,0.571,8886,0.637,4801,1.46,1.94,0.5,
2002,0.344,0.501,8388,0.602,5540,1.68,2.24,0.5,
2003,0.273,0.397,7559,0.542,5236,1.59,2.12,0.5,
2004,0.229,0.333,7010,0.503,4781,1.45,1.94,0.5,
2005,0.223,0.324,6536,0.469,4512,1.37,1.83,0.5,
2006,0.361,0.525,8163,0.585,4480,1.36,1.81,0.5,
2007,0.304,0.442,8895,0.638,5242,1.59,2.12,0.5,
2008,0.32,0.465,9802,0.703,5937,1.8,2.41,0.5,
2009,0.28,0.407,9405,0.675,6220,1.89,2.52,0.5,
2010,0.356,0.518,9449,0.678,5979,1.82,2.42,0.5,
2011,0.218,0.318,8679,0.622,5845,1.78,2.37,0.5,
2012,0.271,0.395,10268,0.736,6075,1.85,2.46,0.5,
2013,0.236,0.344,10496,0.753,6778,2.06,2.75,0.5,
2014,0.27,0.393,12177,0.873,7275,2.21,2.95,0.5,
2015,0.281,0.409,12300,0.882,7903,2.4,3.2,0.5,
2016,0.284,0.414,11365,0.815,7633,2.32,3.09,0.5,
2017,0.25,0.364,10039,0.72,6913,2.1,2.8,0.5,
2018,.,.,9605,0.689,.,.,.,0.5,
