year,age-1,age-2,age-3,age-4,age-5,stock
1989 ,2.071,3.412,1.823,0.109,0.001,N
1990 ,1.506,2.577,1.349,0.081,0.001,N
1991 ,0.412,0.629,0.341,0.021,0.001,N
1992 ,0.189,0.617,0.316,0.019,0.001,N
1993 ,0.296,0.91,0.46,0.028,0.001,N
1994 ,0.233,0.482,0.217,0.015,0.003,N
1995 ,0.16,0.385,0.172,0.012,0.002,N
1996 ,0.093,0.276,0.132,0.008,0.001,N
1997 ,0.159,0.434,0.221,0.014,0.001,N
1998 ,0.201,0.627,0.296,0.018,0.001,N
1999 ,0.051,0.381,0.057,0.005,0.002,N
2000 ,0.06,0.46,0.063,0.006,0.003,N
2001 ,0.092,0.854,0.108,0.009,0.003,N
2002 ,0.089,0.905,0.103,0.009,0.004,N
2003 ,0.037,0.346,0.042,0.004,0.002,N
2004 ,0.042,0.386,0.049,0.004,0.001,N
2005 ,0.05,0.368,0.052,0.005,0.003,N
2006 ,0.061,0.39,0.054,0.007,0.004,N
2007 ,0.064,0.458,0.064,0.007,0.004,N
2008 ,0.09,0.618,0.086,0.01,0.005,N
2009 ,0.047,0.282,0.041,0.005,0.003,N
2010 ,0.091,0.623,0.083,0.01,0.006,N
2011 ,0.05,0.384,0.05,0.005,0.003,N
2012 ,0.19,0.852,0.116,0.023,0.019,N
2013 ,0.067,0.475,0.065,0.007,0.004,N
1989 ,0.088,0.155,0.094,0.042,0.003,S
1990 ,0.095,0.159,0.106,0.048,0.003,S
1991 ,0.135,0.222,0.155,0.07,0.006,S
1992 ,0.083,0.143,0.101,0.045,0.003,S
1993 ,0.094,0.137,0.084,0.038,0.003,S
1994 ,0.107,0.169,0.11,0.049,0.004,S
1995 ,0.126,0.212,0.119,0.054,0.004,S
1996 ,0.08,0.159,0.109,0.049,0.004,S
1997 ,0.073,0.135,0.073,0.033,0.004,S
1998 ,0.048,0.102,0.075,0.034,0.003,S
1999 ,0.069,0.129,0.097,0.043,0.004,S
2000 ,0.102,0.18,0.141,0.063,0.006,S
2001 ,0.091,0.201,0.156,0.07,0.006,S
2002 ,0.064,0.13,0.092,0.041,0.004,S
2003 ,0.086,0.198,0.124,0.056,0.005,S
2004 ,0.092,0.174,0.102,0.046,0.005,S
2005 ,0.109,0.23,0.144,0.065,0.007,S
2006 ,0.083,0.16,0.111,0.05,0.005,S
2007 ,0.102,0.204,0.137,0.061,0.005,S
2008 ,0.114,0.236,0.152,0.068,0.006,S
2009 ,0.063,0.122,0.082,0.037,0.003,S
2010 ,0.123,0.241,0.144,0.065,0.006,S
2011 ,0.094,0.206,0.129,0.058,0.005,S
2012 ,0.08,0.207,0.149,0.067,0.006,S
2013 ,0.115,0.286,0.214,0.096,0.009,S
