year,biomass_mt,ssb_mt,recruits,escapement,spr,f,fratio,bratio
1988,9771,515,435,0.86,0.86,0.05,0.21,0.5
1989,9648,532,439,0.82,0.81,0.05,0.2,0.51
1990,9815,575,414,0.86,0.86,0.04,0.17,0.56
1991,10311,665,783,0.48,0.47,0.18,0.73,0.64
1992,10694,721,380,0.64,0.64,0.1,0.38,0.7
1993,11506,770,732,0.72,0.71,0.09,0.35,0.74
1994,12485,905,711,0.58,0.57,0.12,0.49,0.87
1995,13504,966,629,0.71,0.7,0.08,0.34,0.93
1996,14814,1062,535,0.65,0.65,0.1,0.41,1.03
1997,16122,1180,443,0.76,0.75,0.07,0.27,1.14
1998,17504,1283,423,0.7,0.69,0.08,0.31,1.24
1999,18700,1345,596,0.76,0.75,0.06,0.23,1.3
2000,19804,1378,381,0.62,0.62,0.1,0.39,1.33
2001,20696,1379,764,0.61,0.6,0.12,0.48,1.33
2002,21367,1403,668,0.7,0.7,0.08,0.31,1.35
2003,22170,1413,759,0.72,0.71,0.08,0.34,1.36
2004,23061,1488,605,0.79,0.78,0.06,0.24,1.44
2005,24141,1595,400,0.72,0.72,0.08,0.32,1.54
2006,25148,1692,365,0.75,0.74,0.06,0.26,1.63
2007,26024,1755,579,0.79,0.79,0.05,0.18,1.7
2008,26759,1758,776,0.72,0.72,0.06,0.25,1.7
2009,27359,1724,590,0.79,0.79,0.05,0.21,1.66
2010,28084,1745,681,0.6,0.59,0.13,0.53,1.69
2011,28509,1799,534,0.56,0.55,0.14,0.54,1.74
2012,28814,1805,808,0.43,0.42,0.19,0.76,1.74
2013,28814,1774,1334,,0.29,0.25,0.99,1.71
