year,biomass_mt,ssb_mt,recruits,escapement,spr,f,fratio,bratio
1989,14664,1311,809,0.59,0.6,0.11,0.45,0.86
1990,14730,1357,1208,0.79,0.79,0.07,0.28,0.89
1991,15223,1576,869,0.65,0.65,0.1,0.41,1.04
1992,15824,1702,1087,0.64,0.64,0.11,0.43,1.12
1993,16510,1836,1199,0.78,0.78,0.05,0.21,1.21
1994,17548,1964,2053,0.68,0.68,0.09,0.36,1.29
1995,18696,2074,1397,0.68,0.68,0.08,0.33,1.37
1996,20229,2217,1232,0.71,0.7,0.09,0.38,1.46
1997,21857,2548,1006,0.77,0.76,0.07,0.27,1.68
1998,23522,2816,1341,0.71,0.71,0.08,0.31,1.86
1999,24927,2922,854,0.74,0.74,0.06,0.24,1.93
2000,26264,2956,1062,0.59,0.59,0.12,0.49,1.95
2001,27003,2979,1175,0.67,0.67,0.09,0.35,1.96
2002,27643,2948,993,0.67,0.67,0.09,0.35,1.94
2003,28175,2926,1550,0.67,0.67,0.09,0.39,1.93
2004,28581,2955,1586,0.69,0.69,0.08,0.33,1.95
2005,29155,2963,1300,0.6,0.59,0.12,0.5,1.95
2006,29623,3035,1653,0.58,0.58,0.13,0.54,2
2007,30019,3132,1094,0.64,0.64,0.1,0.4,2.06
2008,30599,3182,1150,0.62,0.62,0.11,0.46,2.1
2009,30999,3272,1215,0.72,0.72,0.07,0.29,2.16
2010,31504,3314,1388,0.71,0.71,0.07,0.3,2.18
2011,31974,3315,1223,0.65,0.65,0.09,0.38,2.19
2012,32326,3315,1221,0.62,0.63,0.11,0.45,2.19
2013,32550,3337,975,,0.73,0.07,0.29,2.2
