year,biomass_mt,ssb_mt,recruits,escapement,spr,f,fratio,bratio
1988,4147,210,286,0.72,0.71,0.13,0.58,0.47
1989,3923,200,132,0.62,0.62,0.1,0.45,0.44
1990,3820,209,241,0.76,0.75,0.09,0.4,0.47
1991,3831,266,59,0.71,0.7,0.08,0.36,0.59
1992,3913,302,284,0.6,0.56,0.13,0.58,0.67
1993,3994,332,387,0.7,0.68,0.06,0.28,0.74
1994,4227,336,77,0.6,0.57,0.11,0.51,0.75
1995,4502,366,435,0.58,0.52,0.15,0.69,0.81
1996,4742,428,183,0.49,0.46,0.14,0.64,0.95
1997,5017,423,305,0.67,0.62,0.1,0.45,0.94
1998,5369,474,354,0.55,0.53,0.13,0.58,1.05
1999,5705,496,468,0.35,0.33,0.23,1.04,1.1
2000,5957,493,233,0.29,0.27,0.26,1.16,1.09
2001,6130,492,359,0.3,0.26,0.32,1.44,1.09
2002,6187,505,328,0.4,0.37,0.2,0.89,1.12
2003,6352,502,506,0.34,0.31,0.25,1.12,1.12
2004,6484,504,428,0.33,0.29,0.25,1.11,1.12
2005,6622,505,444,0.22,0.19,0.37,1.67,1.12
2006,6575,505,385,0.37,0.33,0.24,1.06,1.12
2007,6708,523,407,0.27,0.24,0.32,1.42,1.16
2008,6731,526,391,0.26,0.23,0.3,1.35,1.17
2009,6739,518,473,0.65,0.61,0.1,0.47,1.15
2010,7083,563,432,0.41,0.37,0.21,0.96,1.25
2011,7295,588,274,0.52,0.48,0.16,0.71,1.31
2012,7611,633,466,0.53,0.48,0.16,0.71,1.41
2013,7917,676,274,,0.31,0.22,1,1.5
