year,biomass_mt,ssb_mt,recruits,escapement,spr,f,fratio,bratio
1989,14482,1456,874,0.69,0.69,0.1,0.37,0.84
1990,15668,1652,1363,0.78,0.78,0.06,0.21,0.95
1991,17053,1783,1333,0.63,0.63,0.11,0.39,1.03
1992,18450,1840,1432,0.53,0.53,0.16,0.58,1.06
1993,19676,1957,984,0.73,0.73,0.08,0.31,1.13
1994,21294,2145,1031,0.74,0.74,0.08,0.29,1.23
1995,22812,2367,1052,0.73,0.73,0.07,0.27,1.36
1996,24182,2483,1535,0.7,0.7,0.08,0.29,1.43
1997,25443,2535,713,0.6,0.6,0.12,0.43,1.46
1998,26465,2560,1059,0.67,0.67,0.11,0.39,1.47
1999,27228,2685,677,0.67,0.67,0.09,0.33,1.55
2000,27799,2686,849,0.64,0.64,0.1,0.38,1.55
2001,28021,2667,1142,0.56,0.56,0.12,0.45,1.53
2002,27990,2588,1503,0.58,0.58,0.13,0.48,1.49
2003,28066,2514,1362,0.52,0.52,0.17,0.61,1.45
2004,28188,2504,1293,0.6,0.6,0.14,0.53,1.44
2005,28517,2600,1167,0.45,0.45,0.2,0.76,1.5
2006,28474,2636,1362,0.6,0.6,0.12,0.46,1.52
2007,28778,2678,916,0.53,0.52,0.15,0.57,1.54
2008,28938,2682,805,0.47,0.46,0.19,0.7,1.54
2009,28680,2677,1817,0.66,0.66,0.09,0.35,1.54
2010,28805,2658,2109,0.68,0.67,0.09,0.35,1.53
2011,29502,2619,1090,0.71,0.7,0.1,0.36,1.51
2012,30683,2810,762,0.65,0.64,0.13,0.47,1.62
2013,31480,3117,680,,0.48,0.16,0.59,1.79
