year,F,F/MFMT,B,SSB/SSBSPR30%,SSB/MSSTOLD,SSB/MSSTNEW,SSB/SSB0
1986,0.26,1,910754,1,1.42,2.43,0.37
1987,0.21,1,835964,1,1.31,2.23,0.34
1988,0.21,1,837880,1,1.31,2.24,0.34
1989,0.38,1,827801,1,1.29,2.21,0.33
1990,0.24,1,672617,1,1.05,1.8,0.27
1991,0.27,1,683550,1,1.07,1.83,0.27
1992,0.27,1,686942,1,1.07,1.84,0.28
1993,0.28,1,691605,1,1.08,1.85,0.28
1994,0.25,1,695003,1,1.09,1.86,0.28
1995,0.24,1,716270,1,1.12,1.91,0.29
1996,0.2,1,737900,1,1.15,1.97,0.3
1997,0.2,1,793522,1,1.24,2.12,0.32
1998,0.17,1,839235,1,1.31,2.24,0.34
1999,0.25,1,901870,1,1.41,2.41,0.36
2000,0.24,1,874888,1,1.37,2.34,0.35
2001,0.2,1,885506,1,1.38,2.37,0.36
2002,0.19,1,963264,1,1.5,2.57,0.39
2003,0.16,1,1046640,1,1.63,2.8,0.42
2004,0.23,1,1155830,2,1.8,3.09,0.46
2005,0.45,1,1163400,2,1.82,3.11,0.47
2006,0.2,1,848362,1,1.32,2.27,0.34
2007,0.15,1,832783,1,1.3,2.23,0.33
2008,0.18,1,897208,1,1.4,2.4,0.36
2009,0.13,0,982062,1,1.53,2.62,0.39
2010,0.1,0,1129040,2,1.76,3.02,0.45
2011,0.15,1,1279980,2,2,3.42,0.51
2012,0.18,1,1342310,2,2.1,3.59,0.54
2013,0.19,1,1291330,2,2.02,3.45,0.52
2014,0.43,1,1165080,2,1.82,3.11,0.47
2015,0.23,1,745182,1,1.16,1.99,0.3
2016,0.22,1,647213,1,1.01,1.73,0.26
2017,0.16,1,613517,1,0.96,1.64,0.25
