year,F,F/FMSY,B,B/Bunfished,SSB,SSB/SSBMSY,SSB/MSST,Prop.fem
1976,0.328,2.7,4135,0.3533,2592,0.814,1.086,0.824
1977,0.321,2.64,3752,0.3205,2468,0.775,1.034,0.804
1978,0.342,2.81,3420,0.2922,2241,0.704,0.939,0.787
1979,0.35,2.88,3129,0.2673,1992,0.626,0.834,0.78
1980,0.338,2.78,2816,0.2406,1803,0.566,0.755,0.782
1981,0.265,2.18,2548,0.2177,1671,0.525,0.7,0.778
1982,0.329,2.7,2522,0.2154,1591,0.5,0.667,0.776
1983,0.563,4.63,2434,0.208,1378,0.433,0.577,0.784
1984,0.802,6.59,1934,0.1652,991,0.311,0.415,0.798
1985,0.477,3.92,1346,0.115,714,0.224,0.299,0.812
1986,0.627,5.16,1248,0.1066,641,0.201,0.268,0.823
1987,0.601,4.95,1123,0.0959,526,0.165,0.22,0.825
1988,0.444,3.65,1050,0.0897,509,0.16,0.213,0.841
1989,0.585,4.81,1038,0.0887,526,0.165,0.22,0.843
1990,0.29,2.38,874,0.0747,504,0.158,0.211,0.834
1991,0.218,1.79,962,0.0822,560,0.176,0.234,0.822
1992,0.377,3.1,1143,0.0977,629,0.197,0.263,0.819
1993,0.594,4.89,1247,0.1065,665,0.209,0.279,0.83
1994,0.465,3.83,1293,0.1104,696,0.219,0.292,0.836
1995,0.491,4.04,1515,0.1294,781,0.245,0.327,0.836
1996,0.554,4.55,1796,0.1534,896,0.281,0.375,0.844
1997,0.505,4.15,1887,0.1612,1025,0.322,0.429,0.848
1998,0.531,4.36,1865,0.1593,1123,0.353,0.471,0.837
1999,0.363,2.99,1835,0.1568,1174,0.369,0.492,0.821
2000,0.269,2.21,1918,0.1639,1238,0.389,0.518,0.808
2001,0.263,2.16,2017,0.1723,1302,0.409,0.545,0.801
2002,0.35,2.88,2205,0.1884,1348,0.424,0.565,0.798
2003,0.334,2.75,2570,0.2195,1411,0.443,0.591,0.808
2004,0.324,2.66,3267,0.2791,1668,0.524,0.699,0.829
2005,0.172,1.41,3760,0.3212,2212,0.695,0.926,0.842
2006,0.214,1.76,4193,0.3582,2788,0.876,1.168,0.826
2007,0.312,2.57,4176,0.3567,2998,0.942,1.256,0.799
2008,0.526,4.33,3628,0.3099,2560,0.804,1.072,0.767
2009,0.592,4.87,2582,0.2206,1744,0.548,0.73,0.745
2010,0.215,1.77,1824,0.1558,1312,0.412,0.55,0.754
2011,0.236,1.94,1777,0.1518,1270,0.399,0.532,0.751
2012,0.427,3.51,1703,0.1455,1156,0.363,0.484,0.75
2013,0.199,1.63,1362,0.1164,994,0.312,0.416,0.754
2014,0.181,1.49,1275,0.1089,956,0.3,0.4,0.741
2015,0.181,1.49,1222,0.1044,911,0.286,0.381,0.731
2016,.,.,1266,0.1081,.,.,.,0.732
