ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,defaults.fed,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1996,1,ME,9999,1,9999,Atlantic_Cod,01-01-96,29-02-96,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,2,ME,9999,1,9999,Atlantic_Cod,01-03-96,30-04-96,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,3,ME,9999,1,9999,Atlantic_Cod,01-05-96,30-06-96,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,4,ME,9999,1,9999,Atlantic_Cod,01-07-96,31-08-96,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,5,ME,9999,1,9999,Atlantic_Cod,01-09-96,31-10-96,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,6,ME,9999,1,9999,Atlantic_Cod,01-11-96,31-12-96,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,1,ME,9999,1,9999,Atlantic_Cod,01-01-97,28-02-97,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,2,ME,9999,1,9999,Atlantic_Cod,01-03-97,30-04-97,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,3,ME,9999,1,9999,Atlantic_Cod,01-05-97,30-06-97,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,4,ME,9999,1,9999,Atlantic_Cod,01-07-97,25-08-97,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,4,ME,9999,1,9999,Atlantic_Cod,26-08-97,31-08-97,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,5,ME,9999,1,9999,Atlantic_Cod,01-09-97,31-10-97,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,6,ME,9999,1,9999,Atlantic_Cod,01-11-97,31-12-97,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,1,ME,9999,1,9999,Atlantic_Cod,01-01-98,28-02-98,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,2,ME,9999,1,9999,Atlantic_Cod,01-03-98,30-04-98,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,3,ME,9999,1,9999,Atlantic_Cod,01-05-98,30-06-98,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,4,ME,9999,1,9999,Atlantic_Cod,01-07-98,31-08-98,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,5,ME,9999,1,9999,Atlantic_Cod,01-09-98,31-10-98,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,6,ME,9999,1,9999,Atlantic_Cod,01-11-98,31-12-98,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,1
,1999,1,ME,9999,1,9999,Atlantic_Cod,01-01-99,28-02-99,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,1
,1999,2,ME,9999,1,9999,Atlantic_Cod,01-03-99,30-04-99,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,1
,1999,3,ME,9999,1,9999,Atlantic_Cod,01-05-99,30-06-99,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,1
,1999,4,ME,9999,1,9999,Atlantic_Cod,01-07-99,31-08-99,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,1
,1999,5,ME,9999,1,9999,Atlantic_Cod,01-09-99,31-10-99,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,1
