ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1993,4,FL,,1,9999,Bluefish,01-07-93,31-08-93,9999,10,,,,,,12,,,,,,,,0,,,
,1993,5,FL,,1,9999,Bluefish,01-09-93,31-10-93,9999,10,,,,,,12,,,,,,,,0,,,
,1993,6,FL,,1,9999,Bluefish,01-11-93,31-12-93,9999,10,,,,,,12,,,,,,,,0,,,
,1994,1,FL,,1,9999,Bluefish,01-01-94,28-02-94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,2,FL,,1,9999,Bluefish,01-03-94,30-04-94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,3,FL,,1,9999,Bluefish,01-05-94,30-06-94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,4,FL,,1,9999,Bluefish,01-07-94,31-08-94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,5,FL,,1,9999,Bluefish,01-09-94,31-10-94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,6,FL,,1,9999,Bluefish,01-11-94,31-12-94,9999,10,,,,,,12,,,,,,,,0,,,
,1995,1,FL,,1,9999,Bluefish,01-01-95,28-02-95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,2,FL,,1,9999,Bluefish,01-03-95,30-04-95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,3,FL,,1,9999,Bluefish,01-05-95,30-06-95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,4,FL,,1,9999,Bluefish,01-07-95,31-08-95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,5,FL,,1,9999,Bluefish,01-09-95,31-10-95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,6,FL,,1,9999,Bluefish,01-11-95,31-12-95,9999,10,,,,,,12,,,,,,,,0,,,
,1996,1,FL,,1,9999,Bluefish,01-01-96,29-02-96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,2,FL,,1,9999,Bluefish,01-03-96,30-04-96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,3,FL,,1,9999,Bluefish,01-05-96,30-06-96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,4,FL,,1,9999,Bluefish,01-07-96,31-08-96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,5,FL,,1,9999,Bluefish,01-09-96,31-10-96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,6,FL,,1,9999,Bluefish,01-11-96,31-12-96,9999,10,,,,,,12,,,,,,,,0,,,
,1997,1,FL,,1,9999,Bluefish,01-01-97,28-02-97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,2,FL,,1,9999,Bluefish,01-03-97,30-04-97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,3,FL,,1,9999,Bluefish,01-05-97,30-06-97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,4,FL,,1,9999,Bluefish,01-07-97,31-08-97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,5,FL,,1,9999,Bluefish,01-09-97,31-10-97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,6,FL,,1,9999,Bluefish,01-11-97,31-12-97,9999,10,,,,,,12,,,,,,,,0,,,
,1998,1,FL,,1,9999,Bluefish,01-01-98,28-02-98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,2,FL,,1,9999,Bluefish,01-03-98,30-04-98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,3,FL,,1,9999,Bluefish,01-05-98,30-06-98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,4,FL,,1,9999,Bluefish,01-07-98,31-08-98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,5,FL,,1,9999,Bluefish,01-09-98,31-10-98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,6,FL,,1,9999,Bluefish,01-11-98,31-12-98,9999,10,,,,,,12,,,,,,,,0,,,
,1999,1,FL,,1,9999,Bluefish,01-01-99,28-02-99,9999,10,,,,,,12,,,,,,,,0,,,
