ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed,annual.bonus
,1998,1,NJ,,1,9999,Red_Drum,01-01-98,28-02-98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,2,NJ,,1,9999,Red_Drum,01-03-98,30-04-98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,3,NJ,,1,9999,Red_Drum,01-05-98,30-06-98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,4,NJ,,1,9999,Red_Drum,01-07-98,31-08-98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,5,NJ,,1,9999,Red_Drum,01-09-98,31-10-98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,6,NJ,,1,9999,Red_Drum,01-11-98,31-12-98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,1,NJ,,1,9999,Red_Drum,01-01-99,28-02-99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,2,NJ,,1,9999,Red_Drum,01-03-99,30-04-99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,3,NJ,,1,9999,Red_Drum,01-05-99,30-06-99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,4,NJ,,1,9999,Red_Drum,01-07-99,31-08-99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,5,NJ,,1,9999,Red_Drum,01-09-99,31-10-99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,6,NJ,,1,9999,Red_Drum,01-11-99,31-12-99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,1,NJ,,1,9999,Red_Drum,01-01-00,29-02-00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,2,NJ,,1,9999,Red_Drum,01-03-00,30-04-00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,3,NJ,,1,9999,Red_Drum,01-05-00,30-06-00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,4,NJ,,1,9999,Red_Drum,01-07-00,31-08-00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,5,NJ,,1,9999,Red_Drum,01-09-00,31-10-00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,6,NJ,,1,9999,Red_Drum,01-11-00,31-12-00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,1,NJ,,1,9999,Red_Drum,01-01-01,28-02-01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,2,NJ,,1,9999,Red_Drum,01-03-01,30-04-01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,3,NJ,,1,9999,Red_Drum,01-05-01,30-06-01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,4,NJ,,1,9999,Red_Drum,01-07-01,31-08-01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,5,NJ,,1,9999,Red_Drum,01-09-01,31-10-01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,6,NJ,,1,9999,Red_Drum,01-11-01,31-12-01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,1,NJ,,1,9999,Red_Drum,01-01-02,28-02-02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,2,NJ,,1,9999,Red_Drum,01-03-02,30-04-02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,3,NJ,,1,9999,Red_Drum,01-05-02,30-06-02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,4,NJ,,1,9999,Red_Drum,01-07-02,31-08-02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,5,NJ,,1,9999,Red_Drum,01-09-02,31-10-02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,6,NJ,,1,9999,Red_Drum,01-11-02,31-12-02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2003,1,NJ,,1,9999,Red_Drum,01-01-03,28-02-03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,2,NJ,,1,9999,Red_Drum,01-03-03,30-04-03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,3,NJ,,1,9999,Red_Drum,01-05-03,30-06-03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,4,NJ,,1,9999,Red_Drum,01-07-03,31-08-03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,5,NJ,,1,9999,Red_Drum,01-09-03,31-10-03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,6,NJ,,1,9999,Red_Drum,01-11-03,31-12-03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,1,NJ,,1,9999,Red_Drum,01-01-04,29-02-04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,2,NJ,,1,9999,Red_Drum,01-03-04,30-04-04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,3,NJ,,1,9999,Red_Drum,01-05-04,30-06-04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,4,NJ,,1,9999,Red_Drum,01-07-04,31-08-04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,5,NJ,,1,9999,Red_Drum,01-09-04,31-10-04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,6,NJ,,1,9999,Red_Drum,01-11-04,31-12-04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,1,NJ,,1,9999,Red_Drum,01-01-05,28-02-05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,2,NJ,,1,9999,Red_Drum,01-03-05,30-04-05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,3,NJ,,1,9999,Red_Drum,01-05-05,30-06-05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,4,NJ,,1,9999,Red_Drum,01-07-05,31-08-05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,5,NJ,,1,9999,Red_Drum,01-09-05,31-10-05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,6,NJ,,1,9999,Red_Drum,01-11-05,31-12-05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2006,1,NJ,,1,9999,Red_Drum,01-01-06,28-02-06,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2006,2,NJ,,1,9999,Red_Drum,01-03-06,30-04-06,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2006,3,NJ,,1,9999,Red_Drum,01-05-06,30-06-06,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2006,4,NJ,,1,9999,Red_Drum,01-07-06,31-08-06,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2006,5,NJ,,1,9999,Red_Drum,01-09-06,31-10-06,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2006,6,NJ,,1,9999,Red_Drum,01-11-06,31-12-06,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2007,1,NJ,,1,9999,Red_Drum,01-01-07,28-02-07,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2007,2,NJ,,1,9999,Red_Drum,01-03-07,30-04-07,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2007,3,NJ,,1,9999,Red_Drum,01-05-07,30-06-07,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2007,4,NJ,,1,9999,Red_Drum,01-07-07,31-08-07,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2007,5,NJ,,1,9999,Red_Drum,01-09-07,31-10-07,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2007,6,NJ,,1,9999,Red_Drum,01-11-07,31-12-07,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2008,1,NJ,,1,9999,Red_Drum,01-01-08,29-02-08,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2008,2,NJ,,1,9999,Red_Drum,01-03-08,30-04-08,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2008,3,NJ,,1,9999,Red_Drum,01-05-08,30-06-08,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2008,4,NJ,,1,9999,Red_Drum,01-07-08,31-08-08,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2008,5,NJ,,1,9999,Red_Drum,01-09-08,31-10-08,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2008,6,NJ,,1,9999,Red_Drum,01-11-08,31-12-08,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2009,1,NJ,,1,9999,Red_Drum,01-01-09,28-02-09,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2009,2,NJ,,1,9999,Red_Drum,01-03-09,30-04-09,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2009,3,NJ,,1,9999,Red_Drum,01-05-09,30-06-09,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2009,4,NJ,,1,9999,Red_Drum,01-07-09,31-08-09,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2009,5,NJ,,1,9999,Red_Drum,01-09-09,31-10-09,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
