ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1991,1,NC,9999,1,9999,Red_Grouper,01-01-91,13-01-91,,,,,,,,0,,,,,,,,,,,
,1991,1,NC,9999,1,9999,Red_Grouper,14-01-91,28-02-91,,,,,,,,12,,,,,,,,,,,
,1991,2,NC,9999,1,9999,Red_Grouper,01-03-91,30-04-91,,,,,,,,12,,,,,,,,,,,
,1991,3,NC,9999,1,9999,Red_Grouper,01-05-91,30-06-91,,,,,,,,12,,,,,,,,,,,
,1991,4,NC,9999,1,9999,Red_Grouper,01-07-91,31-08-91,,,,,,,,12,,,,,,,,,,,
,1991,5,NC,9999,1,9999,Red_Grouper,01-09-91,31-10-91,,,,,,,,12,,,,,,,,,,,
,1991,6,NC,9999,1,9999,Red_Grouper,01-11-91,31-12-91,,,,,,,,12,,,,,,,,,,,
,1992,1,NC,9999,1,9999,Red_Grouper,01-01-92,29-02-92,,,,,,,,12,,,,,,,,,,,
,1992,2,NC,9999,1,9999,Red_Grouper,01-03-92,30-04-92,,,,,,,,12,,,,,,,,,,,
,1992,3,NC,9999,1,9999,Red_Grouper,01-05-92,30-06-92,,,,,,,,12,,,,,,,,,,,
,1992,4,NC,9999,1,9999,Red_Grouper,01-07-92,31-08-92,,,,,,,,12,,,,,,,,,,,
,1992,5,NC,9999,1,9999,Red_Grouper,01-09-92,31-10-92,,,,,,,,12,,,,,,,,,,,
,1992,6,NC,9999,1,9999,Red_Grouper,01-11-92,31-12-92,,,,,,,,12,,,,,,,,,,,
,1993,1,NC,9999,1,9999,Red_Grouper,01-01-93,28-02-93,,,,,,,,12,,,,,,,,,,,
,1993,2,NC,9999,1,9999,Red_Grouper,01-03-93,30-04-93,,,,,,,,12,,,,,,,,,,,
,1993,3,NC,9999,1,9999,Red_Grouper,01-05-93,30-06-93,,,,,,,,12,,,,,,,,,,,
,1993,4,NC,9999,1,9999,Red_Grouper,01-07-93,31-08-93,,,,,,,,12,,,,,,,,,,,
,1993,5,NC,9999,1,9999,Red_Grouper,01-09-93,31-10-93,,,,,,,,12,,,,,,,,,,,
,1993,6,NC,9999,1,9999,Red_Grouper,01-11-93,31-12-93,,,,,,,,12,,,,,,,,,,,
,1994,1,NC,9999,1,9999,Red_Grouper,01-01-94,28-02-94,,,,,,,,12,,,,,,,,,,,
,1994,2,NC,9999,1,9999,Red_Grouper,01-03-94,30-04-94,,,,,,,,12,,,,,,,,,,,
,1994,3,NC,9999,1,9999,Red_Grouper,01-05-94,30-06-94,,,,,,,,12,,,,,,,,,,,
,1994,4,NC,9999,1,9999,Red_Grouper,01-07-94,31-08-94,,,5,,,,,20,,,,,,,,,,,
,1994,5,NC,9999,1,9999,Red_Grouper,01-09-94,31-10-94,,,5,,,,,20,,,,,,,,,,,
,1994,6,NC,9999,1,9999,Red_Grouper,01-11-94,31-12-94,,,5,,,,,20,,,,,,,,,,,
,1995,1,NC,9999,1,9999,Red_Grouper,01-01-95,28-02-95,,,5,,,,,20,,,,,,,,,,,
,1995,2,NC,9999,1,9999,Red_Grouper,01-03-95,30-04-95,,,5,,,,,20,,,,,,,,,,,
,1995,3,NC,9999,1,9999,Red_Grouper,01-05-95,30-06-95,,,5,,,,,20,,,,,,,,,,,
,1995,4,NC,9999,1,9999,Red_Grouper,01-07-95,31-08-95,,,5,,,,,20,,,,,,,,,,,
,1995,5,NC,9999,1,9999,Red_Grouper,01-09-95,31-10-95,,,5,,,,,20,,,,,,,,,,,
,1995,6,NC,9999,1,9999,Red_Grouper,01-11-95,31-12-95,,,5,,,,,20,,,,,,,,,,,
,1996,1,NC,9999,1,9999,Red_Grouper,01-01-96,29-02-96,,,5,,,,,20,,,,,,,,,,,
,1996,2,NC,9999,1,9999,Red_Grouper,01-03-96,30-04-96,,,5,,,,,20,,,,,,,,,,,
,1996,3,NC,9999,1,9999,Red_Grouper,01-05-96,30-06-96,,,5,,,,,20,,,,,,,,,,,
,1996,4,NC,9999,1,9999,Red_Grouper,01-07-96,31-08-96,,,5,,,,,20,,,,,,,,,,,
,1996,5,NC,9999,1,9999,Red_Grouper,01-09-96,31-10-96,,,5,,,,,20,,,,,,,,,,,
,1996,6,NC,9999,1,9999,Red_Grouper,01-11-96,31-12-96,,,5,,,,,20,,,,,,,,,,,
,1997,1,NC,9999,1,9999,Red_Grouper,01-01-97,28-02-97,,,5,,,,,20,,,,,,,,,,,
,1997,2,NC,9999,1,9999,Red_Grouper,01-03-97,30-04-97,,,5,,,,,20,,,,,,,,,,,
,1997,3,NC,9999,1,9999,Red_Grouper,01-05-97,30-06-97,,,5,,,,,20,,,,,,,,,,,
,1997,4,NC,9999,1,9999,Red_Grouper,01-07-97,31-08-97,,,5,,,,,20,,,,,,,,,,,
,1997,5,NC,9999,1,9999,Red_Grouper,01-09-97,31-10-97,,,5,,,,,20,,,,,,,,,,,
,1997,6,NC,9999,1,9999,Red_Grouper,01-11-97,31-12-97,,,5,,,,,20,,,,,,,,,,,
,1998,1,NC,9999,1,9999,Red_Grouper,01-01-98,28-02-98,,,5,,,,,20,,,,,,,,,,,
,1998,2,NC,9999,1,9999,Red_Grouper,01-03-98,30-04-98,,,5,,,,,20,,,,,,,,,,,
,1998,3,NC,9999,1,9999,Red_Grouper,01-05-98,30-06-98,,,5,,,,,20,,,,,,,,,,,
,1998,4,NC,9999,1,9999,Red_Grouper,01-07-98,31-08-98,,,5,,,,,20,,,,,,,,,,,
,1998,5,NC,9999,1,9999,Red_Grouper,01-09-98,31-10-98,,,5,,,,,20,,,,,,,,,,,
,1998,6,NC,9999,1,9999,Red_Grouper,01-11-98,31-12-98,,,5,,,,,20,,,,,,,,,,,
,1999,1,NC,9999,1,9999,Red_Grouper,01-01-99,28-02-99,,,5,,,,,20,,,,,,,,,,,
,1999,2,NC,9999,1,9999,Red_Grouper,01-03-99,30-04-99,,,5,,,,,20,,,,,,,,,,,
,1999,3,NC,9999,1,9999,Red_Grouper,01-05-99,30-06-99,,,5,,,,,20,,,,,,,,,,,
,1999,4,NC,9999,1,9999,Red_Grouper,01-07-99,31-08-99,,,5,,,,,20,,,,,,,,,,,
,1999,5,NC,9999,1,9999,Red_Grouper,01-09-99,31-10-99,,,5,,,,,20,,,,,,,,,,,
,1999,6,NC,9999,1,9999,Red_Grouper,01-11-99,31-12-99,,,5,,,,,20,,,,,,,,,,,
,2000,1,NC,9999,1,9999,Red_Grouper,01-01-00,29-02-00,,,5,,,,,20,,,,,,,,,,,
