ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1991,1,NC,9999,1,9999,Red_Snapper,01-01-91,14-01-91,9999,9999,9999,9999,9999,9999,0,0,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,1,NC,9999,1,9999,Red_Snapper,15-01-91,28-02-91,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,2,NC,9999,1,9999,Red_Snapper,01-03-91,30-04-91,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,3,NC,9999,1,9999,Red_Snapper,01-05-91,30-06-91,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,4,NC,9999,1,9999,Red_Snapper,01-07-91,31-08-91,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,5,NC,9999,1,9999,Red_Snapper,01-09-91,31-10-91,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,6,NC,9999,1,9999,Red_Snapper,01-11-91,31-12-91,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,1,NC,9999,1,9999,Red_Snapper,01-01-92,29-02-92,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,2,NC,9999,1,9999,Red_Snapper,01-03-92,30-04-92,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,3,NC,9999,1,9999,Red_Snapper,01-05-92,30-06-92,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,4,NC,9999,1,9999,Red_Snapper,01-07-92,31-08-92,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,5,NC,9999,1,9999,Red_Snapper,01-09-92,31-10-92,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,6,NC,9999,1,9999,Red_Snapper,01-11-92,31-12-92,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,1,NC,9999,1,9999,Red_Snapper,01-01-93,28-02-93,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,2,NC,9999,1,9999,Red_Snapper,01-03-93,30-04-93,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,3,NC,9999,1,9999,Red_Snapper,01-05-93,30-06-93,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,4,NC,9999,1,9999,Red_Snapper,01-07-93,31-08-93,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,5,NC,9999,1,9999,Red_Snapper,01-09-93,31-10-93,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,6,NC,9999,1,9999,Red_Snapper,01-11-93,31-12-93,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,1,NC,9999,1,9999,Red_Snapper,01-01-94,28-02-94,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,2,NC,9999,1,9999,Red_Snapper,01-03-94,30-04-94,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,3,NC,9999,1,9999,Red_Snapper,01-05-94,30-06-94,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,4,NC,9999,1,9999,Red_Snapper,01-07-94,31-08-94,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,5,NC,9999,1,9999,Red_Snapper,01-09-94,31-10-94,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,6,NC,9999,1,9999,Red_Snapper,01-11-94,31-12-94,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,1,NC,9999,1,9999,Red_Snapper,01-01-95,28-02-95,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,2,NC,9999,1,9999,Red_Snapper,01-03-95,30-04-95,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,3,NC,9999,1,9999,Red_Snapper,01-05-95,30-06-95,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,4,NC,9999,1,9999,Red_Snapper,01-07-95,31-08-95,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,5,NC,9999,1,9999,Red_Snapper,01-09-95,31-10-95,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,6,NC,9999,1,9999,Red_Snapper,01-11-95,31-12-95,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1996,1,NC,9999,1,9999,Red_Snapper,01-01-96,29-02-96,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1996,2,NC,9999,1,9999,Red_Snapper,01-03-96,30-04-96,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1996,3,NC,9999,1,9999,Red_Snapper,01-05-96,30-06-96,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1996,4,NC,9999,1,9999,Red_Snapper,01-07-96,31-08-96,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1996,5,NC,9999,1,9999,Red_Snapper,01-09-96,31-10-96,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1996,6,NC,9999,1,9999,Red_Snapper,01-11-96,31-12-96,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1997,1,NC,9999,1,9999,Red_Snapper,01-01-97,28-02-97,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1997,2,NC,9999,1,9999,Red_Snapper,01-03-97,30-04-97,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1997,3,NC,9999,1,9999,Red_Snapper,01-05-97,30-06-97,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1997,4,NC,9999,1,9999,Red_Snapper,01-07-97,31-08-97,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1997,5,NC,9999,1,9999,Red_Snapper,01-09-97,31-10-97,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
