ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1996,1,MA,9999,1,9999,Scup,01-01-96,29-02-96,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,2,MA,9999,1,9999,Scup,01-03-96,30-04-96,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,3,MA,9999,1,9999,Scup,01-05-96,30-06-96,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,4,MA,9999,1,9999,Scup,01-07-96,31-08-96,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,5,MA,9999,1,9999,Scup,01-09-96,31-10-96,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,6,MA,9999,1,9999,Scup,01-11-96,31-12-96,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,1,MA,9999,1,9999,Scup,01-01-97,28-02-97,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,2,MA,9999,1,9999,Scup,01-03-97,30-04-97,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,3,MA,9999,1,9999,Scup,01-05-97,30-06-97,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,4,MA,9999,1,9999,Scup,01-07-97,31-08-97,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,5,MA,9999,1,9999,Scup,01-09-97,31-10-97,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,6,MA,9999,1,9999,Scup,01-11-97,31-12-97,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,1,MA,9999,1,9999,Scup,01-01-98,28-02-98,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,2,MA,9999,1,9999,Scup,01-03-98,30-04-98,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,3,MA,9999,1,9999,Scup,01-05-98,30-06-98,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,4,MA,9999,1,9999,Scup,01-07-98,31-08-98,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,5,MA,9999,1,9999,Scup,01-09-98,31-10-98,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,6,MA,9999,1,9999,Scup,01-11-98,31-12-98,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,1,MA,9999,1,9999,Scup,01-01-99,28-02-99,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,2,MA,9999,1,9999,Scup,01-03-99,30-04-99,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,3,MA,9999,1,9999,Scup,01-05-99,30-06-99,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,4,MA,9999,1,9999,Scup,01-07-99,31-08-99,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,5,MA,9999,1,9999,Scup,01-09-99,31-10-99,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,6,MA,9999,1,9999,Scup,01-11-99,31-12-99,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,2000,1,MA,9999,1,9999,Scup,01-01-00,29-02-00,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,2,MA,9999,1,9999,Scup,01-03-00,30-04-00,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,3,MA,9999,1,9999,Scup,01-05-00,30-06-00,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,4,MA,9999,1,9999,Scup,01-07-00,31-08-00,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,5,MA,9999,1,9999,Scup,01-09-00,31-10-00,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,6,MA,9999,1,9999,Scup,01-11-00,31-12-00,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2001,1,MA,9999,1,9999,Scup,01-01-01,28-02-01,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,2,MA,9999,1,9999,Scup,01-03-01,30-04-01,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,3,MA,9999,1,9999,Scup,01-05-01,30-06-01,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,4,MA,9999,1,9999,Scup,01-07-01,31-08-01,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,5,MA,9999,1,9999,Scup,01-09-01,31-10-01,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,6,MA,9999,1,9999,Scup,01-11-01,31-12-01,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,1,MA,9999,1,9999,Scup,01-01-01,28-02-01,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,2,MA,9999,1,9999,Scup,01-03-01,30-04-01,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,3,MA,9999,1,9999,Scup,01-05-01,30-06-01,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,4,MA,9999,1,9999,Scup,01-07-01,31-08-01,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,5,MA,9999,1,9999,Scup,01-09-01,31-10-01,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,6,MA,9999,1,9999,Scup,01-11-01,31-12-01,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2002,1,MA,9999,1,9999,Scup,01-01-02,28-02-02,9999,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2002,2,MA,9999,1,9999,Scup,01-03-02,30-04-02,9999,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2002,3,MA,9999,1,9999,Scup,01-05-02,09-05-02,9999,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2002,3,MA,9999,1,9999,Scup,10-05-02,30-06-02,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2002,4,MA,9999,1,9999,Scup,01-07-02,31-08-02,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2002,5,MA,9999,1,9999,Scup,01-09-02,31-10-02,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2002,6,MA,9999,1,9999,Scup,01-11-02,31-12-02,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2002,3,MA,9999,1,9999,Scup,10-05-02,30-06-02,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
