ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,tl.fl,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1996,1,VA,9999,1,,Sheepshead,01-01-96,29-02-96,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1996,2,VA,9999,1,,Sheepshead,01-03-96,30-04-96,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1996,3,VA,9999,1,,Sheepshead,01-05-96,30-06-96,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1996,4,VA,9999,1,,Sheepshead,01-07-96,31-08-96,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1996,5,VA,9999,1,,Sheepshead,01-09-96,31-10-96,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1996,6,VA,9999,1,,Sheepshead,01-11-96,31-12-96,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1997,1,VA,9999,1,,Sheepshead,01-01-97,28-02-97,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1997,2,VA,9999,1,,Sheepshead,01-03-97,30-04-97,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1997,3,VA,9999,1,,Sheepshead,01-05-97,30-06-97,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1997,4,VA,9999,1,,Sheepshead,01-07-97,31-08-97,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1997,5,VA,9999,1,,Sheepshead,01-09-97,31-10-97,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1997,6,VA,9999,1,,Sheepshead,01-11-97,31-12-97,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
,1998,1,VA,9999,1,,Sheepshead,01-01-98,28-02-98,,20,20,9999,9999,9999,,0,0,0,9999,9999,0,0,0,0,0,0,,0
