ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,tl.fl,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1994,1,NY,9999,1,,Spanish_Mackerel,01-01-94,28-02-94,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1994,2,NY,9999,1,,Spanish_Mackerel,01-03-94,30-04-94,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1994,3,NY,9999,1,,Spanish_Mackerel,01-05-94,30-06-94,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1994,4,NY,9999,1,,Spanish_Mackerel,01-07-94,31-08-94,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1994,5,NY,9999,1,,Spanish_Mackerel,01-09-94,31-10-94,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1994,6,NY,9999,1,,Spanish_Mackerel,01-11-94,31-12-94,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1995,1,NY,9999,1,,Spanish_Mackerel,01-01-95,28-02-95,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1995,2,NY,9999,1,,Spanish_Mackerel,01-03-95,30-04-95,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1995,3,NY,9999,1,,Spanish_Mackerel,01-05-95,30-06-95,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1995,4,NY,9999,1,,Spanish_Mackerel,01-07-95,31-08-95,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1995,5,NY,9999,1,,Spanish_Mackerel,01-09-95,31-10-95,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1995,6,NY,9999,1,,Spanish_Mackerel,01-11-95,31-12-95,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1996,1,NY,9999,1,,Spanish_Mackerel,01-01-96,29-02-96,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1996,2,NY,9999,1,,Spanish_Mackerel,01-03-96,30-04-96,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1996,3,NY,9999,1,,Spanish_Mackerel,01-05-96,30-06-96,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1996,4,NY,9999,1,,Spanish_Mackerel,01-07-96,31-08-96,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1996,5,NY,9999,1,,Spanish_Mackerel,01-09-96,31-10-96,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1996,6,NY,9999,1,,Spanish_Mackerel,01-11-96,31-12-96,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1997,1,NY,9999,1,,Spanish_Mackerel,01-01-97,28-02-97,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1997,2,NY,9999,1,,Spanish_Mackerel,01-03-97,30-04-97,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1997,3,NY,9999,1,,Spanish_Mackerel,01-05-97,30-06-97,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1997,4,NY,9999,1,,Spanish_Mackerel,01-07-97,31-08-97,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1997,5,NY,9999,1,,Spanish_Mackerel,01-09-97,31-10-97,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1997,6,NY,9999,1,,Spanish_Mackerel,01-11-97,31-12-97,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1998,1,NY,9999,1,,Spanish_Mackerel,01-01-98,28-02-98,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1998,2,NY,9999,1,,Spanish_Mackerel,01-03-98,30-04-98,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1998,3,NY,9999,1,,Spanish_Mackerel,01-05-98,30-06-98,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1998,4,NY,9999,1,,Spanish_Mackerel,01-07-98,31-08-98,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1998,5,NY,9999,1,,Spanish_Mackerel,01-09-98,31-10-98,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1998,6,NY,9999,1,,Spanish_Mackerel,01-11-98,31-12-98,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1999,1,NY,9999,1,,Spanish_Mackerel,01-01-99,28-02-99,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1999,2,NY,9999,1,,Spanish_Mackerel,01-03-99,30-04-99,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
,1999,3,NY,9999,1,,Spanish_Mackerel,01-05-99,30-06-99,,10,9999,9999,,9999,0,14,1,9999,9999,9999,0,0,0,0,0,0,,0
