ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1996,1,MA,9999,1,9999,Summer Flounder,01-01-96,29-02-96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,2,MA,9999,1,9999,Summer Flounder,01-03-96,30-04-96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,3,MA,9999,1,9999,Summer Flounder,01-05-96,30-06-96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,4,MA,9999,1,9999,Summer Flounder,01-07-96,31-08-96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,5,MA,9999,1,9999,Summer Flounder,01-09-96,31-10-96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,6,MA,9999,1,9999,Summer Flounder,01-11-96,31-12-96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,1,MA,9999,1,9999,Summer Flounder,01-01-97,28-02-97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,2,MA,9999,1,9999,Summer Flounder,01-03-97,30-04-97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,3,MA,9999,1,9999,Summer Flounder,01-05-97,30-06-97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,4,MA,9999,1,9999,Summer Flounder,01-07-97,31-08-97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,5,MA,9999,1,9999,Summer Flounder,01-09-97,31-10-97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,6,MA,9999,1,9999,Summer Flounder,01-11-97,31-12-97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,1,MA,9999,1,9999,Summer Flounder,01-01-98,28-02-98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,2,MA,9999,1,9999,Summer Flounder,01-03-98,30-04-98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,3,MA,9999,1,9999,Summer Flounder,01-05-98,30-06-98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,4,MA,9999,1,9999,Summer Flounder,01-07-98,31-08-98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,5,MA,9999,1,9999,Summer Flounder,01-09-98,31-10-98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,6,MA,9999,1,9999,Summer Flounder,01-11-98,31-12-98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1999,1,MA,9999,1,9999,Summer Flounder,01-01-99,28-02-99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,1999,2,MA,9999,1,9999,Summer Flounder,01-03-99,30-04-99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,1999,3,MA,9999,1,9999,Summer Flounder,01-05-99,28-05-99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,1999,3,MA,9999,1,9999,Summer Flounder,29-05-99,30-06-99,,8,9999,9999,,9999,,15,,9999,,9999,,9999,0,0,0,,0
,1999,4,MA,9999,1,9999,Summer Flounder,01-07-99,31-08-99,,8,9999,9999,,9999,,15,,9999,,9999,,9999,0,0,0,,0
,1999,5,MA,9999,1,9999,Summer Flounder,01-09-99,11-09-99,,8,9999,9999,,9999,,15,,9999,,9999,,9999,0,0,0,,0
,1999,5,MA,9999,1,9999,Summer Flounder,12-09-99,31-10-99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,1999,6,MA,9999,1,9999,Summer Flounder,01-11-99,31-12-99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2000,1,MA,9999,1,9999,Summer Flounder,01-01-00,29-02-00,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2000,2,MA,9999,1,9999,Summer Flounder,01-03-00,30-04-00,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2000,3,MA,9999,1,9999,Summer Flounder,01-05-00,09-05-00,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2000,3,MA,9999,1,9999,Summer Flounder,10-05-00,30-06-00,,8,9999,9999,,9999,,15.5,,9999,,9999,,9999,0,0,0,,0
,2000,4,MA,9999,1,9999,Summer Flounder,01-07-00,31-08-00,,8,9999,9999,,9999,,15.5,,9999,,9999,,9999,0,0,0,,0
