ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1996,1,MA,9999,1,9999,Tautog,01-01-96,29-02-96,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,2,MA,9999,1,9999,Tautog,01-03-96,30-04-96,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,3,MA,9999,1,9999,Tautog,01-05-96,30-06-96,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,4,MA,9999,1,9999,Tautog,01-07-96,31-08-96,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,5,MA,9999,1,9999,Tautog,01-09-96,31-10-96,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,6,MA,9999,1,9999,Tautog,01-11-96,31-12-96,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,1,MA,9999,1,9999,Tautog,01-01-97,28-02-97,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,2,MA,9999,1,9999,Tautog,01-03-97,30-04-97,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,3,MA,9999,1,9999,Tautog,01-05-97,30-06-97,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,4,MA,9999,1,9999,Tautog,01-07-97,31-08-97,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,5,MA,9999,1,9999,Tautog,01-09-97,31-10-97,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,6,MA,9999,1,9999,Tautog,01-11-97,31-12-97,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1998,1,MA,9999,1,9999,Tautog,01-01-98,28-02-98,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1998,2,MA,9999,1,9999,Tautog,01-03-98,30-04-98,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1998,3,MA,9999,1,9999,Tautog,01-05-98,30-06-98,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1998,4,MA,9999,1,9999,Tautog,01-07-98,31-08-98,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1998,5,MA,9999,1,9999,Tautog,01-09-98,31-10-98,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1998,6,MA,9999,1,9999,Tautog,01-11-98,31-12-98,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1999,1,MA,9999,1,9999,Tautog,01-01-99,28-02-99,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,1
,1999,2,MA,9999,1,9999,Tautog,01-03-99,30-04-99,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,1
,1999,3,MA,9999,1,9999,Tautog,01-05-99,30-06-99,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,1
,1999,4,MA,9999,1,9999,Tautog,01-07-99,31-08-99,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,1
,1999,5,MA,9999,1,9999,Tautog,01-09-99,31-10-99,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,1
,1999,6,MA,9999,1,9999,Tautog,01-11-99,31-12-99,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,1
