ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1997,1,MA,,1,9999,Weakfish,01-01-97,28-02-97,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,1997,2,MA,,1,9999,Weakfish,01-03-97,30-04-97,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,1997,3,MA,,1,9999,Weakfish,01-05-97,30-06-97,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,1997,4,MA,,1,9999,Weakfish,01-07-97,31-08-97,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,1997,5,MA,,1,9999,Weakfish,01-09-97,31-10-97,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,1997,6,MA,,1,9999,Weakfish,01-11-97,31-12-97,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2000,1,MA,,1,9999,Weakfish,01-01-00,29-02-00,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2000,2,MA,,1,9999,Weakfish,01-03-00,30-04-00,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2000,3,MA,,1,9999,Weakfish,01-05-00,30-06-00,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2000,4,MA,,1,9999,Weakfish,01-07-00,31-08-00,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2000,5,MA,,1,9999,Weakfish,01-09-00,31-10-00,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2000,6,MA,,1,9999,Weakfish,01-11-00,31-12-00,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2001,1,MA,,1,9999,Weakfish,01-01-01,28-02-01,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2001,2,MA,,1,9999,Weakfish,01-03-01,30-04-01,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2001,3,MA,,1,9999,Weakfish,01-05-01,30-06-01,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2001,4,MA,,1,9999,Weakfish,01-07-01,31-08-01,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2001,5,MA,,1,9999,Weakfish,01-09-01,31-10-01,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2001,6,MA,,1,9999,Weakfish,01-11-01,31-12-01,,9999,9999,9999,,9999,16,,9999,,9999,0,0,0,0,,0
,2002,1,MA,,1,9999,Weakfish,01-01-02,28-02-02,,12,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2002,2,MA,,1,9999,Weakfish,01-03-02,30-04-02,,12,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2002,3,MA,,1,9999,Weakfish,01-05-02,30-06-02,,12,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2002,4,MA,,1,9999,Weakfish,01-07-02,31-08-02,,12,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2002,5,MA,,1,9999,Weakfish,01-09-02,31-10-02,,12,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2002,6,MA,,1,9999,Weakfish,01-11-02,31-12-02,,12,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2003,1,MA,,1,9999,Weakfish,01-01-03,28-02-03,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2003,2,MA,,1,9999,Weakfish,01-03-03,30-04-03,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2003,3,MA,,1,9999,Weakfish,01-05-03,30-06-03,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2003,4,MA,,1,9999,Weakfish,01-07-03,31-08-03,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2003,5,MA,,1,9999,Weakfish,01-09-03,31-10-03,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2003,6,MA,,1,9999,Weakfish,01-11-03,31-12-03,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2004,1,MA,,1,9999,Weakfish,01-01-04,29-02-04,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2004,2,MA,,1,9999,Weakfish,01-03-04,30-04-04,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2004,3,MA,,1,9999,Weakfish,01-05-04,30-06-04,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2004,4,MA,,1,9999,Weakfish,01-07-04,31-08-04,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2004,5,MA,,1,9999,Weakfish,01-09-04,31-10-04,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2004,6,MA,,1,9999,Weakfish,01-11-04,31-12-04,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2005,1,MA,,1,9999,Weakfish,01-01-05,28-02-05,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2005,2,MA,,1,9999,Weakfish,01-03-05,30-04-05,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2005,3,MA,,1,9999,Weakfish,01-05-05,30-06-05,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2005,4,MA,,1,9999,Weakfish,01-07-05,31-08-05,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2005,5,MA,,1,9999,Weakfish,01-09-05,31-10-05,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2005,6,MA,,1,9999,Weakfish,01-11-05,31-12-05,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2006,1,MA,,1,9999,Weakfish,01-01-06,28-02-06,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2006,2,MA,,1,9999,Weakfish,01-03-06,30-04-06,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2006,3,MA,,1,9999,Weakfish,01-05-06,30-06-06,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2006,4,MA,,1,9999,Weakfish,01-07-06,31-08-06,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2006,5,MA,,1,9999,Weakfish,01-09-06,31-10-06,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2006,6,MA,,1,9999,Weakfish,01-11-06,31-12-06,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2007,1,MA,,1,9999,Weakfish,01-01-07,28-02-07,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2007,2,MA,,1,9999,Weakfish,01-03-07,30-04-07,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2007,3,MA,,1,9999,Weakfish,01-05-07,30-06-07,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
,2007,4,MA,,1,9999,Weakfish,01-07-07,31-08-07,,10,9999,9999,,9999,16,,9999,,9999,9999,0,0,0,,0
