Year,State,NMFS Name,Pounds,Collection,Confidentiality
2018,CONNECTICUT,SCUP ,792737,Commercial,Public
2018,DELAWARE,SCUP ,,Commercial,Confidential
2018,MARYLAND,SCUP ,42808,Commercial,Public
2018,MASSACHUSETTS,SCUP ,1486676,Commercial,Public
2018,NEW HAMPSHIRE,SCUP ,,Commercial,Confidential
2018,NEW JERSEY,SCUP ,2475986,Commercial,Public
2018,NEW YORK,SCUP ,3348867,Commercial,Public
2018,NORTH CAROLINA,SCUP ,78944,Commercial,Public
2018,RHODE ISLAND,SCUP ,4713742,Commercial,Public
2018,SOUTH CAROLINA,SCUP ,,Commercial,Confidential
2018,VIRGINIA,SCUP ,441162,Commercial,Public
2017,CONNECTICUT,SCUP ,748285,Commercial,Public
2017,DELAWARE,SCUP ,,Commercial,Confidential
2017,MARYLAND,SCUP ,87271,Commercial,Public
2017,MASSACHUSETTS,SCUP ,2560120,Commercial,Public
2017,NEW HAMPSHIRE,SCUP ,,Commercial,Confidential
2017,NEW JERSEY,SCUP ,1841315,Commercial,Public
2017,NEW YORK,SCUP ,3464504,Commercial,Public
2017,NORTH CAROLINA,SCUP ,199711,Commercial,Public
2017,RHODE ISLAND,SCUP ,5973305,Commercial,Public
2017,SOUTH CAROLINA,SCUP ,,Commercial,Confidential
2017,VIRGINIA,SCUP ,559192,Commercial,Public
2016,CONNECTICUT,SCUP ,941532,Commercial,Public
2016,DELAWARE,SCUP ,,Commercial,Confidential
2016,MARYLAND,SCUP ,53535,Commercial,Public
2016,MASSACHUSETTS,SCUP ,1535946,Commercial,Public
2016,NEW HAMPSHIRE,SCUP ,,Commercial,Confidential
2016,NEW JERSEY,SCUP ,2336172,Commercial,Public
2016,NEW YORK,SCUP ,3504265,Commercial,Public
2016,NORTH CAROLINA,SCUP ,111908,Commercial,Public
2016,RHODE ISLAND,SCUP ,6808917,Commercial,Public
2016,SOUTH CAROLINA,SCUP ,,Commercial,Confidential
2016,VIRGINIA,SCUP ,447257,Commercial,Public
2015,CONNECTICUT,SCUP ,983042,Commercial,Public
