"","state","year","com.landing.kg"
"1",9,1991,287000
"2",9,1992,193000
"3",9,1993,148000
"4",9,1994,142000
"5",9,1995,90000
"6",9,1996,99000
"7",9,1997,50000
"8",9,1998,44000
"9",9,1999,44000
"10",9,2000,65000
"11",9,2001,45000
"12",9,2002,4000
"13",9,2003,64000
"14",9,2004,115924
"15",9,2005,148715
"16",9,2006,135130
"17",9,2007,116067
"18",9,2008,127920
"19",9,2009,92355
"20",9,2010,146907
"21",9,2011,292314
"22",9,2012,411327
"23",9,2013,541934
"24",9,2014,367911
"25",9,2015,445900
"26",9,2016,427071
"27",9,2017,339416
"28",9,2018,359579
"29",10,2004,1
"30",10,2006,0
"31",10,2007,NA
"32",10,2011,NA
"33",10,2012,NA
"34",10,2013,NA
"35",10,2014,NA
"36",10,2015,NA
"37",10,2016,NA
"38",10,2017,NA
"39",10,2018,NA
"40",23,1991,16000
"41",23,1992,NA
"42",23,1993,NA
"43",23,1994,NA
"44",23,1995,NA
"45",23,1996,NA
"46",23,1997,NA
"47",23,1998,NA
"48",23,1999,NA
"49",23,2000,NA
"50",23,2001,NA
"51",23,2002,NA
"52",23,2003,NA
"53",23,2004,NA
"54",23,2005,NA
"55",23,2006,NA
"56",23,2007,NA
"57",23,2008,NA
"58",23,2009,NA
"59",23,2010,NA
"60",23,2011,NA
"61",23,2012,NA
"62",23,2013,NA
"63",23,2014,NA
"64",24,1991,15000
"65",24,1992,17000
"66",24,1993,10000
"67",24,1994,7000
"68",24,1995,2000
"69",24,1996,20000
"70",24,1997,1000
"71",24,1998,5000
"72",24,1999,NA
"73",24,2000,NA
"74",24,2001,1000
"75",24,2002,NA
"76",24,2003,21000
"77",24,2004,21000
"78",24,2005,85
"79",24,2006,0
"80",24,2007,1000
"81",24,2008,3000
"82",24,2009,5000
"83",24,2010,12330
"84",24,2011,25000
"85",24,2012,4000
"86",24,2013,148108
"87",24,2014,240749
"88",24,2015,11744
"89",24,2016,24283
"90",24,2017,39585
"91",24,2018,19417
"92",25,1991,553000
"93",25,1992,655000
"94",25,1993,556000
"95",25,1994,354000
"96",25,1995,310000
"97",25,1996,436000
"98",25,1997,676000
"99",25,1998,435000
"100",25,1999,3e+05
"101",25,2000,161000
"102",25,2001,149000
"103",25,2002,330000
"104",25,2003,407000
"105",25,2004,351961
"106",25,2005,516299
"107",25,2006,492977
"108",25,2007,500830
"109",25,2008,239196
"110",25,2009,326046
"111",25,2010,467523
"112",25,2011,564181
"113",25,2012,909573
"114",25,2013,636312
"115",25,2014,538760
"116",25,2015,626076
"117",25,2016,696693
"118",25,2017,1161250
"119",25,2018,674344
"120",33,2011,NA
"121",33,2013,NA
"122",33,2014,NA
"123",33,2016,NA
"124",33,2017,NA
"125",33,2018,NA
"126",34,1991,1960000
"127",34,1992,1475000
"128",34,1993,1822000
"129",34,1994,1456000
"130",34,1995,1084000
"131",34,1996,1141000
"132",34,1997,596000
"133",34,1998,758000
"134",34,1999,361000
"135",34,2000,232000
"136",34,2001,479000
"137",34,2002,419000
"138",34,2003,1033000
"139",34,2004,862188
"140",34,2005,880149
"141",34,2006,631794
"142",34,2007,714480
"143",34,2008,351024
"144",34,2009,693337
"145",34,2010,703181
"146",34,2011,891979
"147",34,2012,443854
"148",34,2013,923122
"149",34,2014,1066686
"150",34,2015,1352418
"151",34,2016,1059669
"152",34,2017,835206
"153",34,2018,1123087
"154",36,1991,1223000
"155",36,1992,1043000
"156",36,1993,729000
"157",36,1994,688000
"158",36,1995,511000
"159",36,1996,377000
"160",36,1997,376000
"161",36,1998,282000
"162",36,1999,206000
"163",36,2000,287000
"164",36,2001,297000
"165",36,2002,714000
"166",36,2003,839000
"167",36,2004,864950
"168",36,2005,989262
"169",36,2006,1095784
"170",36,2007,1054450
"171",36,2008,550838
"172",36,2009,839432
"173",36,2010,1220025
"174",36,2011,1691416
"175",36,2012,1953619
"176",36,2013,2074921
"177",36,2014,1440094
"178",36,2015,1837182
"179",36,2016,1589507
"180",36,2017,1571471
"181",36,2018,1519019
"182",37,1991,57800
"183",37,1992,79105
"184",37,1993,40235
"185",37,1994,138821
"186",37,1995,10901
"187",37,1996,26691
"188",37,1997,619
"189",37,1998,6752
"190",37,1999,NA
"191",37,2000,NA
"192",37,2001,NA
"193",37,2002,13000
"194",37,2003,64865
"195",37,2004,237480
"196",37,2005,159856
"197",37,2006,63531
"198",37,2007,30381
"199",37,2008,93380
"200",37,2009,110829
"201",37,2010,46653
"202",37,2011,140118
"203",37,2012,1794
"204",37,2013,13014
"205",37,2014,72805
"206",37,2015,104188
"207",37,2016,50761
"208",37,2017,90587
"209",37,2018,35808
"210",44,1991,2902000
"211",44,1992,2676000
"212",44,1993,1332000
"213",44,1994,1514000
"214",44,1995,1045000
"215",44,1996,773000
"216",44,1997,486000
"217",44,1998,361000
"218",44,1999,581000
"219",44,2000,461000
"220",44,2001,734000
"221",44,2002,1668000
"222",44,2003,1730000
"223",44,2004,1553662
"224",44,2005,1553018
"225",44,2006,1652566
"226",44,2007,1784207
"227",44,2008,976821
"228",44,2009,1641439
"229",44,2010,1949760
"230",44,2011,2873670
"231",44,2012,2861872
"232",44,2013,3331965
"233",44,2014,3151941
"234",44,2015,3081612
"235",44,2016,3088470
"236",44,2017,2709443
"237",44,2018,2138116
"238",45,1991,445
"239",45,2007,NA
"240",45,2008,NA
"241",45,2009,NA
"242",45,2013,NA
"243",45,2015,NA
"244",45,2016,NA
"245",45,2017,NA
"246",45,2018,NA
"247",51,1991,56000
"248",51,1992,73000
"249",51,1993,76000
"250",51,1994,92000
"251",51,1995,20000
"252",51,1996,72000
"253",51,1997,2000
"254",51,1998,4000
"255",51,1999,13000
"256",51,2000,1000
"257",51,2001,24000
"258",51,2002,25000
"259",51,2003,253000
"260",51,2004,203461
"261",51,2005,129653
"262",51,2006,36430
"263",51,2007,10000
"264",51,2008,43517
"265",51,2009,95969
"266",51,2010,168453
"267",51,2011,281445
"268",51,2012,154159
"269",51,2013,409170
"270",51,2014,314920
"271",51,2015,231092
"272",51,2016,202872
"273",51,2017,253645
"274",51,2018,200108
