Year,State,NMFS Name,Pounds,Dollars,Collection,Confidentiality
2018,ALABAMA,SHEEPSHEAD ,67324,61235,Commercial,Public
2018,CONNECTICUT,SHEEPSHEAD ,6,3,Commercial,Public
2018,FLORIDA-EAST,SHEEPSHEAD ,159206,268740,Commercial,Public
2018,FLORIDA-WEST,SHEEPSHEAD ,121966,139510,Commercial,Public
2018,GEORGIA,SHEEPSHEAD ,,,Commercial,Confidential
2018,LOUISIANA,SHEEPSHEAD ,1416906,755952,Commercial,Public
2018,MARYLAND,SHEEPSHEAD ,,,Commercial,Confidential
2018,MISSISSIPPI,SHEEPSHEAD ,24120,20338,Commercial,Public
2018,NEW JERSEY,SHEEPSHEAD ,,,Commercial,Confidential
2018,NEW YORK,SHEEPSHEAD ,,,Commercial,Confidential
2018,NORTH CAROLINA,SHEEPSHEAD ,90303,123686,Commercial,Public
2018,SOUTH CAROLINA,SHEEPSHEAD ,81,142,Commercial,Public
2018,TEXAS,SHEEPSHEAD ,11633,7210,Commercial,Public
2018,VIRGINIA,SHEEPSHEAD ,810,1107,Commercial,Public
2017,ALABAMA,SHEEPSHEAD ,62315,52216,Commercial,Public
2017,DELAWARE,SHEEPSHEAD ,,,Commercial,Confidential
2017,FLORIDA-EAST,SHEEPSHEAD ,193279,291029,Commercial,Public
2017,FLORIDA-WEST,SHEEPSHEAD ,131339,142308,Commercial,Public
2017,LOUISIANA,SHEEPSHEAD ,746476,435032,Commercial,Public
2017,MARYLAND,SHEEPSHEAD ,,,Commercial,Confidential
2017,MISSISSIPPI,SHEEPSHEAD ,19605,14053,Commercial,Public
2017,NEW JERSEY,SHEEPSHEAD ,40,42,Commercial,Public
2017,NEW YORK,SHEEPSHEAD ,31,43,Commercial,Public
2017,NORTH CAROLINA,SHEEPSHEAD ,128269,155415,Commercial,Public
2017,SOUTH CAROLINA,SHEEPSHEAD ,67,141,Commercial,Public
2017,TEXAS,SHEEPSHEAD ,17655,9838,Commercial,Public
2017,VIRGINIA,SHEEPSHEAD ,2515,4009,Commercial,Public
2016,ALABAMA,SHEEPSHEAD ,47268,38425,Commercial,Public
2016,DELAWARE,SHEEPSHEAD ,,,Commercial,Confidential
2016,FLORIDA-EAST,SHEEPSHEAD ,149280,217730,Commercial,Public
2016,FLORIDA-WEST,SHEEPSHEAD ,149263,150926,Commercial,Public
2016,GEORGIA,SHEEPSHEAD ,,,Commercial,Confidential
2016,LOUISIANA,SHEEPSHEAD ,892041,465933,Commercial,Public
2016,MARYLAND,SHEEPSHEAD ,,,Commercial,Confidential
2016,MISSISSIPPI,SHEEPSHEAD ,22114,14553,Commercial,Public
2016,NEW JERSEY,SHEEPSHEAD ,,,Commercial,Confidential
2016,NEW YORK,SHEEPSHEAD ,58,54,Commercial,Public
2016,NORTH CAROLINA,SHEEPSHEAD ,93965,117013,Commercial,Public
