"","year","state","com.landing.kg","area"
"1",2018,1,30538,NA
"2",2018,9,3,NA
"3",2018,12,72215,"12E"
"4",2018,12,55323,"12W"
"5",2018,13,NA,NA
"6",2018,22,642697,NA
"7",2018,24,NA,NA
"8",2018,28,10941,NA
"9",2018,34,NA,NA
"10",2018,36,NA,NA
"11",2018,37,40961,NA
"12",2018,45,37,NA
"13",2018,48,5277,NA
"14",2018,51,367,NA
"15",2017,1,28266,NA
"16",2017,10,NA,NA
"17",2017,12,87670,"12E"
"18",2017,12,59574,"12W"
"19",2017,22,338596,NA
"20",2017,24,NA,NA
"21",2017,28,8893,NA
"22",2017,34,18,NA
"23",2017,36,14,NA
"24",2017,37,58182,NA
"25",2017,45,30,NA
"26",2017,48,8008,NA
"27",2017,51,1141,NA
"28",2016,1,21440,NA
"29",2016,10,NA,NA
"30",2016,12,67712,"12E"
"31",2016,12,67705,"12W"
"32",2016,13,NA,NA
"33",2016,22,404623,NA
"34",2016,24,NA,NA
"35",2016,28,10031,NA
"36",2016,34,NA,NA
"37",2016,36,26,NA
"38",2016,37,42622,NA
"39",2016,45,34,NA
"40",2016,48,5360,NA
"41",2016,51,1233,NA
"42",2015,1,19568,NA
"43",2015,12,59543,"12E"
"44",2015,12,115682,"12W"
"45",2015,22,354780,NA
"46",2015,24,NA,NA
"47",2015,28,4784,NA
"48",2015,34,NA,NA
"49",2015,36,NA,NA
"50",2015,37,56625,NA
"51",2015,45,49,NA
"52",2015,48,4750,NA
"53",2015,51,519,NA
"54",2014,1,72956,NA
"55",2014,12,76028,"12E"
"56",2014,12,90768,"12W"
"57",2014,22,489780,NA
"58",2014,28,7466,NA
"59",2014,36,28,NA
"60",2014,37,78642,NA
"61",2014,44,NA,NA
"62",2014,45,125,NA
"63",2014,48,1807,NA
"64",2014,51,574,NA
"65",2013,1,62460,NA
"66",2013,9,2,NA
"67",2013,12,83348,"12E"
"68",2013,12,86691,"12W"
"69",2013,22,601474,NA
"70",2013,24,NA,NA
"71",2013,28,14251,NA
"72",2013,34,NA,NA
"73",2013,36,NA,NA
"74",2013,37,81749,NA
"75",2013,44,NA,NA
"76",2013,45,NA,NA
"77",2013,48,4700,NA
"78",2013,51,647,NA
"79",2012,1,56093,NA
"80",2012,12,59639,"12E"
"81",2012,12,73202,"12W"
"82",2012,13,NA,NA
"83",2012,22,331243,NA
"84",2012,24,NA,NA
"85",2012,28,20037,NA
"86",2012,34,87,NA
"87",2012,37,49841,NA
"88",2012,45,231,NA
"89",2012,48,2095,NA
"90",2012,51,2668,NA
"91",2011,1,80717,NA
"92",2011,12,51271,"12E"
"93",2011,12,69293,"12W"
"94",2011,22,401253,NA
"95",2011,28,9751,NA
"96",2011,34,NA,NA
"97",2011,36,NA,NA
"98",2011,37,54874,NA
"99",2011,44,NA,NA
"100",2011,45,195,NA
"101",2011,48,5557,NA
"102",2011,51,3678,NA
"103",2010,1,90935,NA
"104",2010,12,65983,"12E"
"105",2010,12,88301,"12W"
"106",2010,13,NA,NA
"107",2010,22,419037,NA
"108",2010,24,NA,NA
"109",2010,28,11273,NA
"110",2010,37,71500,NA
"111",2010,44,NA,NA
"112",2010,45,189,NA
"113",2010,48,2489,NA
"114",2010,51,3100,NA
"115",2009,1,66652,NA
"116",2009,12,79082,"12E"
"117",2009,12,63208,"12W"
"118",2009,13,NA,NA
"119",2009,22,550609,NA
"120",2009,24,NA,NA
"121",2009,28,5296,NA
"122",2009,34,NA,NA
"123",2009,37,60051,NA
"124",2009,45,NA,NA
"125",2009,48,4594,NA
"126",2009,51,5118,NA
"127",2008,1,78041,NA
"128",2008,12,78661,"12E"
"129",2008,12,42303,"12W"
"130",2008,13,NA,NA
"131",2008,22,530883,NA
"132",2008,24,NA,NA
"133",2008,28,8816,NA
"134",2008,34,NA,NA
"135",2008,36,NA,NA
"136",2008,37,40699,NA
"137",2008,45,NA,NA
"138",2008,48,7546,NA
"139",2008,51,738,NA
"140",2007,1,97090,NA
"141",2007,10,NA,NA
"142",2007,12,72591,"12E"
"143",2007,12,50683,"12W"
"144",2007,22,464578,NA
"145",2007,24,NA,NA
"146",2007,28,11025,NA
"147",2007,34,171,NA
"148",2007,36,NA,NA
"149",2007,37,35005,NA
"150",2007,48,7221,NA
"151",2007,51,12054,NA
"152",2006,1,99323,NA
"153",2006,12,74640,"12E"
"154",2006,12,60965,"12W"
"155",2006,22,256102,NA
"156",2006,28,13263,NA
"157",2006,34,273,NA
"158",2006,37,26080,NA
"159",2006,48,11916,NA
"160",2006,51,1628,NA
"161",2005,1,103959,NA
"162",2005,12,78100,"12E"
"163",2005,12,70108,"12W"
"164",2005,22,463666,NA
"165",2005,25,5,NA
"166",2005,28,13441,NA
"167",2005,37,24163,NA
"168",2005,48,23336,NA
"169",2005,51,1937,NA
"170",2004,1,87220,NA
"171",2004,12,56134,"12E"
"172",2004,12,73964,"12W"
"173",2004,22,596907,NA
"174",2004,24,2,NA
"175",2004,28,30215,NA
"176",2004,34,15,NA
"177",2004,37,37204,NA
"178",2004,45,18,NA
"179",2004,48,30978,NA
"180",2004,51,870,NA
"181",2003,1,176434,NA
"182",2003,12,63640,"12E"
"183",2003,12,88841,"12W"
"184",2003,22,742960,NA
"185",2003,28,33138,NA
"186",2003,36,1,NA
"187",2003,37,24211,NA
"188",2003,48,30684,NA
