year,biomass,ssb,recruits,spr,F,Fcom,Frec
1982,5910,4585,10284,0.59,0.09,0.02,0.1
1983,5818,4479,12495,0.45,0.15,0.02,0.18
1984,5531,4157,7894,0.51,0.06,0.02,0.1
1985,5414,4103,8526,0.48,0.09,0.02,0.18
1986,5211,3966,12679,0.61,0.07,0.02,0.15
1987,5342,4000,5280,0.57,0.08,0.02,0.15
1988,5291,4068,5688,0.33,0.05,0.03,0.08
1989,4495,3488,5585,0.28,0.06,0.03,0.09
1990,3606,2783,13085,0.36,0.16,0.04,0.28
1991,3386,2416,15326,0.36,0.2,0.05,0.35
1992,3534,2329,6550,0.2,0.14,0.06,0.22
1993,3137,2088,9838,0.2,0.11,0.08,0.21
1994,2819,1854,7335,0.29,0.21,0.12,0.47
1995,2801,1891,4911,0.26,0.25,0.12,0.47
1996,2597,1820,4968,0.38,0.16,0.13,0.25
1997,2558,1834,10403,0.39,0.19,0.09,0.34
1998,2630,1791,7467,0.37,0.11,0.06,0.31
1999,2723,1840,8435,0.33,0.11,0.08,0.29
2000,2776,1854,9756,0.39,0.08,0.07,0.33
2001,2996,1994,8073,0.4,0.11,0.08,0.4
2002,3194,2173,5381,0.44,0.08,0.08,0.3
2003,3324,2369,6519,0.43,0.08,0.07,0.29
2004,3308,2404,8149,0.44,0.07,0.06,0.24
2005,3304,2386,7125,0.34,0.09,0.06,0.25
2006,3076,2191,5436,0.45,0.09,0.05,0.24
2007,3092,2241,8564,0.47,0.12,0.05,0.39
2008,3174,2271,8086,0.49,0.07,0.05,0.24
2009,3309,2359,5856,0.44,0.07,0.04,0.22
2010,3314,2400,6276,0.53,0.06,0.03,0.2
2011,3408,2507,10042,0.48,0.07,0.04,0.24
2012,3483,2500,9704,0.47,0.06,0.06,0.15
2013,3613,2550,5144,0.52,0.07,0.04,0.2
2014,3742,2730,12216,0.41,0.06,0.05,0.21
2015,3744,2637,5167,0.49,0.05,0.05,0.17
