year,biomass,ssb,recruits,spr,F,Fcom,Frec
1982,4497,3250,11140,0.41,0.12,0.04,0.18
1983,4567,3081,6940,0.56,0.06,0.03,0.09
1984,4890,3401,11271,0.42,0.11,0.03,0.18
1985,5094,3412,6850,0.66,0.04,0.03,0.05
1986,5567,3920,4773,0.54,0.07,0.03,0.11
1987,5560,4101,5872,0.42,0.13,0.03,0.18
1988,5142,3827,5801,0.53,0.08,0.03,0.11
1989,5006,3748,5872,0.65,0.05,0.03,0.06
1990,5043,3787,7834,0.52,0.08,0.04,0.11
1991,4969,3633,5325,0.43,0.1,0.04,0.16
1992,4660,3429,5276,0.42,0.11,0.05,0.16
1993,4356,3207,7416,0.4,0.12,0.04,0.19
1994,4152,2953,7038,0.31,0.16,0.05,0.28
1995,3818,2634,4275,0.38,0.12,0.04,0.21
1996,3647,2588,5309,0.52,0.06,0.04,0.19
1997,3723,2651,3339,0.58,0.05,0.04,0.14
1998,3746,2771,3908,0.63,0.04,0.03,0.11
1999,3763,2825,4779,0.58,0.06,0.03,0.15
2000,3711,2764,7418,0.55,0.06,0.04,0.16
2001,3787,2683,4989,0.51,0.05,0.03,0.2
2002,3802,2711,3019,0.62,0.04,0.03,0.12
2003,3853,2863,1405,0.59,0.05,0.03,0.14
2004,3663,2862,5675,0.69,0.04,0.02,0.09
2005,3684,2782,4219,0.53,0.06,0.03,0.18
2006,3498,2618,3727,0.61,0.04,0.04,0.12
2007,3456,2589,5928,0.6,0.04,0.04,0.13
2008,3528,2554,3411,0.62,0.03,0.04,0.12
2009,3549,2631,7404,0.63,0.04,0.04,0.11
2010,3763,2660,4352,0.56,0.05,0.03,0.16
2011,3814,2757,2272,0.62,0.04,0.02,0.13
2012,3783,2865,5313,0.64,0.05,0.03,0.11
2013,3813,2842,8807,0.63,0.04,0.04,0.11
2014,4057,2848,6073,0.46,0.06,0.03,0.26
2015,4033,2815,4587,0.61,0.04,0.03,0.13
