year,biomass_mt,ssb_mt,recruits,sSPR,tSPR,F,Fratio,Bratio
1983,475,198,1674,0.31,0.31,0.41,1,1.3
1984,450,191,3776,0.17,0.23,0.97,2.34,1.25
1985,412,151,3072,0.15,0.17,1.13,2.74,0.99
1986,438,168,1407,0.28,0.2,0.46,1.13,1.1
1987,453,189,1822,0.14,0.17,1.2,2.89,1.24
1988,266,96,1847,0.36,0.22,0.33,0.73,0.63
1989,337,135,1330,0.42,0.3,0.26,0.57,0.89
1990,374,162,2179,0.36,0.34,0.33,0.76,1.07
1991,405,168,2090,0.21,0.27,0.79,1.83,1.11
1992,366,141,1353,0.18,0.2,0.88,2.23,0.93
1993,298,113,2081,0.18,0.18,0.87,2.22,0.74
1994,281,101,752,0.2,0.19,0.78,1.92,0.67
1995,248,97,771,0.17,0.18,0.99,2.53,0.64
1996,154,54,894,0.35,0.23,0.35,0.82,0.35
1997,176,68,541,0.27,0.27,0.54,1.27,0.45
1998,157,63,780,0.4,0.31,0.28,0.65,0.41
1999,168,69,1094,0.56,0.39,0.15,0.34,0.45
2000,216,92,952,0.33,0.39,0.41,0.94,0.6
2001,221,93,874,0.4,0.38,0.28,0.69,0.61
2002,232,99,1000,0.51,0.41,0.18,0.43,0.65
2003,256,112,720,0.45,0.44,0.24,0.58,0.74
2004,251,112,1119,0.47,0.45,0.22,0.53,0.73
2005,260,114,1161,0.34,0.41,0.4,0.95,0.75
2006,256,108,1053,0.3,0.35,0.44,1.11,0.71
2007,247,102,841,0.45,0.36,0.23,0.58,0.67
2008,259,111,1482,0.48,0.41,0.21,0.5,0.73
2009,295,126,1354,0.54,0.46,0.17,0.39,0.83
2010,348,153,1605,0.42,0.46,0.26,0.65,1.01
2011,372,162,2107,0.39,0.43,0.3,0.73,1.06
2012,417,177,1030,0.24,0.33,0.63,1.59,1.16
2013,335,137,977,0.29,0.29,0.47,1.2,0.9
2014,276,111,1294,0.25,0.27,0.6,1.47,0.73
2015,238,91,609,0.48,0.32,0.2,0.49,0.6
