year,biomass_mt,ssb_mt,recruits,sSPR,tSPR,F,Fratio,Bratio
1983,1018,484,8616,0.28,0.28,0.48,1.08,0.79
1984,1102,525,9976,0.4,0.31,0.27,0.62,0.86
1985,1370,667,10211,0.42,0.36,0.26,0.55,1.09
1986,1615,801,4444,0.51,0.4,0.18,0.38,1.31
1987,1672,857,10577,0.58,0.46,0.14,0.29,1.4
1988,1833,931,21845,0.55,0.5,0.17,0.32,1.52
1989,2426,1213,30534,0.68,0.54,0.08,0.2,1.98
1990,3652,1843,32445,0.67,0.58,0.07,0.22,3
1991,5061,2594,28806,0.73,0.62,0.05,0.16,4.23
1992,6294,3285,25473,0.81,0.67,0.04,0.1,5.36
1993,7193,3814,23707,0.88,0.72,0.02,0.06,6.22
1994,7800,4196,12872,0.86,0.77,0.03,0.07,6.84
1995,7698,4218,6034,0.81,0.79,0.04,0.1,6.88
1996,6879,3819,3169,0.88,0.81,0.02,0.06,6.23
1997,5883,3316,2248,0.81,0.82,0.04,0.1,5.41
1998,4689,2667,1641,0.78,0.81,0.05,0.13,4.35
1999,3564,2036,4345,0.63,0.77,0.11,0.27,3.32
2000,2539,1415,3351,0.56,0.69,0.15,0.37,2.31
2001,1786,963,3317,0.5,0.61,0.16,0.47,1.57
2002,1288,665,4138,0.45,0.54,0.21,0.58,1.08
2003,1014,504,6541,0.5,0.51,0.17,0.45,0.82
2004,1036,509,6173,0.42,0.48,0.25,0.67,0.83
2005,1074,529,4144,0.32,0.4,0.37,1.05,0.86
2006,959,469,5436,0.36,0.37,0.32,0.84,0.76
2007,935,452,3282,0.35,0.36,0.36,0.89,0.74
2008,844,411,4633,0.47,0.38,0.19,0.5,0.67
2009,881,431,9681,0.46,0.42,0.22,0.52,0.7
2010,1097,533,4168,0.46,0.44,0.21,0.53,0.87
2011,1196,604,3987,0.46,0.45,0.19,0.51,0.99
2012,1163,588,4255,0.44,0.45,0.24,0.57,0.96
2013,1064,533,3482,0.44,0.45,0.24,0.58,0.87
2014,957,478,5696,0.45,0.45,0.22,0.56,0.78
2015,954,470,3786,0.5,0.46,0.18,0.45,0.77
