year,biomass_mt,ssb_mt,recruits,sSPR,tSPR,F,Fratio,Bratio
1983,3234,1509,18852,0.38,0.33,0.39,0.55,1.25
1984,3739,1807,19406,0.41,0.36,0.36,0.5,1.5
1985,3903,1909,14349,0.6,0.42,0.17,0.24,1.59
1986,4206,2129,6334,0.53,0.47,0.23,0.31,1.77
1987,3690,1926,8591,0.56,0.5,0.21,0.28,1.6
1988,3150,1653,18754,0.38,0.48,0.41,0.55,1.37
1989,2843,1419,25277,0.36,0.42,0.44,0.6,1.18
1990,3313,1597,17881,0.42,0.4,0.29,0.62,1.33
1991,3921,1906,16846,0.46,0.42,0.25,0.52,1.58
1992,4154,2020,14673,0.49,0.45,0.25,0.46,1.68
1993,4113,2010,12849,0.52,0.48,0.21,0.39,1.67
1994,3961,1951,17127,0.6,0.52,0.15,0.28,1.62
1995,4100,2025,21413,0.66,0.56,0.12,0.21,1.68
1996,4635,2304,21189,0.74,0.62,0.08,0.14,1.91
1997,5346,2706,20815,0.65,0.64,0.12,0.22,2.25
1998,5729,2915,17346,0.62,0.64,0.14,0.25,2.42
1999,5735,2934,8577,0.68,0.65,0.11,0.2,2.44
2000,5322,2780,7224,0.69,0.66,0.1,0.19,2.31
2001,4579,2415,5964,0.74,0.68,0.09,0.14,2.01
2002,3878,2066,9347,0.57,0.66,0.19,0.32,1.72
2003,3109,1609,8443,0.48,0.59,0.27,0.48,1.34
2004,2539,1274,8781,0.35,0.47,0.44,0.87,1.06
2005,1985,942,11134,0.34,0.38,0.47,0.92,0.78
2006,1868,858,19860,0.43,0.38,0.3,0.58,0.71
2007,2519,1161,9282,0.44,0.41,0.29,0.55,0.96
2008,2842,1381,10176,0.48,0.44,0.23,0.45,1.15
2009,2829,1378,11981,0.53,0.47,0.22,0.37,1.14
2010,2862,1394,15107,0.51,0.49,0.23,0.4,1.16
2011,3040,1473,12604,0.53,0.51,0.2,0.37,1.22
2012,3232,1589,9292,0.51,0.51,0.21,0.4,1.32
2013,3114,1544,7881,0.52,0.51,0.22,0.4,1.28
2014,2811,1395,8190,0.49,0.51,0.25,0.43,1.16
2015,2477,1217,12251,0.54,0.51,0.2,0.35,1.01
