year,F,F_3yr,SSB,SSB_3yr,R,R_3yr
1982,0.114024,0.1532705,3.66E+09,3455480000,1430.08,1404.2
1983,0.192517,0.120461567,3.25E+09,3179666667,1378.32,1372.636667
1984,0.0548437,0.095504,2.63E+09,2814113333,1309.51,1310.206667
1985,0.0391513,0.106817333,2.56E+09,2578943333,1242.79,1244.21
1986,0.226457,0.158741433,2.54E+09,2373416667,1180.33,1146.696667
1987,0.210616,0.170592533,2.01E+09,2074803333,1016.97,1047.193333
1988,0.0747046,0.142893867,1.67E+09,1777456667,944.28,947.2046667
1989,0.143361,0.110838867,1.65E+09,1606610000,880.364,878.4876667
1990,0.114451,0.173051,1.50E+09,1520530000,810.819,815.6033333
1991,0.261341,0.182113667,1.41E+09,1337626667,755.627,755.7813333
1992,0.170549,0.227829,1.10E+09,1172610000,700.898,714.6876667
1993,0.251597,0.214176667,1.00E+09,981005666.7,687.538,718.722
1994,0.220384,0.296754333,8.36E+08,867585666.7,767.73,866.896
1995,0.418282,0.338417,7.63E+08,726675666.7,1145.42,962.8896667
1996,0.376585,0.40726,5.81E+08,638806666.7,975.519,1172.376333
1997,0.426913,0.399772,5.72E+08,566011333.3,1396.19,1072.631667
1998,0.395818,0.472093,5.45E+08,564687000,846.186,1151.395333
1999,0.593548,0.44143,5.77E+08,504273666.7,1211.81,1036.848667
2000,0.334924,0.458497,3.91E+08,495352000,1052.55,1167.666667
2001,0.447019,0.427946333,5.18E+08,472335000,1238.64,1156.75
2002,0.501896,0.430768,5.08E+08,501290333.3,1179.06,1317.75
2003,0.343389,0.497148667,4.78E+08,531131333.3,1535.55,1444.386667
2004,0.646161,0.448511333,6.08E+08,512132333.3,1618.55,1531.52
2005,0.355984,0.475244667,4.51E+08,567704666.7,1440.46,1735.78
2006,0.423589,0.354203,6.44E+08,606458000,2148.33,2056.813333
2007,0.283036,0.349450333,7.24E+08,813365000,2581.65,2442.08
2008,0.341726,0.393867,1.07E+09,1029320667,2596.26,2432.513333
2009,0.556839,0.430652333,1.29E+09,1118388667,2119.63,2411.53
2010,0.393392,0.487643,9.91E+08,1120922000,2518.7,2223.876667
2011,0.512698,0.465887,1.08E+09,1009199333,2033.3,2157.2
2012,0.491571,0.529055,9.57E+08,967533666.7,1919.6,2149.876667
2013,0.582896,0.439204,8.66E+08,845736666.7,2496.73,2732.54
2014,0.243145,0.411666,7.14E+08,953989333.3,3781.29,3271.306667
2015,0.408957,0.430397333,1.28E+09,1179343000,3535.9,3134.15
2016,0.63909,0.457384333,1.54E+09,1285860000,2085.26,2344.686667
2017,0.324106,0.538545333,1.03E+09,1236006667,1412.9,1390.901
2018,0.65244,0.588333,1.13E+09,908636000,674.543,1047.761
2019,0.788453,0.588333,5.60E+08,908636000,1055.84,1047.761
