ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed,,,,,,,,
,1996,1,ME,9999,1,9999,Striped_Bass,01-01-1996,02-29-1996,0,1,9999,9999,9999,9999,0,36,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,2,ME,9999,1,9999,Striped_Bass,03-01-1996,04-30-1996,0,1,9999,9999,9999,9999,0,36,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,3,ME,9999,1,9999,Striped_Bass,05-01-1996,06-30-1996,0,1,9999,9999,9999,9999,0,36,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,4,ME,9999,1,9999,Striped_Bass,07-01-1996,08-31-1996,0,1,9999,9999,9999,9999,0,36,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,5,ME,9999,1,9999,Striped_Bass,09-01-1996,10-31-1996,0,1,9999,9999,9999,9999,0,36,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,6,ME,9999,1,9999,Striped_Bass,11-01-1996,12-31-1996,0,1,9999,9999,9999,9999,0,36,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,1,ME,MEK,1,9999,Striped_Bass,01-01-1996,02-29-1996,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,2,ME,MEK,1,9999,Striped_Bass,03-01-1996,04-30-1996,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,3,ME,MEK,1,9999,Striped_Bass,05-01-1996,06-30-1996,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,21,0,,0,,,,,,,,
,1996,4,ME,MEK,1,9999,Striped_Bass,07-01-1996,08-31-1996,0,1,9999,9999,9999,9999,0,36,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,5,ME,MEK,1,9999,Striped_Bass,09-01-1996,10-31-1996,0,1,9999,9999,9999,9999,0,36,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,6,ME,MEK,1,9999,Striped_Bass,11-01-1996,11-30-1996,0,1,9999,9999,9999,9999,0,36,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1996,6,ME,MEK,1,9999,Striped_Bass,12-01-1996,12-31-1996,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1997,1,ME,9999,1,9999,Striped_Bass,01-01-1997,02-28-1997,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1997,2,ME,9999,1,9999,Striped_Bass,03-01-1997,04-30-1997,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1997,3,ME,MESG,1,9999,Striped_Bass,05-01-1997,06-30-1997,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,21,0,,0,,,,,,,,
,1997,3,ME,9999,1,9999,Striped_Bass,05-01-1997,06-09-1997,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1997,3,ME,9999,1,9999,Striped_Bass,06-10-1997,06-30-1997,0,1,9999,9999,9999,9999,0,20,40,26,9999,1,9999,9999,0,26,0,,0,,,,,,,,
,1997,4,ME,9999,1,9999,Striped_Bass,07-01-1997,08-31-1997,0,1,9999,9999,9999,9999,0,20,40,26,9999,1,9999,9999,0,26,0,,0,,,,,,,,
,1997,5,ME,9999,1,9999,Striped_Bass,09-01-1997,10-15-1997,0,1,9999,9999,9999,9999,0,20,40,26,9999,1,9999,9999,0,26,0,,0,,,,,,,,
,1997,5,ME,9999,1,9999,Striped_Bass,10-16-1997,10-31-1997,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1997,6,ME,9999,1,9999,Striped_Bass,11-01-1997,12-31-1997,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,26,0,,0,,,,,,,,
,1998,1,ME,9999,1,9999,Striped_Bass,01-01-1998,02-28-1998,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1998,2,ME,9999,1,9999,Striped_Bass,03-01-1998,04-30-1998,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1998,3,ME,MESG,1,9999,Striped_Bass,05-01-1998,06-30-1998,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1998,3,ME,9999,1,9999,Striped_Bass,05-01-1998,06-09-1998,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1998,3,ME,9999,1,9999,Striped_Bass,06-10-1998,06-30-1998,0,1,9999,9999,9999,9999,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
,1998,4,ME,9999,1,9999,Striped_Bass,07-01-1998,08-31-1998,0,1,9999,9999,9999,9999,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
,1998,5,ME,9999,1,9999,Striped_Bass,09-01-1998,10-15-1998,0,1,9999,9999,9999,9999,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
,1998,5,ME,9999,1,9999,Striped_Bass,10-16-1998,10-31-1998,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1998,6,ME,9999,1,9999,Striped_Bass,11-01-1998,12-31-1998,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1999,1,ME,9999,1,9999,Striped_Bass,01-01-1999,02-28-1999,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1999,2,ME,9999,1,9999,Striped_Bass,03-01-1999,04-30-1999,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1999,3,ME,MESG,1,9999,Striped_Bass,05-01-1999,06-30-1999,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1999,3,ME,9999,1,9999,Striped_Bass,05-01-1999,06-09-1999,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1999,3,ME,9999,1,9999,Striped_Bass,06-10-1999,06-30-1999,0,1,9999,9999,9999,9999,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
,1999,4,ME,9999,1,9999,Striped_Bass,07-01-1999,08-31-1999,0,1,9999,9999,9999,9999,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
,1999,5,ME,9999,1,9999,Striped_Bass,09-01-1999,10-15-1999,0,1,9999,9999,9999,9999,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
,1999,5,ME,9999,1,9999,Striped_Bass,10-16-1999,10-31-1999,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,1999,6,ME,9999,1,9999,Striped_Bass,11-01-1999,12-31-1999,0,0,0,0,9999,9999,0,9999,9999,9999,9999,0,0,0,0,0,0,,0,,,,,,,,
,2000,1,ME,9999,1,9999,Striped_Bass,01-01-2000,02-29-2000,0,1,9999,9999,9999,1,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
,2000,2,ME,9999,1,9999,Striped_Bass,03-01-2000,04-30-2000,0,1,9999,9999,9999,1,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
,2000,3,ME,9999,1,9999,Striped_Bass,05-01-2000,06-30-2000,0,1,9999,9999,9999,1,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
,2000,4,ME,9999,1,9999,Striped_Bass,07-01-2000,08-31-2000,0,1,9999,9999,9999,1,0,20,40,26,9999,1,9999,9999,0,0,0,,0,,,,,,,,
