year,SSB,F,SSB_Target,SSB_Threshold,F_Target,F_Threshold
1984 ,6351,0.18,2865,2148,0.28,0.49
1985 ,6201,0.17,2865,2148,0.28,0.49
1986 ,5928,0.19,2865,2148,0.28,0.49
1987 ,5433,0.24,2865,2148,0.28,0.49
1988 ,4934,0.27,2865,2148,0.28,0.49
1989 ,4425,0.32,2865,2148,0.28,0.49
1990 ,4050,0.25,2865,2148,0.28,0.49
1991 ,3894,0.22,2865,2148,0.28,0.49
1992 ,3576,0.32,2865,2148,0.28,0.49
1993 ,2871,0.57,2865,2148,0.28,0.49
1994 ,2204,0.51,2865,2148,0.28,0.49
1995 ,1878,0.46,2865,2148,0.28,0.49
1996 ,1695,0.5,2865,2148,0.28,0.49
1997 ,1653,0.28,2865,2148,0.28,0.49
1998 ,1718,0.27,2865,2148,0.28,0.49
1999 ,1798,0.21,2865,2148,0.28,0.49
2000 ,2032,0.07,2865,2148,0.28,0.49
2001 ,2416,0.07,2865,2148,0.28,0.49
2002 ,2666,0.24,2865,2148,0.28,0.49
2003 ,2805,0.17,2865,2148,0.28,0.49
2004 ,2925,0.16,2865,2148,0.28,0.49
2005 ,3065,0.11,2865,2148,0.28,0.49
2006 ,3155,0.2,2865,2148,0.28,0.49
2007 ,2834,0.42,2865,2148,0.28,0.49
2008 ,2181,0.61,2865,2148,0.28,0.49
2009 ,1624,0.58,2865,2148,0.28,0.49
2010 ,1331,0.52,2865,2148,0.28,0.49
2011 ,1261,0.31,2865,2148,0.28,0.49
2012 ,1314,0.49,2865,2148,0.28,0.49
2013 ,1388,0.34,2865,2148,0.28,0.49
2014 ,1439,0.59,2865,2148,0.28,0.49
2015 ,1551,0.58,2865,2148,0.28,0.49
