year,SSB,F,SSB_Target,SSB_Threshold,F_Target,F_Threshold
1982 ,8528,0.19,3631,2723,2684,2004
1983 ,8592,0.13,3631,2723,2684,2004
1984 ,8813,0.12,3631,2723,2684,2004
1985 ,8994,0.07,3631,2723,2684,2004
1986 ,8285,0.35,3631,2723,2684,2004
1987 ,6978,0.22,3631,2723,2684,2004
1988 ,6249,0.21,3631,2723,2684,2004
1989 ,5775,0.17,3631,2723,2684,2004
1990 ,5646,0.16,3631,2723,2684,2004
1991 ,5560,0.21,3631,2723,2684,2004
1992 ,5197,0.32,3631,2723,2684,2004
1993 ,4849,0.2,3631,2723,2684,2004
1994 ,4693,0.18,3631,2723,2684,2004
1995 ,4072,0.48,3631,2723,2684,2004
1996 ,3105,0.51,3631,2723,2684,2004
1997 ,2549,0.31,3631,2723,2684,2004
1998 ,2235,0.4,3631,2723,2684,2004
1999 ,1978,0.33,3631,2723,2684,2004
2000 ,1885,0.27,3631,2723,2684,2004
2001 ,1889,0.27,3631,2723,2684,2004
2002 ,1926,0.27,3631,2723,2684,2004
2003 ,1951,0.3,3631,2723,2684,2004
2004 ,2021,0.17,3631,2723,2684,2004
2005 ,2123,0.23,3631,2723,2684,2004
2006 ,2187,0.27,3631,2723,2684,2004
2007 ,2195,0.34,3631,2723,2684,2004
2008 ,2215,0.26,3631,2723,2684,2004
2009 ,2290,0.21,3631,2723,2684,2004
2010 ,2345,0.36,3631,2723,2684,2004
2011 ,2413,0.14,3631,2723,2684,2004
2012 ,2502,0.2,3631,2723,2684,2004
2013 ,2461,0.24,3631,2723,2684,2004
2014 ,2321,0.24,3631,2723,2684,2004
2015 ,2196,0.22,3631,2723,2684,2004
