year,SSB,SSBCV,F,FCV,Recruits,RecruitsCV
1981,23358,0.143,0.645,0.162,74799,0.129
1982,24583,0.126,0.525,0.149,67477,0.13
1983,22198,0.117,0.583,0.141,71250,0.118
1984,19747,0.11,0.745,0.134,46846,0.124
1985,13928,0.1,1.014,0.128,40945,0.121
1986,11083,0.114,0.755,0.141,48637,0.11
1987,9264,0.11,0.878,0.136,40477,0.117
1988,7800,0.107,1.069,0.134,39491,0.11
1989,6728,0.112,0.988,0.139,38869,0.099
1990,6636,0.105,0.846,0.139,22874,0.115
1991,6869,0.095,0.963,0.134,17337,0.115
1992,6015,0.105,0.815,0.141,19651,0.104
1993,4819,0.117,0.868,0.151,29436,0.086
1994,4911,0.115,0.561,0.155,22135,0.102
1995,7057,0.101,0.465,0.153,29948,0.091
1996,8019,0.095,0.536,0.143,24149,0.1
1997,9155,0.097,0.479,0.146,34093,0.084
1998,9557,0.094,0.455,0.14,25694,0.091
1999,9846,0.088,0.458,0.139,17375,0.101
2000,10382,0.086,0.527,0.129,14189,0.102
2001,9290,0.095,0.617,0.13,16727,0.089
2002,6975,0.106,0.54,0.143,8106,0.115
2003,6392,0.11,0.504,0.156,7980,0.116
2004,5508,0.127,0.42,0.173,16339,0.09
2005,4959,0.141,0.339,0.184,13866,0.098
2006,5479,0.135,0.441,0.195,7510,0.12
2007,6054,0.151,0.359,0.214,6406,0.128
2008,5353,0.165,0.262,0.218,9448,0.114
2009,4965,0.17,0.118,0.211,7047,0.119
2010,5692,0.156,0.075,0.215,6583,0.116
2011,6712,0.146,0.092,0.203,4682,0.123
2012,6734,0.138,0.114,0.199,4370,0.12
2013,6483,0.138,0.183,0.207,2416,0.14
2014,5379,0.145,0.17,0.212,4471,0.118
2015,4780,0.153,0.169,0.212,5361,0.117
2016,4106,0.158,0.173,0.22,5558,0.12
2017,3928,0.155,0.146,0.214,3405,0.143
2018,4173,0.149,0.102,0.202,6395,0.139
2019,3959,0.133,0.071,0.179,3380,0.205
