year,wave,start.date,end.date,ndays,wavelength
1990,1,01/01/1990,02/28/1990,58,59
1990,2,03/01/1990,04/30/1990,60,61
1990,3,05/01/1990,06/30/1990,60,61
1990,4,07/01/1990,08/31/1990,61,62
1990,5,09/01/1990,10/31/1990,60,61
1990,6,11/01/1990,12/31/1990,60,61
1991,1,01/01/1991,02/28/1991,58,59
1991,2,03/01/1991,04/30/1991,60,61
1991,3,05/01/1991,06/30/1991,60,61
1991,4,07/01/1991,08/31/1991,61,62
1991,5,09/01/1991,10/31/1991,60,61
1991,6,11/01/1991,12/31/1991,60,61
1992,1,01/01/1992,02/29/1992,59,60
1992,2,03/01/1992,04/30/1992,60,61
1992,3,05/01/1992,06/30/1992,60,61
1992,4,07/01/1992,08/31/1992,61,62
1992,5,09/01/1992,10/31/1992,60,61
1992,6,11/01/1992,12/31/1992,60,61
1993,1,01/01/1993,02/28/1993,58,59
1993,2,03/01/1993,04/30/1993,60,61
1993,3,05/01/1993,06/30/1993,60,61
1993,4,07/01/1993,08/31/1993,61,62
1993,5,09/01/1993,10/31/1993,60,61
1993,6,11/01/1993,12/31/1993,60,61
1994,1,01/01/1994,02/28/1994,58,59
1994,2,03/01/1994,04/30/1994,60,61
1994,3,05/01/1994,06/30/1994,60,61
1994,4,07/01/1994,08/31/1994,61,62
1994,5,09/01/1994,10/31/1994,60,61
1994,6,11/01/1994,12/31/1994,60,61
1995,1,01/01/1995,02/28/1995,58,59
1995,2,03/01/1995,04/30/1995,60,61
1995,3,05/01/1995,06/30/1995,60,61
1995,4,07/01/1995,08/31/1995,61,62
1995,5,09/01/1995,10/31/1995,60,61
1995,6,11/01/1995,12/31/1995,60,61
1996,1,01/01/1996,02/29/1996,59,60
1996,2,03/01/1996,04/30/1996,60,61
1996,3,05/01/1996,06/30/1996,60,61
1996,4,07/01/1996,08/31/1996,61,62
1996,5,09/01/1996,10/31/1996,60,61
1996,6,11/01/1996,12/31/1996,60,61
1997,1,01/01/1997,02/28/1997,58,59
1997,2,03/01/1997,04/30/1997,60,61
1997,3,05/01/1997,06/30/1997,60,61
1997,4,07/01/1997,08/31/1997,61,62
1997,5,09/01/1997,10/31/1997,60,61
1997,6,11/01/1997,12/31/1997,60,61
1998,1,01/01/1998,02/28/1998,58,59
1998,2,03/01/1998,04/30/1998,60,61
1998,3,05/01/1998,06/30/1998,60,61
1998,4,07/01/1998,08/31/1998,61,62
1998,5,09/01/1998,10/31/1998,60,61
1998,6,11/01/1998,12/31/1998,60,61
1999,1,01/01/1999,02/28/1999,58,59
1999,2,03/01/1999,04/30/1999,60,61
1999,3,05/01/1999,06/30/1999,60,61
1999,4,07/01/1999,08/31/1999,61,62
1999,5,09/01/1999,10/31/1999,60,61
1999,6,11/01/1999,12/31/1999,60,61
2000,1,01/01/2000,02/29/2000,59,60
2000,2,03/01/2000,04/30/2000,60,61
2000,3,05/01/2000,06/30/2000,60,61
2000,4,07/01/2000,08/31/2000,61,62
2000,5,09/01/2000,10/31/2000,60,61
2000,6,11/01/2000,12/31/2000,60,61
2001,1,01/01/2001,02/28/2001,58,59
2001,2,03/01/2001,04/30/2001,60,61
2001,3,05/01/2001,06/30/2001,60,61
2001,4,07/01/2001,08/31/2001,61,62
2001,5,09/01/2001,10/31/2001,60,61
2001,6,11/01/2001,12/31/2001,60,61
2002,1,01/01/2002,02/28/2002,58,59
2002,2,03/01/2002,04/30/2002,60,61
2002,3,05/01/2002,06/30/2002,60,61
2002,4,07/01/2002,08/31/2002,61,62
2002,5,09/01/2002,10/31/2002,60,61
2002,6,11/01/2002,12/31/2002,60,61
2003,1,01/01/2003,02/28/2003,58,59
2003,2,03/01/2003,04/30/2003,60,61
2003,3,05/01/2003,06/30/2003,60,61
2003,4,07/01/2003,08/31/2003,61,62
2003,5,09/01/2003,10/31/2003,60,61
2003,6,11/01/2003,12/31/2003,60,61
2004,1,01/01/2004,02/29/2004,59,60
2004,2,03/01/2004,04/30/2004,60,61
2004,3,05/01/2004,06/30/2004,60,61
2004,4,07/01/2004,08/31/2004,61,62
2004,5,09/01/2004,10/31/2004,60,61
2004,6,11/01/2004,12/31/2004,60,61
2005,1,01/01/2005,02/28/2005,58,59
2005,2,03/01/2005,04/30/2005,60,61
2005,3,05/01/2005,06/30/2005,60,61
2005,4,07/01/2005,08/31/2005,61,62
2005,5,09/01/2005,10/31/2005,60,61
2005,6,11/01/2005,12/31/2005,60,61
2006,1,01/01/2006,02/28/2006,58,59
2006,2,03/01/2006,04/30/2006,60,61
2006,3,05/01/2006,06/30/2006,60,61
2006,4,07/01/2006,08/31/2006,61,62
2006,5,09/01/2006,10/31/2006,60,61
2006,6,11/01/2006,12/31/2006,60,61
2007,1,01/01/2007,02/28/2007,58,59
2007,2,03/01/2007,04/30/2007,60,61
2007,3,05/01/2007,06/30/2007,60,61
2007,4,07/01/2007,08/31/2007,61,62
2007,5,09/01/2007,10/31/2007,60,61
2007,6,11/01/2007,12/31/2007,60,61
2008,1,01/01/2008,02/29/2008,59,60
2008,2,03/01/2008,04/30/2008,60,61
2008,3,05/01/2008,06/30/2008,60,61
2008,4,07/01/2008,08/31/2008,61,62
2008,5,09/01/2008,10/31/2008,60,61
2008,6,11/01/2008,12/31/2008,60,61
2009,1,01/01/2009,02/28/2009,58,59
2009,2,03/01/2009,04/30/2009,60,61
2009,3,05/01/2009,06/30/2009,60,61
2009,4,07/01/2009,08/31/2009,61,62
2009,5,09/01/2009,10/31/2009,60,61
2009,6,11/01/2009,12/31/2009,60,61
2010,1,01/01/2010,02/28/2010,58,59
2010,2,03/01/2010,04/30/2010,60,61
2010,3,05/01/2010,06/30/2010,60,61
2010,4,07/01/2010,08/31/2010,61,62
2010,5,09/01/2010,10/31/2010,60,61
2010,6,11/01/2010,12/31/2010,60,61
2011,1,01/01/2011,02/28/2011,58,59
2011,2,03/01/2011,04/30/2011,60,61
2011,3,05/01/2011,06/30/2011,60,61
2011,4,07/01/2011,08/31/2011,61,62
2011,5,09/01/2011,10/31/2011,60,61
2011,6,11/01/2011,12/31/2011,60,61
