State,household_size_mean
Alabama,2.49
Alaska,2.74
Arizona,2.64
Arkansas,2.49
California,2.87
Colorado,2.53
Connecticut,2.53
Delaware,2.54
District of Columbia,2.16
Florida,2.46
Georgia,2.65
Hawaii,2.92
Idaho,2.69
Illinois,2.63
Indiana,2.53
Iowa,2.46
Kansas,2.51
Kentucky,2.47
Louisiana,2.62
Maine,2.39
Maryland,2.61
Massachusetts,2.51
Michigan,2.56
Minnesota,2.52
Mississippi,2.63
Missouri,2.48
Montana,2.45
Nebraska,2.49
Nevada,2.62
New Hampshire,2.53
New Jersey,2.68
New Mexico,2.63
New York,2.61
North Carolina,2.49
North Dakota,2.41
Ohio,2.49
Oklahoma,2.49
Oregon,2.51
Pennsylvania,2.48
Rhode Island,2.47
South Carolina,2.53
South Dakota,2.5
Tennessee,2.48
Texas,2.74
Utah,3.13
Vermont,2.44
Virginia,2.54
Washington,2.53
West Virginia,2.4
Wisconsin,2.5
Wyoming,2.48
