Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,30,30.3,30.5,30.8,31.1,31.4,31.7,32,32.3,32.6,32.8,33.1,33.4,33.7,34.1,34.3,34.7,34.9,35.2,35.5,35.3,35.6,35.8,35.9,36.1,36.3,36.5,36.7,36.9,37.1,37.2,37.3,37.5,37.6,37.7,37.8,37.9,38,
Alabama,29.2,29.6,29.9,30.3,30.6,31,31.3,31.7,32.1,32.6,32.9,33.5,33.8,34.1,34.4,34.6,35,35.2,35.6,36,35.8,36.2,36.5,36.7,36.9,37,37.1,37.3,37.5,37.7,37.9,38.1,38.3,38.4,38.6,38.7,38.9,39,39.2
Alaska,26,26.7,27.4,27.8,28.2,28.4,28.6,28.6,29,29.2,29.3,29.6,30.2,30.5,30.9,31.4,31.7,31.7,31.4,30.9,32.4,32.7,32.9,33.1,33.3,33.5,33.6,33.8,33.8,34.1,33.8,33.7,33.7,33.6,33.7,33.9,34,34.3,
California,29.9,30.1,30.2,30.3,30.5,30.7,30.8,31,31.1,31.3,31.3,31.4,31.7,32,32.2,32.4,32.7,33,33.3,33.6,33.3,33.5,33.7,33.9,34.1,34.4,34.6,34.7,34.9,35,35.2,35.4,35.6,35.8,36,36.1,36.4,36.6,
Connecticut,32,32.4,32.7,32.9,33.1,33.3,33.5,33.7,33.9,34.1,34.3,34.7,35,35.3,35.6,35.9,36.3,36.7,36.8,37,37.4,37.8,38,38.3,38.6,38.8,39.1,39.3,39.5,39.8,40,40.3,40.5,40.6,40.7,40.8,40.9,40.9,41
Delaware,29.7,30.1,30.3,30.5,30.8,31.1,31.4,31.8,32.1,32.5,32.7,33.1,33.5,33.9,34.2,34.6,35,35.3,35.6,35.9,36,36.4,36.7,37,37.3,37.5,37.8,38,38.3,38.6,38.8,39.1,39.3,39.5,39.7,39.9,40.2,40.5,40.8
Florida,34.7,34.7,34.9,35.1,35.3,35.5,35.6,35.7,35.9,36,36.2,36.3,36.5,36.8,37.1,37.4,37.7,38,38.4,38.7,38.7,39,39.2,39.4,39.6,39.8,39.8,40,40.3,40.5,40.7,41.1,41.3,41.5,41.7,41.8,42,42.1,42.2
Georgia,28.6,29,29.3,29.6,30,30.2,30.5,30.8,31,31.2,31.4,31.8,32.1,32.4,32.7,33,33.3,33.5,33.7,34,33.4,33.5,33.7,34,34.1,34.4,34.6,34.8,35,35.1,35.3,35.6,35.8,36,36.2,36.3,36.5,36.7,36.9
Hawaii,28.3,28.8,29.3,29.6,30,30.3,30.8,31.2,31.7,32.1,32.5,33.1,33.5,33.8,34.2,34.7,35.2,35.7,36.3,36.9,36.2,36.6,36.9,37.2,37.4,37.5,37.6,38,38.2,38.4,38.6,38.6,38.5,38.5,38.6,38.6,38.8,39,
Louisiana,27.3,27.6,27.9,28.2,28.5,28.8,29.3,29.6,30,30.5,30.9,31.5,31.8,32.1,32.4,32.8,33.1,33.5,33.8,34.1,34,34.4,34.6,34.8,34.9,35.1,35.9,35.9,35.9,35.9,35.8,35.9,36,36.1,36.2,36.3,36.6,36.9,37.2
Maine,30.4,30.8,31.2,31.5,31.9,32.3,32.6,33,33.3,33.6,33.8,34.4,34.8,35.3,35.7,36.1,36.6,37,37.4,37.8,38.6,39.2,39.5,39.9,40.3,40.7,41.2,41.6,42,42.4,42.7,43.2,43.5,43.8,44.1,44.4,44.6,44.8,44.9
Maryland,30.3,30.7,31,31.3,31.6,31.8,32.1,32.3,32.5,32.7,32.9,33.2,33.6,33.9,34.2,34.6,35,35.3,35.5,35.7,36,36.3,36.6,36.8,36.9,37.1,37.2,37.4,37.7,37.9,38,38.1,38.2,38.3,38.3,38.4,38.5,38.7,38.8
Massachusetts,31.1,31.4,31.6,31.8,32.1,32.3,32.5,32.7,33,33.2,33.4,33.8,34.2,34.5,34.8,35.1,35.5,35.9,36.2,36.5,36.5,36.8,37.1,37.4,37.7,38,38.2,38.4,38.7,38.9,39.1,39.2,39.3,39.3,39.4,30.4,39.4,39.4,39.4
Mississippi,27.6,27.9,28.1,28.3,28.6,28.9,29.3,29.8,30.3,30.7,31.1,31.7,31.9,32.1,32.3,32.6,32.9,33.2,33.4,33.7,33.8,34.1,34.4,34.6,34.8,35.1,35.4,35.5,35.7,35.9,36,36.2,36.3,36.5,36.7,36.9,37.1,37.4,37.7
New Hampshire,30.1,30.6,30.9,31.3,31.6,31.9,32.1,32.3,32.4,32.6,32.7,33.3,33.7,34.1,34.4,34.8,35.2,35.5,35.7,35.9,37.1,37.5,37.9,38.2,38.7,39,39.4,39.9,40.3,40.8,41.1,41.6,42,42.4,42.7,42.9,43,42.9,43
New Jersey,32.2,32.5,32.8,33.1,33.3,33.5,33.7,33.8,34,34.2,34.3,34.7,34.9,35.2,35.4,35.7,36,36.4,36.7,37,36.7,37,37.3,37.5,37.7,37.9,38.1,38.3,38.5,38.8,39,39.1,39.3,39.4,39.5,39.7,39.7,39.9,40
New York,31.8,32.1,32.3,32.4,32.6,32.8,33,33.2,33.3,33.5,33.7,34,34.2,34.4,34.7,34.9,35.3,35.6,36,36.4,35.9,36.2,36.5,36.7,36.9,37.1,37.3,37.6,37.7,37.9,38,38,38.1,38.2,38.3,38.4,38.6,38.8,39
North Carolina,29.6,29.9,30.3,30.6,30.9,31.3,31.6,32,32.4,32.7,33,33.4,33.6,33.9,34.2,34.5,34.8,35,35.2,35.5,35.3,35.6,35.8,36.1,36.2,36.4,36.6,36.9,37,37.2,37.4,37.6,37.9,38.1,38.3,38.4,38.6,38.7,38.9
Oregon,30.2,30.6,31.1,31.5,32,32.5,33,33.5,33.9,34.3,34.5,34.8,35.1,35.5,35.8,36,36.3,36.5,36.7,36.9,36.3,36.6,36.8,37,37.3,37.5,37.7,37.8,38,38.2,38.4,38.6,38.8,38.9,39.1,39.2,39.2,39.3,
Rhode Island,31.7,31.9,32.1,32.3,32.6,32.8,33,33.2,33.4,33.7,33.8,34.2,34.5,34.8,35.1,35.4,35.8,36.1,36.4,36.6,36.7,37,37.2,37.5,37.7,37.9,38.3,38.6,38.8,39.2,39.4,39.6,39.8,39.9,39.9,39.9,39.9,40,40
South Carolina,28,28.5,28.8,29.2,29.5,30,30.3,30.7,31.1,31.5,31.9,32.4,32.8,33.2,33.6,34.1,34.4,34.8,35.2,35.5,35.4,35.8,36,36.3,36.5,36.7,37,37.2,37.5,37.7,37.9,38.2,38.4,38.6,38.8,39,39.2,39.4,39.6
Texas,28,28.3,28.6,28.9,29.1,29.4,29.6,29.9,30.1,30.5,30.6,31,31.3,31.6,31.9,32.2,32.4,32.7,32.9,33,32.3,32.5,32.6,32.8,33,33.1,33.2,33.3,33.4,33.5,33.6,33.8,33.9,34,34.2,34.3,34.5,34.6,34.8
Virginia,29.8,30.1,30.4,30.7,31,31.3,31.5,31.7,32,32.3,32.5,32.9,33.2,33.6,33.9,34.2,34.6,34.9,35.1,35.4,35.7,36,36.2,36.4,36.5,36.6,36.8,37,37.2,37.4,37.5,37.5,37.6,37.7,37.8,38,38.1,38.2,38.4
