state,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
Alabama,56200,50841,53308,50308,48030,45701,45489,48487,48518,48100,47755,52941,52176,48241,48752,49697,51912,53586,50895,52737,55799,57011,50889,49324,43434,46542,43821,46226,44692
Alaska,78394,69979,75332,80673,81054,73105,67206,71003,65424,67977,73585,76168,77862,71713,73346,74707,72230,75206,83034,78675,79111,79689,76469,85911,80136,77639,75005,74874,74551
Arizona,70674,63411,63749,60832,56381,53242,55625,52480,55388,55107,54634,55843,58360,59306,59375,59488,57361,56623,61815,59226,56944,58306,52165,51497,51575,53554,53304,52585,56424
Arkansas,54539,50683,50926,48908,46184,48559,43882,43527,47051,45343,43644,47120,50425,47103,48106,47465,44592,46153,48259,44211,45688,43490,41684,44150,43138,43751,40251,42776,43019
California,78105,71766,72754,70993,68670,65384,63239,63609,60795,63788,67051,67865,68890,70316,67918,66782,68695,67600,68413,69696,67156,64349,63245,63176,61846,60464,59529,62517,61797
Colorado,72499,74357,77357,75179,71864,65874,69662,63871,66789,70779,66807,72542,75573,70796,66204,69040,69587,68822,71503,71816,74156,73255,68884,66657,68024,64746,60254,58184,57822
Connecticut,87291,74131,75905,80886,78655,75842,74510,71671,74520,77554,77463,76993,79281,79322,74585,74757,76589,76080,77221,74693,77875,73112,70082,68559,67250,70332,69038,73152,77382
Delaware,74194,66190,64994,61840,62325,62179,57403,54631,62268,64882,62249,60352,67475,66654,67236,65191,68304,70754,71800,74980,71772,65173,68565,63985,58368,61392,63007,63905,59816
District of Columbia,93111,87304,86962,75622,75614,73805,66698,72786,62941,66896,63476,66170,62770,61619,59044,58952,62765,55677,59593,61368,59523,52558,50763,52033,51383,51539,47703,54177,54860
Florida,58368,55634,55986,54521,52687,49876,52640,51395,51383,51782,54505,53394,56604,58059,56416,54996,54304,54186,52720,57846,55153,54878,51711,49876,49707,50133,49880,48986,50026
Georgia,56628,56832,59464,57026,54784,53567,52148,53682,52372,51842,51769,55025,60123,62721,60269,55605,59134,61191,61630,62379,60685,60782,58416,52896,56983,53851,55318,51580,49953
Hawaii,88006,81559,76734,76848,69617,76990,67504,62765,67265,69964,66472,73230,79134,76863,78195,76307,72226,67409,68669,76738,68503,64181,65221,67995,71609,72314,74535,75431,68372
Idaho,65988,59792,62793,60261,55708,57765,56906,53460,54064,55288,55875,56445,60794,58741,57972,60183,59042,53746,55355,55993,55105,57662,53223,56498,54605,53970,54178,49622,47941
Illinois,74399,71416,67383,65398,65192,59362,62874,57717,57685,59610,63152,63390,64900,61866,63513,62515,62917,60864,66833,68577,71313,67877,65777,64384,63621,60036,57404,56513,58529
Indiana,66693,60977,61401,59761,56095,51951,55571,51492,50631,54218,52921,55374,58654,57717,55690,57430,59116,58494,58449,60837,62860,62458,61962,57211,55790,47675,51496,51102,49727
Iowa,66054,69963,66207,62957,65669,62491,60300,59618,57209,57598,60585,59685,60453,61173,61022,58871,57665,58497,59314,61025,63260,58195,53827,54056,59356,56610,50077,51483,52414
Kansas,73151,65096,60357,60523,59205,57771,56596,55781,52570,54118,53414,56989,59945,57901,55152,55717,61633,60734,59949,61126,57488,57711,58110,53040,50703,48469,52011,54354,53777
Kentucky,55662,55543,53553,48335,45740,46250,46343,45834,45403,48301,50961,48980,48765,50189,48160,48314,51467,52388,55638,53989,51931,56989,53300,52760,49816,45514,42587,42065,43623
Louisiana,51707,50878,45788,44954,49555,45839,43555,43601,46317,46181,54269,47093,51065,46380,48865,49425,46689,48463,48234,45731,50263,49888,52994,49259,46706,43941,45970,45565,46441
Maine,66546,59726,53882,54180,54771,55897,55097,54838,56609,56323,56740,56217,59199,58016,57640,56073,51714,52518,52997,55479,59818,56027,52216,56477,56580,51882,47937,53049,51157
Maryland,95572,87785,84565,78581,79416,82332,71741,80137,78462,75442,76669,75837,81122,80928,79410,77475,72895,80383,77486,81188,80356,78626,74384,71610,68584,67082,69777,66636,67832
Massachusetts,87707,87909,76371,76990,73229,68264,69213,71012,72125,71603,70920,71800,72263,70330,73511,70577,71001,71046,75637,69603,67735,66567,66956,64287,64461,69310,64755,65124,65560
Michigan,64119,61544,60177,60823,58491,56216,53645,55795,55682,54379,54939,59264,61024,61835,60278,57331,62734,60871,65206,67755,70942,65744,61728,63849,60872,60384,57064,57795,58957
Minnesota,81426,73118,75008,74808,74167,72688,66953,68936,65868,61482,66998,65379,71762,71450,71147,76119,73604,77839,76257,80765,72403,75341,67818,66723,63390,57577,58846,55492,54114
Mississippi,44787,43556,45306,43785,43204,38397,44905,40875,46809,44842,41900,43383,46079,44149,43142,47154,45604,44009,43659,51062,49992,45777,45408,43424,44348,43469,38770,36844,35750
Missouri,60597,62844,59327,58612,63879,61215,55305,55515,52145,53839,58254,54800,56864,56664,56411,57170,60979,60958,59839,67137,63699,63197,58240,55775,58196,51666,50110,49008,51263
Montana,60195,58724,61624,60806,55461,55239,48513,50298,45883,48508,48301,51065,53960,52249,48966,46070,47527,49642,46503,48796,47775,49640,46544,46691,46385,47287,46246,47510,45575
Nebraska,73071,68799,62179,63255,65258,61474,59112,58228,63357,61697,59240,60383,60781,61197,62890,59407,61274,60987,63128,62155,59455,57242,55275,55366,55028,54411,54174,53821,54243
Nevada,70906,62985,58978,59054,56122,53913,49873,52803,53591,60165,61437,65163,66818,66456,63265,64044,62960,64068,65722,68121,63819,62497,61907,62734,60300,61388,62571,57152,60462
New Hampshire,86900,82820,78013,81245,81661,79340,78402,75656,75049,78300,76603,78771,83527,78770,74780,77084,77428,78836,74303,75815,70890,70675,65323,64145,65459,60317,66327,70636,66144
New Jersey,87726,75520,76131,72943,73764,70525,67915,74399,71014,73993,77375,77735,74791,86510,83158,74995,78094,77762,74940,75039,76553,78328,76513,77266,73402,72356,70758,69855,73518
New Mexico,53113,49158,49910,51618,48688,50466,46309,48442,47825,53037,52010,50115,54826,50880,51110,53676,48916,50528,47948,52244,50139,49586,47936,40834,43434,46044,46749,46319,48719
New York,71855,68493,65128,65453,62594,58707,59188,53190,57684,58497,59982,60065,60497,61295,61909,60578,59621,59804,60961,60657,61553,58784,57037,57639,55193,54591,55378,55617,58364
North Carolina,61159,54336,52505,57278,54815,50572,45299,46355,51498,51504,50056,51101,53784,50586,55190,54593,51945,52036,55240,57044,57343,56338,57104,57950,53440,51536,50351,49742,49294
North Dakota,70031,67710,62457,64118,61957,65647,58138,62210,64205,59937,59814,59077,58348,52175,55369,53212,56308,51587,51811,53588,50276,47639,50446,51225,48611,48394,49125,48288,47530
Ohio,64663,62750,62334,57514,57517,53663,51004,49503,50862,53920,54802,55867,60689,58344,58008,58415,60641,60827,60485,63959,60783,61191,57573,55458,58390,54515,54658,56249,54685
Oklahoma,59397,55420,57368,54273,50801,51020,48123,54001,55199,50650,54800,54887,53417,49367,49402,53747,50026,51955,51545,48283,50307,53020,49952,44661,43968,46191,45879,45287,46740
Oregon,74413,70418,67384,63000,65646,63642,61897,57758,58698,59462,58647,61572,62094,59857,57950,55619,58019,59570,59744,63270,62523,61414,59346,57772,60785,53833,57895,57186,55419
Pennsylvania,70582,65693,65885,64965,65166,59640,59308,57902,56857,56773,57540,61185,59870,61619,60760,59841,59823,60562,62966,62789,58119,61333,59776,56807,57693,54877,54151,53523,55744
Rhode Island,70151,63394,69241,65550,60107,63380,63551,62544,55858,60662,61676,63374,67006,68304,64938,65036,62301,60447,66185,62820,65755,63959,55443,60204,59089,54640,58544,54508,56605
South Carolina,62028,58485,57331,57888,50027,48567,48092,49532,45663,48999,49094,50178,54649,50357,52794,52494,53617,53884,54624,55932,56124,52297,54590,56426,48581,51077,45517,49396,50414
South Dakota,64255,60540,59337,61205,59421,57348,59859,55125,53796,53293,54738,61421,57375,57742,56627,55772,55070,53971,57425,54301,55148,51540,47312,48061,49428,50884,48459,47034,45230
Tennessee,56627,57076,57612,54700,51074,47255,46718,47963,48164,45348,48397,47258,50919,51725,51713,51654,52285,52770,51797,50760,56216,53592,48813,50119,48487,49012,43856,43557,44888
Texas,67444,60868,61841,61947,60940,58237,58291,57926,55874,55542,56708,55338,56924,55048,54358,56166,54721,57215,59146,57478,59550,56252,55885,53833,53541,52633,50189,50068,50909
Utah,84523,78463,74381,71892,71499,68515,69218,65083,63217,66629,69866,74439,66164,69438,71931,69020,68660,68205,68529,70789,70882,69639,68154,60289,60962,61123,62522,61349,51429
Vermont,74305,71335,66545,64814,64200,65623,60286,62005,59080,65721,62493,60357,58576,66073,66539,64214,60280,61276,59050,58945,64008,61894,55850,52671,56523,61270,54274,58669,53520
Virginia,81313,78549,74354,70795,66350,71511,74333,72101,71331,70937,72267,73782,73126,72604,68127,69386,76335,70727,72725,70213,70333,68154,68444,63826,60531,64428,63652,68418,66336
Washington,82454,81170,78656,74906,72562,63850,66073,69373,64763,65997,72137,67409,71790,69558,66463,67732,66198,64388,61505,63308,69994,74547,71001,59700,59438,57387,62293,60720,62358
West Virginia,53706,51489,47341,47253,46212,42754,44236,48586,47642,50267,48364,45225,52026,48834,47827,45279,45652,41838,42952,43785,45095,41979,43797,41096,41577,40327,39172,36308,42491
Wisconsin,67355,63764,66175,63727,59809,62782,60743,59213,59304,59167,61202,60945,63381,65706,58594,62047,64472,65414,65639,67124,70293,64967,63087,65112,68440,60562,55498,59660,57151
Wyoming,65134,63672,60320,61609,65745,60199,61229,64158,62096,61341,62674,63488,60250,59794,58684,61593,59297,56665,57494,58997,57334,55414,53253,50384,52688,56715,51438,54109,53327
