state,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
Alabama,2512,2467,881,2451,3689,1653,2545,2821,2302,2816,1080,1975,1755,1289,1594,1768,2202,1513,1456,1596,1830,2055,2560,2048,2116,2668,1901,1895,1961
Alaska,6685,3451,2836,4353,3761,3408,3629,3167,4226,2808,2092,2740,1957,1900,1747,2810,1367,1529,2912,1725,3426,3339,2004,3104,3356,2557,2870,2071,3345
Arizona,3391,2333,2755,2100,2167,2491,5311,3260,2761,2617,1482,1339,1922,1584,1668,1551,1981,1429,2086,1801,1744,1973,2067,2074,2273,1323,1957,1949,1647
Arkansas,2384,2146,2755,2307,1696,2752,2626,3137,2106,2895,1086,1421,1666,975,1718,1349,1081,1109,1656,1149,1579,1824,1839,1592,1669,1616,1480,2504,1437
California,1850,1255,1514,1145,1846,966,1344,1381,1570,1389,739,987,764,883,604,895,1141,1092,1052,1021,1082,907,1377,1332,1208,1059,1137,1127,1257
Colorado,5221,3627,3110,4395,3973,2609,3078,3021,2908,2915,1905,2259,1253,1937,1689,2157,1614,2086,1723,1842,2283,1707,3097,2163,2594,2475,2741,2635,2285
Connecticut,4630,5212,3660,3627,4801,2881,2800,3183,3433,2462,2757,3215,2533,2748,2143,2236,2175,1952,1795,2020,3534,4288,3169,5025,3792,2730,2900,3532,3569
Delaware,3009,3664,3442,3188,3660,3210,2733,2204,1988,2650,2127,1652,2669,2199,1412,1928,1920,2401,2125,2245,3511,2756,3285,2282,3088,2038,1483,2495,2039
District of Columbia,3884,2707,3462,2913,3087,4758,3388,4095,2403,3917,2494,2099,1356,2134,2844,2529,1976,1418,1481,1596,2461,2061,1568,2569,1975,1894,3015,2013,3493
Florida,1579,1921,1894,890,1505,1027,1729,1238,1296,1814,843,1021,705,800,1063,857,1058,1180,604,1106,965,1206,929,835,1023,1082,1235,942,872
Georgia,1782,2069,2539,1789,1512,2172,2153,1678,2829,2141,1500,1386,1332,1538,1100,838,1364,1578,1553,1237,2086,1853,1459,2712,1499,2119,2191,2200,1997
Hawaii,3565,3545,2323,2674,3065,2893,2426,2516,2883,3209,2416,1763,2627,1997,1591,2293,1856,1954,1818,1776,2820,3724,2229,3081,2159,4147,3073,2570,2992
Idaho,2152,2449,2503,1343,1360,2780,4019,3540,3973,2196,1510,2001,1596,1668,1646,1882,1368,1597,1398,1775,2175,1714,2133,2183,1865,2187,2311,1565,1889
Illinois,2625,2294,2085,1876,2157,1757,1917,1481,1565,1732,1124,1577,1174,1483,1294,1117,1494,1220,1272,1438,1582,1940,1246,1802,1462,1367,1415,1347,1311
Indiana,3112,2033,2113,3065,1815,2100,3540,1993,2630,3024,1296,1411,1551,1571,1444,1562,1336,1066,1372,1011,2646,2498,1885,2113,2413,1766,2378,2355,1693
Iowa,4009,2963,5749,2646,3534,3702,2162,2385,2249,1577,1834,1539,1794,1895,1757,2064,1232,1642,1640,1207,1739,1890,2043,2486,1574,2191,2166,1741,1858
Kansas,4329,2064,3022,3482,4026,3095,1647,2021,2221,2134,2136,1678,2231,1591,1293,2373,1848,1492,1614,1739,3199,2542,2572,2377,1539,1821,1999,2037,1715
Kentucky,2553,3734,1423,2136,2448,1708,2060,2120,2104,3317,1568,967,1497,1336,1178,1653,1194,1245,1461,1262,2284,2375,2643,2342,1920,1759,1906,2255,1920
Louisiana,1412,1786,1515,1275,2309,2013,3141,1797,2197,3817,2166,1769,1158,1811,1702,1686,1537,1793,1730,1233,1915,2610,2471,2100,1822,2569,2034,2045,2122
Maine,5002,5786,2238,3565,2082,2347,2147,2507,2259,1982,2077,1709,1728,2284,1881,1659,1317,1206,1378,1270,2030,1649,2073,1971,1818,2630,2102,1838,2300
Maryland,3284,3391,3809,2760,2905,4618,4821,2065,2421,2699,2000,2106,2053,2035,1938,2296,1704,2183,2391,2084,3413,3397,2352,4175,2719,2396,2240,2912,2601
Massachusetts,2828,2835,3471,3101,3011,2878,3799,4209,3675,2577,2089,1993,2758,2643,2302,2262,1328,1643,2197,2020,3114,3083,2204,3145,2465,1814,1658,1322,1450
Michigan,1680,1941,2437,2033,2164,1296,2450,1690,2101,2041,1198,1374,986,1228,1201,1164,1324,1589,1256,1630,1579,1442,1765,1861,1661,1172,1192,1363,1265
Minnesota,2988,3722,3119,4309,3305,3467,2026,1494,2711,1887,1478,1699,2334,1548,1633,1452,1711,1704,1641,2535,2350,3325,2406,1994,3088,2327,2117,2323,2104
Mississippi,2997,2346,2299,1306,1156,1399,2357,1725,2695,3326,1558,988,1175,2012,1695,1536,1551,1092,1717,2016,2167,1820,2208,2142,1718,1287,2147,1924,1933
Missouri,2932,2486,2723,1831,2813,3275,4065,2278,2457,2535,1905,1364,1365,1782,1298,1456,1219,1531,1743,1767,1833,2937,3282,2463,2294,2468,2561,2599,2598
Montana,2294,2928,2700,3068,3169,1922,3575,2861,2319,2170,1197,2100,2100,886,1524,962,1487,1727,1067,1490,1487,1781,1824,2549,1847,2132,1686,1304,1634
Nebraska,3259,4004,2970,2853,3169,2436,1995,3011,3068,2069,1979,1493,1705,1894,1899,1807,1820,1479,1615,1516,2103,2435,2435,2442,1930,1910,1455,1918,1849
Nevada,3465,2154,3169,2277,2452,1985,3111,2826,3040,2259,1310,3164,1599,1591,2205,1875,2165,1654,1636,1505,2715,1926,2511,2629,2196,2625,1883,1426,2871
New Hampshire,2721,3455,3172,3103,3797,3516,3585,2481,1882,1940,2217,3814,2282,1880,2659,1796,1817,1837,1041,1850,3005,2933,2556,2823,2600,3144,2830,3443,2458
New Jersey,4069,2897,3128,3054,3380,2911,3362,2186,3449,2871,2292,2734,1802,2516,2962,1741,1425,2287,1351,1475,2163,2257,2269,1981,2340,1821,1723,1506,1896
New Mexico,2196,2242,2054,3155,3113,3580,2935,2529,2454,3544,1785,1644,1822,1598,2231,2149,1591,1512,1792,1858,2688,2198,1843,1776,1838,2365,1490,2413,2194
New York,1699,1753,2183,1497,2379,1925,1805,1768,1146,1551,715,812,1135,1257,1085,1075,1215,827,869,865,1353,1221,1010,1214,1197,816,971,948,988
North Carolina,1649,1793,1836,1735,1449,1848,2262,1444,1777,2260,688,1007,1325,1036,1265,1102,1311,1020,1377,1200,1478,1607,1461,1641,1484,1147,1141,1103,936
North Dakota,3170,3151,1748,2440,3489,3392,3147,2368,3372,2716,2076,1414,1582,1786,1602,1697,1187,1174,1164,1585,2129,1853,2168,1927,2034,1908,1459,1614,1711
Ohio,3011,2295,1971,2018,2112,1506,1524,1922,1367,1754,748,1009,1341,805,1373,1326,1296,1107,957,1090,1522,2478,1424,1730,1651,999,1150,1051,1393
Oklahoma,2357,2824,3235,1760,2090,3000,4491,3147,2728,2436,1361,1108,1796,2030,1902,1522,1088,874,999,1056,2295,1937,1633,1773,1471,2076,2607,1925,1981
Oregon,5675,3721,2979,2793,2562,3241,2223,2599,1831,1769,1964,1636,1677,1774,1825,1426,1345,1218,1089,1393,1927,3029,2849,2074,1621,1930,2027,3652,1995
Pennsylvania,3226,1665,2871,2169,2403,2449,1765,1567,1930,1772,1119,701,1152,1105,978,1410,1084,1133,1047,1048,1756,1698,1536,1585,1141,1119,1212,1195,1127
Rhode Island,4980,3409,4390,3013,3504,4325,2347,2857,2601,2033,1727,2856,2285,2317,1911,2676,1740,1247,1660,1516,3048,4177,3561,1686,2294,2261,2703,2567,2003
South Carolina,1783,2120,2167,3359,2445,2426,3265,2406,1939,1716,1329,1334,1920,1712,1580,1385,1562,1744,1481,1395,2660,2059,2564,2287,2340,1949,1677,2569,2087
South Dakota,3776,2690,3789,3276,2810,3829,3331,1902,2446,2403,1540,1184,1112,2086,1797,1350,1399,1358,1239,1023,1453,1592,1824,1633,2690,2028,1817,1198,1432
Tennessee,2766,1468,2255,1478,1843,2514,3225,2685,2912,1477,1180,1441,1379,960,1563,1434,1646,1583,1145,1385,2016,2055,2164,1769,2119,1759,1452,1635,1680
