"state","variable","value"
"United States","1980",30
"Alabama","1980",29.2
"Alaska","1980",26
"California","1980",29.9
"Connecticut","1980",32
"Delaware","1980",29.7
"Florida","1980",34.7
"Georgia","1980",28.6
"Hawaii","1980",28.3
"Louisiana","1980",27.3
"Maine","1980",30.4
"Maryland","1980",30.3
"Massachusetts","1980",31.1
"Mississippi","1980",27.6
"New Hampshire","1980",30.1
"New Jersey","1980",32.2
"New York","1980",31.8
"North Carolina","1980",29.6
"Oregon","1980",30.2
"Rhode Island","1980",31.7
"South Carolina","1980",28
"Texas","1980",28
"Virginia","1980",29.8
"Washington","1980",29.8
"United States","1981",30.3
"Alabama","1981",29.6
"Alaska","1981",26.7
"California","1981",30.1
"Connecticut","1981",32.4
"Delaware","1981",30.1
"Florida","1981",34.7
"Georgia","1981",29
"Hawaii","1981",28.8
"Louisiana","1981",27.6
"Maine","1981",30.8
"Maryland","1981",30.7
"Massachusetts","1981",31.4
"Mississippi","1981",27.9
"New Hampshire","1981",30.6
"New Jersey","1981",32.5
"New York","1981",32.1
"North Carolina","1981",29.9
"Oregon","1981",30.6
"Rhode Island","1981",31.9
"South Carolina","1981",28.5
"Texas","1981",28.3
"Virginia","1981",30.1
"Washington","1981",30.1
"United States","1982",30.5
"Alabama","1982",29.9
"Alaska","1982",27.4
"California","1982",30.2
"Connecticut","1982",32.7
"Delaware","1982",30.3
"Florida","1982",34.9
"Georgia","1982",29.3
"Hawaii","1982",29.3
"Louisiana","1982",27.9
"Maine","1982",31.2
"Maryland","1982",31
"Massachusetts","1982",31.6
"Mississippi","1982",28.1
"New Hampshire","1982",30.9
"New Jersey","1982",32.8
"New York","1982",32.3
"North Carolina","1982",30.3
"Oregon","1982",31.1
"Rhode Island","1982",32.1
"South Carolina","1982",28.8
"Texas","1982",28.6
"Virginia","1982",30.4
"Washington","1982",30.5
"United States","1983",30.8
"Alabama","1983",30.3
"Alaska","1983",27.8
"California","1983",30.3
"Connecticut","1983",32.9
"Delaware","1983",30.5
"Florida","1983",35.1
"Georgia","1983",29.6
"Hawaii","1983",29.6
"Louisiana","1983",28.2
"Maine","1983",31.5
"Maryland","1983",31.3
"Massachusetts","1983",31.8
"Mississippi","1983",28.3
"New Hampshire","1983",31.3
"New Jersey","1983",33.1
"New York","1983",32.4
"North Carolina","1983",30.6
"Oregon","1983",31.5
"Rhode Island","1983",32.3
"South Carolina","1983",29.2
"Texas","1983",28.9
"Virginia","1983",30.7
"Washington","1983",30.8
"United States","1984",31.1
"Alabama","1984",30.6
"Alaska","1984",28.2
"California","1984",30.5
"Connecticut","1984",33.1
"Delaware","1984",30.8
"Florida","1984",35.3
"Georgia","1984",30
"Hawaii","1984",30
"Louisiana","1984",28.5
"Maine","1984",31.9
"Maryland","1984",31.6
"Massachusetts","1984",32.1
"Mississippi","1984",28.6
"New Hampshire","1984",31.6
"New Jersey","1984",33.3
"New York","1984",32.6
"North Carolina","1984",30.9
"Oregon","1984",32
"Rhode Island","1984",32.6
"South Carolina","1984",29.5
"Texas","1984",29.1
"Virginia","1984",31
"Washington","1984",31.2
"United States","1985",31.4
"Alabama","1985",31
"Alaska","1985",28.4
"California","1985",30.7
"Connecticut","1985",33.3
"Delaware","1985",31.1
"Florida","1985",35.5
"Georgia","1985",30.2
"Hawaii","1985",30.3
"Louisiana","1985",28.8
"Maine","1985",32.3
"Maryland","1985",31.8
"Massachusetts","1985",32.3
"Mississippi","1985",28.9
"New Hampshire","1985",31.9
"New Jersey","1985",33.5
"New York","1985",32.8
"North Carolina","1985",31.3
"Oregon","1985",32.5
"Rhode Island","1985",32.8
"South Carolina","1985",30
"Texas","1985",29.4
"Virginia","1985",31.3
"Washington","1985",31.5
"United States","1986",31.7
"Alabama","1986",31.3
