"","year","wave","us_regular","east_coast_regular","new_england_regular","central_atlantic_regular","lower_atlantic_regular","gulf_coast_regular","fl_regular","ma_regular","ny_regular","tx_regular"
"1",1991,1,1.12283333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1992,1,1.014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1993,1,1.058,1.050625,NA,NA,NA,1.046,NA,NA,NA,NA
"4",1994,1,1.00311111111111,0.990555555555556,1.03344444444444,1.03666666666667,0.962888888888889,0.984777777777778,NA,NA,NA,NA
"5",1995,1,1.07766666666667,1.08222222222222,1.15666666666667,1.14733333333333,1.03422222222222,1.08622222222222,NA,NA,NA,NA
"6",1996,1,1.08988888888889,1.07833333333333,1.17133333333333,1.13777777777778,1.02977777777778,1.07066666666667,NA,NA,NA,NA
"7",1997,1,1.233125,1.24275,1.329375,1.2975,1.19725,1.212125,NA,NA,NA,NA
"8",1998,1,1.067625,1.067375,1.153375,1.1155,1.02475,1.049875,NA,NA,NA,NA
"9",1999,1,0.92975,0.91275,0.98075,0.958,0.874,0.8895,NA,NA,NA,NA
"10",2000,1,1.328,1.31311111111111,1.37455555555556,1.35155555555556,1.27955555555556,1.27355555555556,NA,NA,NA,NA
"11",2001,1,1.44833333333333,1.42844444444444,1.49944444444444,1.47477777777778,1.38855555555556,1.38033333333333,NA,NA,1.537,1.37022222222222
"12",2002,1,1.1105,1.094625,1.150625,1.130875,1.05075,1.052,NA,NA,1.204625,1.043
"13",2003,1,1.53525,1.52725,1.575375,1.5685,1.481875,1.4765,NA,NA,1.65775,1.477625
"14",2004,1,1.609625,1.60975,1.641375,1.6385,1.578625,1.527125,1.631875,1.61325,1.740875,1.513375
"15",2005,1,1.866,1.86677777777778,1.88311111111111,1.89511111111111,1.84066666666667,1.78044444444444,1.90411111111111,1.85422222222222,1.98244444444444,1.76511111111111
"16",2006,1,2.29977777777778,2.33255555555556,2.33777777777778,2.38033333333333,2.29533333333333,2.23077777777778,2.342,2.29688888888889,2.51711111111111,2.21522222222222
"17",2007,1,2.25666666666667,2.24777777777778,2.28411111111111,2.29944444444444,2.19811111111111,2.11711111111111,2.26133333333333,2.23488888888889,2.43433333333333,2.10766666666667
"18",2008,1,3.035125,3.061875,3.0775,3.09175,3.035125,2.929125,3.08175,3.00025,3.24575,2.9175
"19",2009,1,1.8555,1.8335,1.83375,1.853,1.81925,1.739,1.886,1.782,1.96625,1.7175
"20",2010,1,2.6795,2.689,2.728,2.720125,2.6545,2.552,2.71025,2.6685,2.879,2.530375
