"","state","year","median","se"
"1","Alabama","1991",44692,1961
"2","Alabama","1992",46226,1895
"3","Alabama","1993",43821,1901
"4","Alabama","1994",46542,2668
"5","Alabama","1995",43434,2116
"6","Alabama","1996",49324,2048
"7","Alabama","1997",50889,2560
"8","Alabama","1998",57011,2055
"9","Alabama","1999",55799,1830
"10","Alabama","2000",52737,1596
"11","Alabama","2001",50895,1456
"12","Alabama","2002",53586,1513
"13","Alabama","2003",51912,2202
"14","Alabama","2004",49697,1768
"15","Alabama","2005",48752,1594
"16","Alabama","2006",48241,1289
"17","Alabama","2007",52176,1755
"18","Alabama","2008",52941,1975
"19","Alabama","2009",47755,1080
"20","Alabama","2010",48100,2816
"21","Alabama","2011",48518,2302
"22","Alabama","2012",48487,2821
"23","Alabama","2013",45489,2545
"24","Alabama","2014",45701,1653
"25","Alabama","2015",48030,3689
"26","Alabama","2016",50308,2451
"27","Alabama","2017",53308,881
"28","Alabama","2018",50841,2467
"29","Alabama","2019",56200,2512
"30","Alaska","1991",74551,3345
"31","Alaska","1992",74874,2071
"32","Alaska","1993",75005,2870
"33","Alaska","1994",77639,2557
"34","Alaska","1995",80136,3356
"35","Alaska","1996",85911,3104
"36","Alaska","1997",76469,2004
"37","Alaska","1998",79689,3339
"38","Alaska","1999",79111,3426
"39","Alaska","2000",78675,1725
"40","Alaska","2001",83034,2912
"41","Alaska","2002",75206,1529
"42","Alaska","2003",72230,1367
"43","Alaska","2004",74707,2810
"44","Alaska","2005",73346,1747
"45","Alaska","2006",71713,1900
"46","Alaska","2007",77862,1957
"47","Alaska","2008",76168,2740
"48","Alaska","2009",73585,2092
"49","Alaska","2010",67977,2808
"50","Alaska","2011",65424,4226
"51","Alaska","2012",71003,3167
"52","Alaska","2013",67206,3629
"53","Alaska","2014",73105,3408
"54","Alaska","2015",81054,3761
"55","Alaska","2016",80673,4353
"56","Alaska","2017",75332,2836
"57","Alaska","2018",69979,3451
"58","Alaska","2019",78394,6685
"59","Arizona","1991",56424,1647
"60","Arizona","1992",52585,1949
"61","Arizona","1993",53304,1957
"62","Arizona","1994",53554,1323
"63","Arizona","1995",51575,2273
"64","Arizona","1996",51497,2074
"65","Arizona","1997",52165,2067
"66","Arizona","1998",58306,1973
"67","Arizona","1999",56944,1744
"68","Arizona","2000",59226,1801
"69","Arizona","2001",61815,2086
"70","Arizona","2002",56623,1429
"71","Arizona","2003",57361,1981
"72","Arizona","2004",59488,1551
"73","Arizona","2005",59375,1668
"74","Arizona","2006",59306,1584
"75","Arizona","2007",58360,1922
"76","Arizona","2008",55843,1339
"77","Arizona","2009",54634,1482
"78","Arizona","2010",55107,2617
"79","Arizona","2011",55388,2761
"80","Arizona","2012",52480,3260
"81","Arizona","2013",55625,5311
"82","Arizona","2014",53242,2491
"83","Arizona","2015",56381,2167
"84","Arizona","2016",60832,2100
"85","Arizona","2017",63749,2755
"86","Arizona","2018",63411,2333
"87","Arizona","2019",70674,3391
"88","Arkansas","1991",43019,1437
"89","Arkansas","1992",42776,2504
"90","Arkansas","1993",40251,1480
"91","Arkansas","1994",43751,1616
"92","Arkansas","1995",43138,1669
"93","Arkansas","1996",44150,1592
"94","Arkansas","1997",41684,1839
"95","Arkansas","1998",43490,1824
"96","Arkansas","1999",45688,1579
"97","Arkansas","2000",44211,1149
"98","Arkansas","2001",48259,1656
"99","Arkansas","2002",46153,1109
"100","Arkansas","2003",44592,1081
"101","Arkansas","2004",47465,1349
"102","Arkansas","2005",48106,1718
"103","Arkansas","2006",47103,975
"104","Arkansas","2007",50425,1666
"105","Arkansas","2008",47120,1421
"106","Arkansas","2009",43644,1086
"107","Arkansas","2010",45343,2895
"108","Arkansas","2011",47051,2106
"109","Arkansas","2012",43527,3137
"110","Arkansas","2013",43882,2626
"111","Arkansas","2014",48559,2752
"112","Arkansas","2015",46184,1696
"113","Arkansas","2016",48908,2307
"114","Arkansas","2017",50926,2755
"115","Arkansas","2018",50683,2146
"116","Arkansas","2019",54539,2384
"117","California","1991",61797,1257
"118","California","1992",62517,1127
"119","California","1993",59529,1137
"120","California","1994",60464,1059
"121","California","1995",61846,1208
"122","California","1996",63176,1332
"123","California","1997",63245,1377
"124","California","1998",64349,907
"125","California","1999",67156,1082
"126","California","2000",69696,1021
"127","California","2001",68413,1052
"128","California","2002",67600,1092
"129","California","2003",68695,1141
"130","California","2004",66782,895
"131","California","2005",67918,604
"132","California","2006",70316,883
"133","California","2007",68890,764
"134","California","2008",67865,987
"135","California","2009",67051,739
"136","California","2010",63788,1389
"137","California","2011",60795,1570
"138","California","2012",63609,1381
"139","California","2013",63239,1344
"140","California","2014",65384,966
"141","California","2015",68670,1846
"142","California","2016",70993,1145
"143","California","2017",72754,1514
"144","California","2018",71766,1255
"145","California","2019",78105,1850
"146","Colorado","1991",57822,2285
"147","Colorado","1992",58184,2635
"148","Colorado","1993",60254,2741
"149","Colorado","1994",64746,2475
"150","Colorado","1995",68024,2594
"151","Colorado","1996",66657,2163
"152","Colorado","1997",68884,3097
"153","Colorado","1998",73255,1707
"154","Colorado","1999",74156,2283
"155","Colorado","2000",71816,1842
"156","Colorado","2001",71503,1723
"157","Colorado","2002",68822,2086
"158","Colorado","2003",69587,1614
"159","Colorado","2004",69040,2157
"160","Colorado","2005",66204,1689
"161","Colorado","2006",70796,1937
"162","Colorado","2007",75573,1253
"163","Colorado","2008",72542,2259
"164","Colorado","2009",66807,1905
"165","Colorado","2010",70779,2915
"166","Colorado","2011",66789,2908
"167","Colorado","2012",63871,3021
"168","Colorado","2013",69662,3078
"169","Colorado","2014",65874,2609
"170","Colorado","2015",71864,3973
"171","Colorado","2016",75179,4395
"172","Colorado","2017",77357,3110
"173","Colorado","2018",74357,3627
"174","Colorado","2019",72499,5221
"175","Connecticut","1991",77382,3569
"176","Connecticut","1992",73152,3532
"177","Connecticut","1993",69038,2900
"178","Connecticut","1994",70332,2730
"179","Connecticut","1995",67250,3792
"180","Connecticut","1996",68559,5025
"181","Connecticut","1997",70082,3169
"182","Connecticut","1998",73112,4288
"183","Connecticut","1999",77875,3534
"184","Connecticut","2000",74693,2020
"185","Connecticut","2001",77221,1795
"186","Connecticut","2002",76080,1952
"187","Connecticut","2003",76589,2175
"188","Connecticut","2004",74757,2236
"189","Connecticut","2005",74585,2143
"190","Connecticut","2006",79322,2748
"191","Connecticut","2007",79281,2533
"192","Connecticut","2008",76993,3215
"193","Connecticut","2009",77463,2757
"194","Connecticut","2010",77554,2462
"195","Connecticut","2011",74520,3433
"196","Connecticut","2012",71671,3183
"197","Connecticut","2013",74510,2800
"198","Connecticut","2014",75842,2881
"199","Connecticut","2015",78655,4801
"200","Connecticut","2016",80886,3627
"201","Connecticut","2017",75905,3660
"202","Connecticut","2018",74131,5212
"203","Connecticut","2019",87291,4630
"204","Delaware","1991",59816,2039
"205","Delaware","1992",63905,2495
"206","Delaware","1993",63007,1483
"207","Delaware","1994",61392,2038
"208","Delaware","1995",58368,3088
"209","Delaware","1996",63985,2282
"210","Delaware","1997",68565,3285
"211","Delaware","1998",65173,2756
"212","Delaware","1999",71772,3511
"213","Delaware","2000",74980,2245
"214","Delaware","2001",71800,2125
"215","Delaware","2002",70754,2401
"216","Delaware","2003",68304,1920
"217","Delaware","2004",65191,1928
"218","Delaware","2005",67236,1412
"219","Delaware","2006",66654,2199
"220","Delaware","2007",67475,2669
"221","Delaware","2008",60352,1652
"222","Delaware","2009",62249,2127
"223","Delaware","2010",64882,2650
"224","Delaware","2011",62268,1988
"225","Delaware","2012",54631,2204
"226","Delaware","2013",57403,2733
"227","Delaware","2014",62179,3210
"228","Delaware","2015",62325,3660
"229","Delaware","2016",61840,3188
"230","Delaware","2017",64994,3442
"231","Delaware","2018",66190,3664
"232","Delaware","2019",74194,3009
"233","District of Columbia","1991",54860,3493
"234","District of Columbia","1992",54177,2013
"235","District of Columbia","1993",47703,3015
"236","District of Columbia","1994",51539,1894
"237","District of Columbia","1995",51383,1975
"238","District of Columbia","1996",52033,2569
"239","District of Columbia","1997",50763,1568
"240","District of Columbia","1998",52558,2061
"241","District of Columbia","1999",59523,2461
"242","District of Columbia","2000",61368,1596
"243","District of Columbia","2001",59593,1481
"244","District of Columbia","2002",55677,1418
"245","District of Columbia","2003",62765,1976
"246","District of Columbia","2004",58952,2529
"247","District of Columbia","2005",59044,2844
"248","District of Columbia","2006",61619,2134
"249","District of Columbia","2007",62770,1356
"250","District of Columbia","2008",66170,2099
"251","District of Columbia","2009",63476,2494
"252","District of Columbia","2010",66896,3917
"253","District of Columbia","2011",62941,2403
"254","District of Columbia","2012",72786,4095
"255","District of Columbia","2013",66698,3388
"256","District of Columbia","2014",73805,4758
"257","District of Columbia","2015",75614,3087
"258","District of Columbia","2016",75622,2913
"259","District of Columbia","2017",86962,3462
"260","District of Columbia","2018",87304,2707
"261","District of Columbia","2019",93111,3884
"262","Florida","1991",50026,872
"263","Florida","1992",48986,942
"264","Florida","1993",49880,1235
"265","Florida","1994",50133,1082
"266","Florida","1995",49707,1023
"267","Florida","1996",49876,835
"268","Florida","1997",51711,929
"269","Florida","1998",54878,1206
"270","Florida","1999",55153,965
"271","Florida","2000",57846,1106
"272","Florida","2001",52720,604
"273","Florida","2002",54186,1180
"274","Florida","2003",54304,1058
"275","Florida","2004",54996,857
"276","Florida","2005",56416,1063
"277","Florida","2006",58059,800
"278","Florida","2007",56604,705
"279","Florida","2008",53394,1021
"280","Florida","2009",54505,843
"281","Florida","2010",51782,1814
"282","Florida","2011",51383,1296
"283","Florida","2012",51395,1238
"284","Florida","2013",52640,1729
"285","Florida","2014",49876,1027
"286","Florida","2015",52687,1505
"287","Florida","2016",54521,890
"288","Florida","2017",55986,1894
"289","Florida","2018",55634,1921
"290","Florida","2019",58368,1579
"291","Georgia","1991",49953,1997
"292","Georgia","1992",51580,2200
"293","Georgia","1993",55318,2191
"294","Georgia","1994",53851,2119
"295","Georgia","1995",56983,1499
"296","Georgia","1996",52896,2712
"297","Georgia","1997",58416,1459
"298","Georgia","1998",60782,1853
"299","Georgia","1999",60685,2086
"300","Georgia","2000",62379,1237
"301","Georgia","2001",61630,1553
"302","Georgia","2002",61191,1578
"303","Georgia","2003",59134,1364
"304","Georgia","2004",55605,838
"305","Georgia","2005",60269,1100
"306","Georgia","2006",62721,1538
"307","Georgia","2007",60123,1332
"308","Georgia","2008",55025,1386
"309","Georgia","2009",51769,1500
"310","Georgia","2010",51842,2141
"311","Georgia","2011",52372,2829
"312","Georgia","2012",53682,1678
"313","Georgia","2013",52148,2153
"314","Georgia","2014",53567,2172
"315","Georgia","2015",54784,1512
"316","Georgia","2016",57026,1789
"317","Georgia","2017",59464,2539
"318","Georgia","2018",56832,2069
"319","Georgia","2019",56628,1782
"320","Hawaii","1991",68372,2992
"321","Hawaii","1992",75431,2570
"322","Hawaii","1993",74535,3073
"323","Hawaii","1994",72314,4147
"324","Hawaii","1995",71609,2159
"325","Hawaii","1996",67995,3081
"326","Hawaii","1997",65221,2229
"327","Hawaii","1998",64181,3724
"328","Hawaii","1999",68503,2820
"329","Hawaii","2000",76738,1776
"330","Hawaii","2001",68669,1818
"331","Hawaii","2002",67409,1954
"332","Hawaii","2003",72226,1856
"333","Hawaii","2004",76307,2293
"334","Hawaii","2005",78195,1591
"335","Hawaii","2006",76863,1997
"336","Hawaii","2007",79134,2627
"337","Hawaii","2008",73230,1763
"338","Hawaii","2009",66472,2416
"339","Hawaii","2010",69964,3209
"340","Hawaii","2011",67265,2883
"341","Hawaii","2012",62765,2516
"342","Hawaii","2013",67504,2426
"343","Hawaii","2014",76990,2893
"344","Hawaii","2015",69617,3065
"345","Hawaii","2016",76848,2674
"346","Hawaii","2017",76734,2323
"347","Hawaii","2018",81559,3545
"348","Hawaii","2019",88006,3565
"349","Idaho","1991",47941,1889
"350","Idaho","1992",49622,1565
"351","Idaho","1993",54178,2311
"352","Idaho","1994",53970,2187
"353","Idaho","1995",54605,1865
"354","Idaho","1996",56498,2183
"355","Idaho","1997",53223,2133
"356","Idaho","1998",57662,1714
"357","Idaho","1999",55105,2175
"358","Idaho","2000",55993,1775
"359","Idaho","2001",55355,1398
"360","Idaho","2002",53746,1597
"361","Idaho","2003",59042,1368
"362","Idaho","2004",60183,1882
"363","Idaho","2005",57972,1646
"364","Idaho","2006",58741,1668
"365","Idaho","2007",60794,1596
"366","Idaho","2008",56445,2001
"367","Idaho","2009",55875,1510
"368","Idaho","2010",55288,2196
"369","Idaho","2011",54064,3973
"370","Idaho","2012",53460,3540
"371","Idaho","2013",56906,4019
"372","Idaho","2014",57765,2780
"373","Idaho","2015",55708,1360
"374","Idaho","2016",60261,1343
"375","Idaho","2017",62793,2503
"376","Idaho","2018",59792,2449
"377","Idaho","2019",65988,2152
"378","Illinois","1991",58529,1311
"379","Illinois","1992",56513,1347
