"","state","year","household_mean","household_error"
"1","Alabama",1990,2.49,NA
"2","Alaska",1990,2.74,NA
"3","Arizona",1990,2.64,NA
"4","Arkansas",1990,2.49,NA
"5","California",1990,2.87,NA
"6","Colorado",1990,2.53,NA
"7","Connecticut",1990,2.53,NA
"8","Delaware",1990,2.54,NA
"9","District of Columbia",1990,2.16,NA
"10","Florida",1990,2.46,NA
"11","Georgia",1990,2.65,NA
"12","Hawaii",1990,2.92,NA
"13","Idaho",1990,2.69,NA
"14","Illinois",1990,2.63,NA
"15","Indiana",1990,2.53,NA
"16","Iowa",1990,2.46,NA
"17","Kansas",1990,2.51,NA
"18","Kentucky",1990,2.47,NA
"19","Louisiana",1990,2.62,NA
"20","Maine",1990,2.39,NA
"21","Maryland",1990,2.61,NA
"22","Massachusetts",1990,2.51,NA
"23","Michigan",1990,2.56,NA
"24","Minnesota",1990,2.52,NA
"25","Mississippi",1990,2.63,NA
"26","Missouri",1990,2.48,NA
"27","Montana",1990,2.45,NA
"28","Nebraska",1990,2.49,NA
"29","Nevada",1990,2.62,NA
"30","New Hampshire",1990,2.53,NA
"31","New Jersey",1990,2.68,NA
"32","New Mexico",1990,2.63,NA
"33","New York",1990,2.61,NA
"34","North Carolina",1990,2.49,NA
"35","North Dakota",1990,2.41,NA
"36","Ohio",1990,2.49,NA
"37","Oklahoma",1990,2.49,NA
"38","Oregon",1990,2.51,NA
"39","Pennsylvania",1990,2.48,NA
"40","Rhode Island",1990,2.47,NA
"41","South Carolina",1990,2.53,NA
"42","South Dakota",1990,2.5,NA
"43","Tennessee",1990,2.48,NA
"44","Texas",1990,2.74,NA
"45","Utah",1990,3.13,NA
"46","Vermont",1990,2.44,NA
"47","Virginia",1990,2.54,NA
"48","Washington",1990,2.53,NA
"49","West Virginia",1990,2.4,NA
"50","Wisconsin",1990,2.5,NA
"51","Wyoming",1990,2.48,NA
"1.1","Alabama",1991,2.49,NA
"2.1","Alaska",1991,2.74,NA
"3.1","Arizona",1991,2.64,NA
"4.1","Arkansas",1991,2.49,NA
"5.1","California",1991,2.87,NA
"6.1","Colorado",1991,2.53,NA
"7.1","Connecticut",1991,2.53,NA
"8.1","Delaware",1991,2.54,NA
"9.1","District of Columbia",1991,2.16,NA
"10.1","Florida",1991,2.46,NA
"11.1","Georgia",1991,2.65,NA
"12.1","Hawaii",1991,2.92,NA
"13.1","Idaho",1991,2.69,NA
"14.1","Illinois",1991,2.63,NA
"15.1","Indiana",1991,2.53,NA
"16.1","Iowa",1991,2.46,NA
"17.1","Kansas",1991,2.51,NA
"18.1","Kentucky",1991,2.47,NA
"19.1","Louisiana",1991,2.62,NA
"20.1","Maine",1991,2.39,NA
"21.1","Maryland",1991,2.61,NA
"22.1","Massachusetts",1991,2.51,NA
"23.1","Michigan",1991,2.56,NA
"24.1","Minnesota",1991,2.52,NA
"25.1","Mississippi",1991,2.63,NA
"26.1","Missouri",1991,2.48,NA
"27.1","Montana",1991,2.45,NA
"28.1","Nebraska",1991,2.49,NA
"29.1","Nevada",1991,2.62,NA
"30.1","New Hampshire",1991,2.53,NA
"31.1","New Jersey",1991,2.68,NA
"32.1","New Mexico",1991,2.63,NA
"33.1","New York",1991,2.61,NA
"34.1","North Carolina",1991,2.49,NA
"35.1","North Dakota",1991,2.41,NA
"36.1","Ohio",1991,2.49,NA
"37.1","Oklahoma",1991,2.49,NA
"38.1","Oregon",1991,2.51,NA
"39.1","Pennsylvania",1991,2.48,NA
"40.1","Rhode Island",1991,2.47,NA
"41.1","South Carolina",1991,2.53,NA
"42.1","South Dakota",1991,2.5,NA
"43.1","Tennessee",1991,2.48,NA
"44.1","Texas",1991,2.74,NA
"45.1","Utah",1991,3.13,NA
"46.1","Vermont",1991,2.44,NA
"47.1","Virginia",1991,2.54,NA
"48.1","Washington",1991,2.53,NA
"49.1","West Virginia",1991,2.4,NA
"50.1","Wisconsin",1991,2.5,NA
"51.1","Wyoming",1991,2.48,NA
"1.2","Alabama",1992,2.49,NA
"2.2","Alaska",1992,2.74,NA
"3.2","Arizona",1992,2.64,NA
"4.2","Arkansas",1992,2.49,NA
"5.2","California",1992,2.87,NA
"6.2","Colorado",1992,2.53,NA
"7.2","Connecticut",1992,2.53,NA
"8.2","Delaware",1992,2.54,NA
"9.2","District of Columbia",1992,2.16,NA
"10.2","Florida",1992,2.46,NA
"11.2","Georgia",1992,2.65,NA
"12.2","Hawaii",1992,2.92,NA
"13.2","Idaho",1992,2.69,NA
"14.2","Illinois",1992,2.63,NA
"15.2","Indiana",1992,2.53,NA
"16.2","Iowa",1992,2.46,NA
"17.2","Kansas",1992,2.51,NA
"18.2","Kentucky",1992,2.47,NA
"19.2","Louisiana",1992,2.62,NA
"20.2","Maine",1992,2.39,NA
"21.2","Maryland",1992,2.61,NA
"22.2","Massachusetts",1992,2.51,NA
"23.2","Michigan",1992,2.56,NA
"24.2","Minnesota",1992,2.52,NA
"25.2","Mississippi",1992,2.63,NA
"26.2","Missouri",1992,2.48,NA
"27.2","Montana",1992,2.45,NA
