"","state","year","population","area","density"
"1",1,"1990",4050055,52420,77.261636779855
"2",1,"1999",4430141,52420,84.5124189240748
"3",1,"2017",4874486,52420,92.9890499809233
"4",1,"2014",4841799,52420,92.365490270889
"5",1,"2001",4464034,52420,85.1589851201831
"6",1,"1997",4367935,52420,83.325734452499
"7",1,"2004",4512190,52420,86.0776421213277
"8",1,"2015",4852347,52420,92.5667111789393
"9",1,"2016",4863525,52420,92.7799504006105
"10",1,"2007",4637904,52420,88.4758489126288
"11",1,"2006",4597688,52420,87.7086608164823
"12",1,"2013",4830081,52420,92.1419496375429
"13",1,"2002",4472420,52420,85.3189622281572
"14",1,"2010",4785437,52420,91.290289965662
"15",1,"1993",4214202,52420,80.393017932087
"16",1,"2011",4799069,52420,91.5503433803892
"17",1,"2018",4887681,52420,93.2407668828691
"18",1,"2008",4677464,52420,89.2305227012591
"19",1,"1991",4099156,52420,78.1983212514308
"20",1,"2000",4447100,52420,84.8359404807325
"21",1,"2003",4490591,52420,85.6656047310187
"22",1,"2012",4815588,52420,91.8654711942007
"23",1,"1996",4331102,52420,82.6230827928272
"24",1,"1998",4404701,52420,84.0271079740557
"25",1,"2005",4545049,52420,86.7044830217474
"26",1,"2009",4708708,52420,89.8265547500954
"27",1,"1995",4296800,52420,81.9687142312095
"28",1,"1994",4260229,52420,81.2710606638688
"29",1,"1992",4154014,52420,79.2448302174742
"30",9,"1996",3336685,5543,601.963738047988
"31",9,"2001",3428433,5543,618.515785675627
"32",9,"2007",3488633,5543,629.376330506946
"33",9,"2000",3405565,5543,614.390221901497
"34",9,"2016",3578141,5543,645.524264838535
"35",9,"2010",3579114,5543,645.699801551506
"36",9,"2003",3467673,5543,625.594984665344
"37",9,"2014",3594524,5543,648.479884539058
"38",9,"2002",3448382,5543,622.114739310843
"39",9,"2008",3502932,5543,631.955980515966
"40",9,"2005",3477416,5543,627.352697095436
"41",9,"1994",3316121,5543,598.253833664081
"42",9,"1990",3291967,5543,593.896265560166
"43",9,"2015",3587122,5543,647.144506584882
"44",9,"2018",3571520,5543,644.329785314811
"45",9,"2009",3518288,5543,634.72632148656
