Date,us_regular,east_coast_regular,new_england_regular,central_atlantic_regular,lower_atlantic_regular,gulf_coast_regular,fl_regular,ma_regular,ny_regular,tx_regular,
08/20/1990,1.191,,,,,,,,,,
08/27/1990,1.245,,,,,,,,,,
09/03/1990,1.242,,,,,,,,,,
09/10/1990,1.252,,,,,,,,,,
09/17/1990,1.266,,,,,,,,,,
09/24/1990,1.272,,,,,,,,,,
10/01/1990,1.321,,,,,,,,,,
10/08/1990,1.333,,,,,,,,,,
10/15/1990,1.339,,,,,,,,,,
10/22/1990,1.345,,,,,,,,,,
10/29/1990,1.339,,,,,,,,,,
11/05/1990,1.334,,,,,,,,,,
11/12/1990,1.328,,,,,,,,,,
11/19/1990,1.323,,,,,,,,,,
11/26/1990,1.311,,,,,,,,,,
12/03/1990,1.341,,,,,,,,,,
12/10/1990,,,,,,,,,,,
12/17/1990,,,,,,,,,,,
12/24/1990,,,,,,,,,,,
12/31/1990,,,,,,,,,,,
01/07/1991,,,,,,,,,,,
01/14/1991,,,,,,,,,,,
01/21/1991,1.192,,,,,,,,,,
01/28/1991,1.168,,,,,,,,,,
02/04/1991,1.139,,,,,,,,,,
02/11/1991,1.106,,,,,,,,,,
02/18/1991,1.078,,,,,,,,,,
02/25/1991,1.054,,,,,,,,,,
03/04/1991,1.025,,,,,,,,,,
03/11/1991,1.045,,,,,,,,,,
03/18/1991,1.043,,,,,,,,,,
03/25/1991,1.047,,,,,,,,,,
04/01/1991,1.052,,,,,,,,,,
04/08/1991,1.066,,,,,,,,,,
04/15/1991,1.069,,,,,,,,,,
04/22/1991,1.09,,,,,,,,,,
04/29/1991,1.104,,,,,,,,,,
05/06/1991,1.113,,,,,,,,,,
05/13/1991,1.121,,,,,,,,,,
05/20/1991,1.129,,,,,,,,,,
05/27/1991,1.14,,,,,,,,,,
06/03/1991,1.138,,,,,,,,,,
06/10/1991,1.135,,,,,,,,,,
06/17/1991,1.126,,,,,,,,,,
06/24/1991,1.114,,,,,,,,,,
07/01/1991,1.104,,,,,,,,,,
07/08/1991,1.098,,,,,,,,,,
07/15/1991,1.094,,,,,,,,,,
07/22/1991,1.091,,,,,,,,,,
07/29/1991,1.091,,,,,,,,,,
08/05/1991,1.099,,,,,,,,,,
08/12/1991,1.112,,,,,,,,,,
08/19/1991,1.124,,,,,,,,,,
08/26/1991,1.124,,,,,,,,,,
09/02/1991,1.127,,,,,,,,,,
09/09/1991,1.12,,,,,,,,,,
09/16/1991,1.11,,,,,,,,,,
09/23/1991,1.097,,,,,,,,,,
09/30/1991,1.092,,,,,,,,,,
10/07/1991,1.089,,,,,,,,,,
10/14/1991,1.084,,,,,,,,,,
10/21/1991,1.088,,,,,,,,,,
10/28/1991,1.091,,,,,,,,,,
11/04/1991,1.091,,,,,,,,,,
11/11/1991,1.102,,,,,,,,,,
11/18/1991,1.104,,,,,,,,,,
11/25/1991,1.099,,,,,,,,,,
12/02/1991,1.099,,,,,,,,,,
12/09/1991,1.091,,,,,,,,,,
12/16/1991,1.075,,,,,,,,,,
12/23/1991,1.063,,,,,,,,,,
12/30/1991,1.053,,,,,,,,,,
01/06/1992,1.042,,,,,,,,,,
01/13/1992,1.026,,,,,,,,,,
01/20/1992,1.014,,,,,,,,,,
01/27/1992,1.006,,,,,,,,,,
02/03/1992,0.995,,,,,,,,,,
02/10/1992,1.004,,,,,,,,,,
02/17/1992,1.011,,,,,,,,,,
02/24/1992,1.014,,,,,,,,,,
03/02/1992,1.012,,,,,,,,,,
03/09/1992,1.013,,,,,,,,,,
03/16/1992,1.01,,,,,,,,,,
03/23/1992,1.015,,,,,,,,,,
03/30/1992,1.013,,,,,,,,,,
04/06/1992,1.026,,,,,,,,,,
04/13/1992,1.051,,,,,,,,,,
04/20/1992,1.058,,,,,,,,,,
04/27/1992,1.072,,,,,,,,,,
05/04/1992,1.089,,,,,,,,,,
05/11/1992,1.102,1.071,,,,1.084,,,,,
05/18/1992,1.118,1.085,,,,1.095,,,,,
05/25/1992,1.12,1.092,,,,1.094,,,,,
06/01/1992,1.128,1.1,,,,1.108,,,,,
06/08/1992,1.143,1.114,,,,1.12,,,,,
06/15/1992,1.151,1.122,,,,1.127,,,,,
06/22/1992,1.153,1.128,,,,1.13,,,,,
06/29/1992,1.149,1.129,,,,1.129,,,,,
07/06/1992,1.147,1.13,,,,1.131,,,,,
07/13/1992,1.139,1.126,,,,1.127,,,,,
07/20/1992,1.132,1.123,,,,1.12,,,,,
07/27/1992,1.128,1.121,,,,1.118,,,,,
08/03/1992,1.126,1.118,,,,1.117,,,,,
08/10/1992,1.123,1.115,,,,1.116,,,,,
08/17/1992,1.116,1.111,,,,1.113,,,,,
08/24/1992,1.123,1.109,,,,1.108,,,,,
08/31/1992,1.121,1.106,,,,1.109,,,,,
09/07/1992,1.121,1.104,,,,1.114,,,,,
09/14/1992,1.124,1.103,,,,1.109,,,,,
09/21/1992,1.123,1.102,,,,1.105,,,,,
09/28/1992,1.118,1.098,,,,1.102,,,,,
10/05/1992,1.115,1.098,,,,1.097,,,,,
10/12/1992,1.115,1.097,,,,1.097,,,,,
10/19/1992,1.113,1.098,,,,1.094,,,,,
10/26/1992,1.113,1.098,,,,1.093,,,,,
11/02/1992,1.12,1.1,,,,1.096,,,,,
11/09/1992,1.12,1.103,,,,1.096,,,,,
11/16/1992,1.112,1.099,,,,1.092,,,,,
11/23/1992,1.106,1.097,,,,1.086,,,,,
11/30/1992,1.098,1.093,,,,1.083,,,,,
12/07/1992,1.089,1.088,,,,1.075,,,,,
12/14/1992,1.078,1.082,,,,1.068,,,,,
12/21/1992,1.074,1.075,,,,1.063,,,,,
12/28/1992,1.069,1.072,,,,1.059,,,,,
01/04/1993,1.065,1.067,,,,1.057,,,,,
01/11/1993,1.066,1.061,,,,1.057,,,,,
01/18/1993,1.061,1.054,,,,1.05,,,,,
01/25/1993,1.055,1.049,,,,1.046,,,,,
02/01/1993,1.055,1.048,,,,1.043,,,,,
02/08/1993,1.062,1.047,,,,1.044,,,,,
02/15/1993,1.053,1.042,,,,1.038,,,,,
02/22/1993,1.047,1.037,,,,1.033,,,,,
03/01/1993,1.042,1.034,,,,1.027,,,,,
03/08/1993,1.048,1.031,,,,1.043,,,,,
03/15/1993,1.058,1.036,,,,1.052,,,,,
03/22/1993,1.056,1.036,,,,1.056,,,,,
03/29/1993,1.057,1.036,,,,1.055,,,,,
04/05/1993,1.068,1.04,1.068,1.068,1.023,1.064,,,,,
04/12/1993,1.079,1.047,1.073,1.072,1.032,1.071,,,,,
04/19/1993,1.079,1.054,1.074,1.077,1.04,1.081,,,,,
04/26/1993,1.086,1.059,1.076,1.08,1.046,1.081,,,,,
05/03/1993,1.086,1.062,1.08,1.084,1.05,1.084,,,,,
05/10/1993,1.097,1.069,1.091,1.09,1.057,1.088,,,,,
05/17/1993,1.106,1.073,1.096,1.095,1.06,1.097,,,,,
05/24/1993,1.106,1.075,1.096,1.094,1.064,1.096,,,,,
05/31/1993,1.107,1.078,1.097,1.099,1.065,1.096,,,,,
06/07/1993,1.104,1.078,1.102,1.098,1.064,1.095,,,,,
06/14/1993,1.101,1.076,1.103,1.097,1.062,1.094,,,,,
06/21/1993,1.095,1.075,1.101,1.095,1.062,1.09,,,,,
06/28/1993,1.089,1.072,1.1,1.095,1.057,1.087,,,,,
07/05/1993,1.086,1.068,1.096,1.091,1.054,1.089,,,,,
07/12/1993,1.081,1.066,1.095,1.09,1.05,1.083,,,,,
07/19/1993,1.075,1.062,1.091,1.086,1.046,1.08,,,,,
07/26/1993,1.069,1.059,1.089,1.083,1.043,1.075,,,,,
08/02/1993,1.062,1.054,1.086,1.077,1.038,1.07,,,,,
08/09/1993,1.06,1.051,1.081,1.076,1.035,1.067,,,,,
08/16/1993,1.059,1.047,1.077,1.075,1.03,1.064,,,,,
08/23/1993,1.065,1.045,1.072,1.074,1.028,1.067,,,,,
08/30/1993,1.062,1.041,1.069,1.068,1.024,1.062,,,,,
09/06/1993,1.055,1.037,1.065,1.065,1.02,1.06,,,,,
09/13/1993,1.051,1.034,1.068,1.063,1.016,1.054,,,,,
09/20/1993,1.045,1.028,1.063,1.059,1.009,1.05,,,,,
09/27/1993,1.047,1.024,1.06,1.057,1.003,1.042,,,,,
10/04/1993,1.092,1.068,1.101,1.104,1.047,1.086,,,,,
10/11/1993,1.09,1.064,1.092,1.102,1.042,1.081,,,,,
10/18/1993,1.093,1.063,1.093,1.1,1.041,1.078,,,,,
10/25/1993,1.092,1.061,1.091,1.1,1.039,1.073,,,,,
11/01/1993,1.084,1.057,1.087,1.099,1.034,1.069,,,,,
11/08/1993,1.075,1.053,1.081,1.097,1.029,1.062,,,,,
11/15/1993,1.064,1.048,1.081,1.09,1.025,1.052,,,,,
11/22/1993,1.058,1.043,1.076,1.085,1.019,1.044,,,,,
11/29/1993,1.051,1.038,1.074,1.081,1.013,1.04,,,,,
12/06/1993,1.036,1.028,1.064,1.071,1.003,1.03,,,,,
12/13/1993,1.018,1.015,1.055,1.064,0.986,1.014,,,,,
12/20/1993,1.003,1.004,1.047,1.056,0.974,1.001,,,,,
12/27/1993,0.999,0.997,1.04,1.051,0.966,0.993,,,,,
01/03/1994,0.992,0.992,1.037,1.044,0.962,0.989,,,,,
01/10/1994,0.995,0.989,1.036,1.041,0.958,0.984,,,,,
01/17/1994,1.001,0.987,1.036,1.033,0.958,0.982,,,,,
01/24/1994,0.999,0.985,1.032,1.03,0.957,0.981,,,,,
01/31/1994,1.005,0.984,1.028,1.031,0.955,0.983,,,,,
02/07/1994,1.007,0.989,1.028,1.035,0.962,0.986,,,,,
02/14/1994,1.016,0.996,1.033,1.038,0.972,0.992,,,,,
02/21/1994,1.009,0.997,1.035,1.04,0.972,0.985,,,,,
02/28/1994,1.004,0.996,1.036,1.038,0.97,0.981,,,,,
03/07/1994,1.007,0.994,1.041,1.036,0.968,0.978,,,,,
03/14/1994,1.005,0.993,1.038,1.034,0.968,0.976,,,,,
03/21/1994,1.007,0.992,1.034,1.031,0.969,0.981,,,,,
03/28/1994,1.012,0.996,1.033,1.029,0.975,0.995,,,,,
04/04/1994,1.011,0.996,1.032,1.027,0.976,0.999,,,,,
04/11/1994,1.028,1.004,1.033,1.028,0.988,1.01,,,,,
04/18/1994,1.033,1.008,1.036,1.035,0.992,1.015,,,,,
04/25/1994,1.037,1.013,1.039,1.04,0.996,1.021,,,,,
05/02/1994,1.04,1.017,1.043,1.049,0.998,1.024,,,,,
05/09/1994,1.045,1.018,1.046,1.051,0.999,1.024,,,,,
05/16/1994,1.046,1.021,1.057,1.055,1,1.025,,,,,
05/23/1994,1.05,1.023,1.061,1.058,1.001,1.023,,,,,
05/30/1994,1.056,1.028,1.066,1.069,1.003,1.028,,,,,
06/06/1994,1.065,1.036,1.071,1.077,1.012,1.037,,,,,
06/13/1994,1.073,1.044,1.078,1.084,1.021,1.049,,,,,
06/20/1994,1.079,1.05,1.087,1.089,1.028,1.051,,,,,
06/27/1994,1.095,1.062,1.096,1.1,1.04,1.067,,,,,
07/04/1994,1.097,1.068,1.105,1.106,1.044,1.072,,,,,
07/11/1994,1.103,1.07,1.105,1.109,1.046,1.072,,,,,
07/18/1994,1.109,1.074,1.108,1.118,1.049,1.079,,,,,
07/25/1994,1.114,1.079,1.112,1.123,1.054,1.081,,,,,
08/01/1994,1.13,1.089,1.122,1.134,1.063,1.096,,,,,
08/08/1994,1.157,1.113,1.148,1.154,1.089,1.126,,,,,
08/15/1994,1.161,1.124,1.162,1.165,1.1,1.132,,,,,
08/22/1994,1.165,1.127,1.166,1.167,1.103,1.134,,,,,
08/29/1994,1.161,1.126,1.167,1.168,1.1,1.134,,,,,
09/05/1994,1.156,1.122,1.164,1.163,1.098,1.131,,,,,
09/12/1994,1.15,1.121,1.16,1.163,1.096,1.129,,,,,
09/19/1994,1.14,1.116,1.152,1.157,1.091,1.123,,,,,
09/26/1994,1.129,1.111,1.146,1.155,1.085,1.114,,,,,
10/03/1994,1.12,1.105,1.136,1.153,1.078,1.109,,,,,
10/10/1994,1.114,1.1,1.137,1.147,1.072,1.103,,,,,
